,0
Useful Life,30.0
Wind Cost ($/kW),1514.7
Solar Cost ($/kW),764.0
Electrolyzer Installed Cost ($/kW),616.75712
Wind capacity (MW),979.4000000000001
Solar capacity (MW),1200.0
Excess VRE capacity (%),40.0
Battery storage capacity (MW),198.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),1400.0
Total Electricity Production (kWh),6209377862.353834
Debt Equity,60.0
ATB Year,2035.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0332046
Discount Rate,0.07
NPV Wind Expenses,-1184974819.5453014
NPV Solar Expenses,-1560574102.8121881
NPV HVDC Expenses,0.0
LCOE ($/MWh),32.64099444176273
Grid Price ($/MWh),0.0
Electricity CF (-),0.5063093495069911
Wind plant CF (-),0.43193674693969686
Wind annual energy (MWh),3705820.325585995
Solar plant CF (-),0.2520766539286994
Solar annual energy (MWh),2649829.7860984877
LCOH ($/kg),5.190717773482404
Electrolyzer CF (-),0.48891220176482497
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),42086.0
Number of stack clusters (-),22.0
Hydrogen storage duration (hr),76.19703733667114
Hydrogen storage capacity (kg),2421555.3174647177
Hydrogen storage CAPEX ($/kg),713.5414961422341
Hydrogen annual production (kg),111176102.49977499
Hydrogen production total CAPEX ($),5126481546.449928
Hydrogen transmission total CAPEX ($),39903597.95860095
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),1.180401669624348
LCOH: Electrolyzer CAPEX ($/kg),1.190168318058792
LCOH: Desalination CAPEX ($/kg),0.0016238125853347146
LCOH: Electrolyzer FOM ($/kg),0.16228324794231325
LCOH:Desalination FOM ($/kg),0.003218679001095224
LCOH: Electrolyzer VOM ($/kg),0.0731395896837238
LCOH: Wind Plant CAPEX ($/kg),0.997468160712162
LCOH: Wind Plant FOM ($/kg),0.24905363738919767
LCOH: Solar Plant CAPEX ($/kg),0.6164344779818927
LCOH: Solar Plant FOM ($/kg),0.16300772672777
LCOH: Battery Storage CAPEX ($/kg),0.0704260254066093
LCOH: Battery Storage FOM ($/kg),0.023713549045722343
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.31558783868165985
LCOH: Water consumption ($/kg),0.008292914934426389
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.13589812570735782
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),68.5507921464145
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),68.55079214641447
Steel Price with Integration ($/tonne),1127.3610624578484
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.179208281949454
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.8134449269372688
Steel price: Carbon ($/tonne),14.35889839114391
Steel price: Iron Ore ($/tonne),449.6056537549815
Steel price: Hydrogen ($/tonne),342.3797443388994
Steel price: Natural gas ($/tonne),2.9394393768077114
Steel price: Electricity ($/tonne),52.52004090682556
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.48579109304665
Steel price: Equipment Financing ($/tonne),91.72285100290102
Steel price: Remaining Financial ($/tonne),8.744271899878434
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1140.7094951809888
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.0240476570829649
Ammonia price: Electricity ($/kg),0.011575005816597999
Ammonia price: Cooling water ($/kg),0.0001547520645747896
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010458485093732288
Ammonia price: Equipment Financing ($/kg),0.03638806762821493
Ammonia price: Remaining Financial ($/kg),0.006147155674344376
Ammonia price: Total ($/kg),1.1249896782027755
