,0
Useful Life,30.0
Wind Cost ($/kW),1458.8640000000003
Solar Cost ($/kW),1044.0
Electrolyzer Installed Cost ($/kW),762.1196800000001
Wind capacity (MW),984.0
Solar capacity (MW),1400.0
Excess VRE capacity (%),40.0
Battery storage capacity (MW),222.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),1560.0
Total Electricity Production (kWh),6238079635.0
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2091748137.8738792
NPV Solar Expenses,-2151893076.6005187
NPV HVDC Expenses,0.0
LCOE ($/MWh),48.95565641239601
Grid Price ($/MWh),0.0
Electricity CF (-),7.990386474765805
Wind plant CF (-),0.3946867411937591
Wind annual energy (MWh),3402136.5592116127
Solar plant CF (-),0.24118250180916656
Solar annual energy (MWh),2957862.2021876187
LCOH ($/kg),6.35680204532989
Electrolyzer CF (-),0.4455815471059685
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),40494.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),79.84769097951259
Hydrogen storage capacity (kg),2845245.41800815
Hydrogen storage CAPEX ($/kg),713.5414961422341
Hydrogen annual production (kg),112119721.286131
Hydrogen production total CAPEX ($),6282390933.017664
Hydrogen transmission total CAPEX ($),50887363.30593861
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),1.370751265393088
LCOH: Electrolyzer CAPEX ($/kg),1.614975441454913
LCOH: Desalination CAPEX ($/kg),0.001783135866653873
LCOH: Electrolyzer FOM ($/kg),0.17908202196095924
LCOH:Desalination FOM ($/kg),0.003551861026125805
LCOH: Electrolyzer VOM ($/kg),0.07276518533200474
LCOH: Wind Plant CAPEX ($/kg),0.9512051490684025
LCOH: Wind Plant FOM ($/kg),0.2763976034140709
LCOH: Solar Plant CAPEX ($/kg),0.968484826721602
LCOH: Solar Plant FOM ($/kg),0.22600495559976824
LCOH: Battery Storage CAPEX ($/kg),0.08281817498127131
LCOH: Battery Storage FOM ($/kg),0.028023269226778405
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.3939481696472945
LCOH: Water consumption ($/kg),0.012824095259422246
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.17418689037753526
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),69.98138460602031
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),69.98138460602028
Steel Price with Integration ($/tonne),1177.4602950254487
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.857286024682497
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.3359829269372687
Steel price: Carbon ($/tonne),12.834206391143908
Steel price: Iron Ore ($/tonne),403.4321419549815
Steel price: Hydrogen ($/tonne),419.29466290995947
Steel price: Natural gas ($/tonne),3.169649976018507
Steel price: Electricity ($/tonne),73.93943726366022
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.463867608283653
Steel price: Equipment Financing ($/tonne),91.77706958542608
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1190.8087277485895
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.2540978965020861
Ammonia price: Electricity ($/kg),0.01631201113709033
Ammonia price: Cooling water ($/kg),0.00023930731635276743
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.011178174452727275
Ammonia price: Equipment Financing ($/kg),0.03846437422491143
Ammonia price: Remaining Financial ($/kg),0.006147155674344376
Ammonia price: Total ($/kg),1.3626574741498583
