,0
Useful Life,30
Wind Cost ($/kW),1639.4400000000003
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),1327.5068800000001
Wind capacity (MW),618
Solar capacity (MW),0.0
Excess VRE capacity (%),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2025
Grid Total Emission Intensity first year (kg-CO2/kg-H2),2.022962342026419
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,0
NPV Solar Expenses,0
NPV HVDC Expenses,0
LCOE ($/MWh),46.52752175881532
Grid Price ($/MWh),86.75938078
Electricity CF (-),1.13
Wind plant CF (-),0.4014329564495768
Wind annual energy (MWh),2173229.5676719453
Solar plant CF (-),0.0
Solar annual energy (MWh),0
LCOH ($/kg),6.316678688741132
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.54215082 0.53436664 0.52680282 0.51945014 0.51229988 0.5053438
 0.49857408 0.49198335 0.49021976 0.53436664 0.52680282 0.51945014
 0.51229988 0.5053438  0.49857408 0.49198335 0.49021976 0.53436664
 0.52680282 0.51945014 0.51229988 0.5053438  0.49857408 0.49198335
 0.49021976 0.53436664 0.52680282 0.51945014 0.51229988 0.5053438 ]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1651205234.699623
Hydrogen transmission total CAPEX ($),36761466.89549821
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.847070623975684
LCOH: Desalination CAPEX ($/kg),0.0007591199214996721
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.9288757026512166
LCOH: Wind Plant FOM ($/kg),0.28231602526041844
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Grid Transmission ($/kg),1.0991548313975223
LCOH: Taxes and Finances ($/kg),0.08661387092337756
LCOH: Water consumption ($/kg),0.008292914934426389
LCOH: Grid electricity ($/kg),2.7258918604210782
LCOH: Bulk H2 Transmission ($/kg),0.17693376270357702
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1115.8052927204817
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.618658870656437
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.851134526937269
Steel price: Carbon ($/tonne),14.668248391143912
Steel price: Iron Ore ($/tonne),365.3723947549814
Steel price: Hydrogen ($/tonne),416.648126309365
Steel price: Natural gas ($/tonne),2.949134709974628
Steel price: Electricity ($/tonne),53.352290662757554
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),28.86188699732252
Steel price: Equipment Financing ($/tonne),90.12742711298776
Steel price: Remaining Financial ($/tonne),8.744271899878434
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1129.1537254436228
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.2461821840511167
Ammonia price: Electricity ($/kg),0.011639600097879597
Ammonia price: Cooling water ($/kg),0.0001547520645747896
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.011053181877281364
Ammonia price: Equipment Financing ($/kg),0.038103770159153325
Ammonia price: Remaining Financial ($/kg),0.006147155674344375
Ammonia price: Total ($/kg),1.3494991987666964
