,0
Useful Life,30.0
Wind Cost ($/kW),1639.4400000000003
Solar Cost ($/kW),1389.15
Electrolyzer Installed Cost ($/kW),1327.5068800000001
Wind capacity (MW),930.0
Solar capacity (MW),800.0
Excess VRE capacity (%),10.0
Battery storage capacity (MW),108.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),720.0
Total Electricity Production (kWh),4600388291.0
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,0.0
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),58.507599553625944
Grid Price ($/MWh),0.0
Electricity CF (-),2.286210875042015
Wind plant CF (-),0.4014329564495801
Wind annual energy (MWh),3270394.009603439
Solar plant CF (-),0.2445181007276155
Solar annual energy (MWh),1713582.8498991292
LCOH ($/kg),5.127269838500487
Electrolyzer CF (-),0.6616386820554686
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),48645.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),97.95031105548138
Hydrogen storage capacity (kg),1566493.056691485
Hydrogen storage CAPEX ($/kg),70.66198777825473
Hydrogen annual production (kg),76747826.3920008
Hydrogen production total CAPEX ($),3782699966.552698
Hydrogen transmission total CAPEX ($),39244689.60692855
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.10715083855797082
LCOH: Electrolyzer CAPEX ($/kg),1.4620517794042427
LCOH: Desalination CAPEX ($/kg),0.001085634097332472
LCOH: Electrolyzer FOM ($/kg),0.12060305204093189
LCOH:Desalination FOM ($/kg),0.002392006051112122
LCOH: Electrolyzer VOM ($/kg),0.0746470333686292
LCOH: Wind Plant CAPEX ($/kg),1.3327046210688538
LCOH: Wind Plant FOM ($/kg),0.40745929574297657
LCOH: Solar Plant CAPEX ($/kg),0.9713920800429614
LCOH: Solar Plant FOM ($/kg),0.21984931361628213
LCOH: Battery Storage CAPEX ($/kg),0.058623370428248694
LCOH: Battery Storage FOM ($/kg),0.021941746675025013
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.16612768370620198
LCOH: Water consumption ($/kg),0.008292914934426389
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.17294846876529285
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),16.35510368708427
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),16.35510368708427
Steel Price with Integration ($/tonne),1036.4904723352463
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.618658870656437
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.851134526937269
Steel price: Carbon ($/tonne),14.668248391143912
Steel price: Iron Ore ($/tonne),365.3723947549814
Steel price: Hydrogen ($/tonne),338.19471854749213
Steel price: Natural gas ($/tonne),2.949134709974628
Steel price: Electricity ($/tonne),53.352290662757554
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),28.640159388069048
Steel price: Equipment Financing ($/tonne),89.48774209887884
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1049.8389050583876
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.0115303691084747
Ammonia price: Electricity ($/kg),0.011639600097879597
Ammonia price: Cooling water ($/kg),0.0001547520645747896
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010388927805254546
Ammonia price: Equipment Financing ($/kg),0.03618739458072631
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),1.1122667541736004
