,0
Useful Life,30.0
Wind Cost ($/kW),2271.2400000000002
Solar Cost ($/kW),1161.95
Electrolyzer Installed Cost ($/kW),1775.36352
Wind capacity (MW),1032.0
Solar capacity (MW),800.0
Excess VRE capacity (%),10.0
Battery storage capacity (MW),108.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),720.0
Total Electricity Production (kWh),4627229969.0
Debt Equity,60.0
ATB Year,2022.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.6
Ren PTC first year ($/kg),0.21928905531739948
Wind PTC,0.0055341
Discount Rate,0.07
NPV Wind Expenses,0.0
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),67.25725265360781
Grid Price ($/MWh),0.0
Electricity CF (-),2.2995501264847746
Wind plant CF (-),0.35248332549819017
Wind annual energy (MWh),3186562.057167798
Solar plant CF (-),0.2566306848802259
Solar annual energy (MWh),1798467.8396406232
LCOH ($/kg),5.617955422365374
Electrolyzer CF (-),0.6503226553583629
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),43892.0
Number of stack clusters (-),27.0
Hydrogen storage duration (hr),347.1368422493974
Hydrogen storage capacity (kg),5540533.567921822
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),76528892.98306826
Hydrogen production total CAPEX ($),4775969878.913523
Hydrogen transmission total CAPEX ($),44723023.40711903
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.11752727003388652
LCOH: Electrolyzer CAPEX ($/kg),1.8572611342662655
LCOH: Desalination CAPEX ($/kg),0.001031200656372332
LCOH: Electrolyzer FOM ($/kg),0.12118678680877656
LCOH:Desalination FOM ($/kg),0.002403583677658878
LCOH: Electrolyzer VOM ($/kg),0.07477306829503214
LCOH: Wind Plant CAPEX ($/kg),1.946067317761108
LCOH: Wind Plant FOM ($/kg),0.46899286494996556
LCOH: Solar Plant CAPEX ($/kg),0.771778295704235
LCOH: Solar Plant FOM ($/kg),0.25247247251828453
LCOH: Battery Storage CAPEX ($/kg),0.06760989089008482
LCOH: Battery Storage FOM ($/kg),0.02676997185170436
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-0.2536212015178816
LCOH: Water consumption ($/kg),0.011655677691341555
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.1820336891884296
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),16.02318523812654
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),16.023185238126523
Steel Price with Integration ($/tonne),1176.9602130108015
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.308599303666794
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.5171829269372683
Steel price: Carbon ($/tonne),12.31665039114391
Steel price: Iron Ore ($/tonne),471.3075301549815
Steel price: Hydrogen ($/tonne),370.5603396592201
Steel price: Natural gas ($/tonne),2.9384191858619975
Steel price: Electricity ($/tonne),53.88717909669765
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.64200560574314
Steel price: Equipment Financing ($/tonne),92.12631630219366
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1190.3086457339425
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.1083349815819654
Ammonia price: Electricity ($/kg),0.011631778622071973
Ammonia price: Cooling water ($/kg),0.00021750376086284866
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010570579249054558
Ammonia price: Equipment Financing ($/kg),0.036711459701805914
Ammonia price: Remaining Financial ($/kg),0.006147155674344376
Ammonia price: Total ($/kg),1.2098320134324512
