,0
Useful Life,30
Wind Cost ($/kW),1674.0
Solar Cost ($/kW),649.4
Electrolyzer Installed Cost ($/kW),616.75712
Wind capacity (MW),570
Solar capacity (MW),50.0
Excess VRE capacity (%),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2035
Grid Total Emission Intensity first year (kg-CO2/kg-H2),1.5161747878513219
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0.0332046
Discount Rate,0.07
NPV Wind Expenses,-804922016.8774862
NPV Solar Expenses,-59512322.20522856
NPV HVDC Expenses,0.0
LCOE ($/MWh),33.12167473850158
Grid Price ($/MWh),108.4195
Electricity CF (-),1.0
Wind plant CF (-),0.3524833254981901
Wind annual energy (MWh),1760019.7408775627
Solar plant CF (-),0.24897471022739995
Solar annual energy (MWh),109050.92307960117
LCOH ($/kg),5.1379777635644945
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.46584523 0.45915664 0.4526574  0.44633959 0.4401957  0.43421866
 0.42840175 0.42273864 0.42122327 0.45915664 0.4526574  0.44633959
 0.4401957  0.43421866 0.42840175 0.42273864 0.42122327 0.45915664
 0.4526574  0.44633959 0.4401957  0.43421866 0.42840175 0.42273864
 0.42122327 0.45915664 0.4526574  0.44633959 0.4401957  0.43421866]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1283521429.8996227
Hydrogen transmission total CAPEX ($),34595770.58937679
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.39852897031177625
LCOH: Desalination CAPEX ($/kg),0.0007687290154688386
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.8858634736636932
LCOH: Wind Plant FOM ($/kg),0.23518967340830355
LCOH: Solar Plant CAPEX ($/kg),0.030145241977258083
LCOH: Solar Plant FOM ($/kg),0.010233468802575165
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Grid Transmission ($/kg),0.0744629824976926
LCOH: Taxes and Finances ($/kg),0.046508489831920505
LCOH: Water consumption ($/kg),0.011655677691341555
LCOH: Grid electricity ($/kg),3.120999960653874
LCOH: Bulk H2 Transmission ($/kg),0.16285111915825812
Steel annual production (tonne/year),999999.9999999999
