,0
Useful Life,30.0
Wind Cost ($/kW),1674.0
Solar Cost ($/kW),649.4
Electrolyzer Installed Cost ($/kW),616.7571200000001
Wind capacity (MW),930.0
Solar capacity (MW),1800.0
Excess VRE capacity (%),50.0
Battery storage capacity (MW),246.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),1720.0
Total Electricity Production (kWh),6629422422.0
Debt Equity,60.0
ATB Year,2035.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2053765891.5598092
NPV Solar Expenses,-2142426326.4708598
NPV HVDC Expenses,0.0
LCOE ($/MWh),45.32840181748081
Grid Price ($/MWh),0.0
Electricity CF (-),-3.137936820495603
Wind plant CF (-),0.35248332549819034
Wind annual energy (MWh),2871611.156168657
Solar plant CF (-),0.24896957709168138
Solar annual energy (MWh),3925752.2915816316
LCOH ($/kg),3.924542338891597
Electrolyzer CF (-),0.42600045950977794
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),37062.0
Number of stack clusters (-),27.0
Hydrogen storage duration (hr),153.68074914186414
Hydrogen storage capacity (kg),6039827.175088301
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),119140229.41251808
Hydrogen production total CAPEX ($),4103001777.7125645
Hydrogen transmission total CAPEX ($),48078759.48656535
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.10150838678112717
LCOH: Electrolyzer CAPEX ($/kg),1.2040506652823155
LCOH: Desalination CAPEX ($/kg),0.0016427530408933966
LCOH: Electrolyzer FOM ($/kg),0.1864463250015742
LCOH:Desalination FOM ($/kg),0.003697922482592063
LCOH: Electrolyzer VOM ($/kg),0.07301530853205171
LCOH: Wind Plant CAPEX ($/kg),0.8619591504682715
LCOH: Wind Plant FOM ($/kg),0.2381662103599324
LCOH: Solar Plant CAPEX ($/kg),0.6471918976923292
LCOH: Solar Plant FOM ($/kg),0.22865419581406718
LCOH: Battery Storage CAPEX ($/kg),0.07205084215711391
LCOH: Battery Storage FOM ($/kg),0.02755156029450724
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.12440319739094217
LCOH: Water consumption ($/kg),0.011655677691341558
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.14254824590253817
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),80.62496878792919
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),80.62496878792915
Steel Price with Integration ($/tonne),1063.581818035491
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.308599303666794
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.5171829269372683
Steel price: Carbon ($/tonne),12.31665039114391
Steel price: Iron Ore ($/tonne),471.3075301549815
Steel price: Hydrogen ($/tonne),258.86281267328974
Steel price: Natural gas ($/tonne),3.0713085904177464
Steel price: Electricity ($/tonne),52.64757614486487
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.494218252345743
Steel price: Equipment Financing ($/tonne),91.69994921348777
Steel price: Remaining Financial ($/tonne),8.74427189987843
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1076.9302507586317
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.7742509923764521
Ammonia price: Electricity ($/kg),0.011629550116543699
Ammonia price: Cooling water ($/kg),0.00021750376086284866
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.009768151377663854
Ammonia price: Equipment Financing ($/kg),0.03439645217540832
Ammonia price: Remaining Financial ($/kg),0.006147155674344375
Ammonia price: Total ($/kg),0.8726283603236215
