,0
Useful Life,30
Wind Cost ($/kW),1510.272
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),1775.36352
Wind capacity (MW),618
Solar capacity (MW),0.0
Excess VRE capacity (%),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2022
Grid Total Emission Intensity first year (kg-CO2/kg-H2),1.698846091730674
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.2
Ren PTC first year ($/kg),0.20167545529091443
Wind PTC,0.0055341
Discount Rate,0.07
NPV Wind Expenses,0
NPV Solar Expenses,0
NPV HVDC Expenses,0
LCOE ($/MWh),35.208580130467915
Grid Price ($/MWh),90.55992559
Electricity CF (-),1.13
Wind plant CF (-),0.4933462776803201
Wind annual energy (MWh),2670818.876552395
Solar plant CF (-),0.0
Solar annual energy (MWh),0
LCOH ($/kg),4.773722639191899
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.66628333 0.65671686 0.64742121 0.63838504 0.62959763 0.62104886
 0.61272914 0.60462937 0.60246198 0.65671686 0.64742121 0.63838504
 0.62959763 0.62104886 0.61272914 0.60462937 0.60246198 0.65671686
 0.64742121 0.63838504 0.62959763 0.62104886 0.61272914 0.60462937
 0.60246198 0.65671686 0.64742121 0.63838504 0.62959763 0.62104886]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1786350597.8996227
Hydrogen transmission total CAPEX ($),52711102.94017241
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),1.1506513267893108
LCOH: Desalination CAPEX ($/kg),0.0007710525879918745
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.8691422400923122
LCOH: Wind Plant FOM ($/kg),0.2914229938172061
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Grid Transmission ($/kg),0.2733305063068905
LCOH: Taxes and Finances ($/kg),-0.21238447901946894
LCOH: Water consumption ($/kg),0.013622038964452972
LCOH: Grid electricity ($/kg),2.0117011424906925
LCOH: Bulk H2 Transmission ($/kg),0.21469584061017832
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1176.4174117232935
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.6561384169310776
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
