,0
Useful Life,30
Wind Cost ($/kW),1259.9279999999999
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),762.11968
Wind capacity (MW),618
Solar capacity (MW),0.0
Excess VRE capacity (%),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2030
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.5201067239566345
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),3
Ren PTC first year ($/kg),1.2100527317454866
Wind PTC,0.0332046
Discount Rate,0.07
NPV Wind Expenses,-618280774.1990949
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),16.337480260326082
Grid Price ($/MWh),106.1208327
Electricity CF (-),1.0
Wind plant CF (-),0.4933462776803201
Wind annual energy (MWh),2670818.876552395
Solar plant CF (-),0.0
Solar annual energy (MWh),0
LCOH ($/kg),0.9930305577631504
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.65279804 0.64342519 0.63431767 0.62546439 0.61685484 0.60847909
 0.60032775 0.59239192 0.59026841 0.64342519 0.63431767 0.62546439
 0.61685484 0.60847909 0.60032775 0.59239192 0.59026841 0.64342519
 0.63431767 0.62546439 0.61685484 0.60847909 0.60032775 0.59239192
 0.59026841 0.64342519 0.63431767 0.62546439 0.61685484 0.60847909]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1145280962.6996226
Hydrogen transmission total CAPEX ($),45130239.05670443
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.1041134333500143
LCOH: Desalination CAPEX ($/kg),0.0001625216191528396
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.1528299795759376
LCOH: Wind Plant FOM ($/kg),0.2641020881468431
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Grid Transmission ($/kg),0.05761230445325917
LCOH: Taxes and Finances ($/kg),-2.2644814271596014
LCOH: Water consumption ($/kg),0.013622038964452972
LCOH: Grid electricity ($/kg),2.3105220396986983
LCOH: Bulk H2 Transmission ($/kg),0.1937776025620606
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),927.444502196402
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.6561384169310776
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.4258581269372694
Steel price: Carbon ($/tonne),15.327298391143913
Steel price: Iron Ore ($/tonne),520.3974352549815
Steel price: Hydrogen ($/tonne),65.5002955900574
Steel price: Natural gas ($/tonne),2.8346103645032112
Steel price: Electricity ($/tonne),57.08753942775134
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.69807497659884
Steel price: Equipment Financing ($/tonne),92.16126126314211
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),940.792934919543
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.19590944074906014
Ammonia price: Electricity ($/kg),0.012561950545213498
Ammonia price: Cooling water ($/kg),0.000254197549370273
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.008133103642096512
Ammonia price: Equipment Financing ($/kg),0.029679333106129753
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),0.2889037361085608
