,0
Useful Life,30.0
Wind Cost ($/kW),1259.9279999999999
Solar Cost ($/kW),991.8
Electrolyzer Installed Cost ($/kW),762.1196800000002
Wind capacity (MW),1188.0
Solar capacity (MW),600.0
Excess VRE capacity (%),50.0
Battery storage capacity (MW),138.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),1000.0
Total Electricity Production (kWh),6341269065.0
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2512440573.318623
NPV Solar Expenses,-985928346.1606715
NPV HVDC Expenses,0.0
LCOE ($/MWh),38.06026021713781
Grid Price ($/MWh),0.0
Electricity CF (-),37.28723636143571
Wind plant CF (-),0.49334627768031686
Wind annual energy (MWh),5134195.510265736
Solar plant CF (-),0.3190775725149936
Solar annual energy (MWh),1677071.721138806
LCOH ($/kg),3.078801880071226
Electrolyzer CF (-),0.6858919596988878
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),54092.0
Number of stack clusters (-),19.0
Hydrogen storage duration (hr),238.3265662655258
Hydrogen storage capacity (kg),5288887.705097527
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),111258132.11906913
Hydrogen production total CAPEX ($),3070808394.4484015
Hydrogen transmission total CAPEX ($),55850789.10630861
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.08431259910080248
LCOH: Electrolyzer CAPEX ($/kg),0.7482797586759828
LCOH: Desalination CAPEX ($/kg),0.0010585622177122804
LCOH: Electrolyzer FOM ($/kg),0.11552979529766522
LCOH:Desalination FOM ($/kg),0.0022913845442482593
LCOH: Electrolyzer VOM ($/kg),0.07444500712538625
LCOH: Wind Plant CAPEX ($/kg),0.9185081340419088
LCOH: Wind Plant FOM ($/kg),0.3358321178283418
LCOH: Solar Plant CAPEX ($/kg),0.3651709259700062
LCOH: Solar Plant FOM ($/kg),0.09747826478240504
LCOH: Battery Storage CAPEX ($/kg),0.04767693406317413
LCOH: Battery Storage FOM ($/kg),0.01753119514815782
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.09246976627787412
LCOH: Water consumption ($/kg),0.013622038964452972
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.16459539603310822
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),68.67515481969242
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),68.67515481969242
Steel Price with Integration ($/tonne),1066.532569146693
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.6561384169310776
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.4258581269372694
Steel price: Carbon ($/tonne),15.327298391143913
Steel price: Iron Ore ($/tonne),520.3974352549815
Steel price: Hydrogen ($/tonne),203.07777200949806
Steel price: Natural gas ($/tonne),2.8346103645032112
Steel price: Electricity ($/tonne),57.08753942775134
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),30.086900979239736
Steel price: Equipment Financing ($/tonne),93.2830257913516
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1079.881001869834
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.6073995908651293
Ammonia price: Electricity ($/kg),0.012561950545213498
Ammonia price: Cooling water ($/kg),0.000254197549370273
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.009297952965254132
Ammonia price: Equipment Financing ($/kg),0.033039927928883626
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),0.7049193303705416
