,0
Useful Life,30.0
Wind Cost ($/kW),1189.134
Solar Cost ($/kW),725.8
Electrolyzer Installed Cost ($/kW),616.75712
Wind capacity (MW),756.0
Solar capacity (MW),600.0
Excess VRE capacity (%),10.0
Battery storage capacity (MW),102.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),680.0
Total Electricity Production (kWh),4604524880.0
Debt Equity,60.0
ATB Year,2035.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0055341
Discount Rate,0.07
NPV Wind Expenses,0.0
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),34.61558484074836
Grid Price ($/MWh),0.0
Electricity CF (-),2.7707511525781117
Wind plant CF (-),0.49334627768032147
Wind annual energy (MWh),3267215.3247145894
Solar plant CF (-),0.3288953139383136
Solar annual energy (MWh),1728673.770059776
LCOH ($/kg),2.762290227097288
Electrolyzer CF (-),0.7061097164406653
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),53938.0
Number of stack clusters (-),19.0
Hydrogen storage duration (hr),214.68741615366343
Hydrogen storage capacity (kg),3229424.1538110483
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),77775999.10628094
Hydrogen production total CAPEX ($),1894385345.778225
Hydrogen transmission total CAPEX ($),47239810.567369185
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.07458648704622428
LCOH: Electrolyzer CAPEX ($/kg),0.5861043347264699
LCOH: Desalination CAPEX ($/kg),0.001024557482881263
LCOH: Electrolyzer FOM ($/kg),0.11234656790840088
LCOH:Desalination FOM ($/kg),0.002228249332922083
LCOH: Electrolyzer VOM ($/kg),0.07460639904018487
LCOH: Wind Plant CAPEX ($/kg),0.7852075348609171
LCOH: Wind Plant FOM ($/kg),0.29508321707764623
LCOH: Solar Plant CAPEX ($/kg),0.38036459078894147
LCOH: Solar Plant FOM ($/kg),0.11616717729499174
LCOH: Battery Storage CAPEX ($/kg),0.04712894413013159
LCOH: Battery Storage FOM ($/kg),0.017411523756897678
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.0717111764186481
LCOH: Water consumption ($/kg),0.013622038964452972
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.18469742826757815
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),17.913885849425327
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),17.913885849425302
Steel Price with Integration ($/tonne),1044.211846769022
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.6561384169310776
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.4258581269372694
Steel price: Carbon ($/tonne),15.327298391143913
Steel price: Iron Ore ($/tonne),520.3974352549815
Steel price: Hydrogen ($/tonne),182.20066337933713
Steel price: Natural gas ($/tonne),2.819545069488472
Steel price: Electricity ($/tonne),56.71628115529498
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.814754486897616
Steel price: Equipment Financing ($/tonne),92.49788210365443
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1057.5602794921626
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.5449567783656227
Ammonia price: Electricity ($/kg),0.012480362044869166
Ammonia price: Cooling water ($/kg),0.000254197549370273
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.00908962996709934
Ammonia price: Equipment Financing ($/kg),0.032438915269871395
Ammonia price: Remaining Financial ($/kg),0.006147155674344376
Ammonia price: Total ($/kg),0.6415855937135236
