,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Financing cash outflow,Income taxes payable,0.0
5,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
6,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Sales tax,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Installation cost,0.0
17,Operating Expenses,Non-depreciable assets,0.00011370520891750185
18,Financing cash outflow,Desalination,0.0003765972460594557
19,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
20,Operating Expenses,Water,0.008292914934426389
21,Operating Expenses,Cash on hand reserve,0.02132925899328135
22,Operating Expenses,Property insurance,0.03859690259819782
23,Operating Expenses,Var O&M,0.07527468904833468
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
25,Financing cash outflow,Grid Transmission,0.21463769985191258
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.269572163758946
27,Financing cash outflow,Electrolysis system,0.4202293408094219
28,Financing cash outflow,Wind Plant,0.5136434205324193
29,Financing cash outflow,Repayment of debt,0.8024305172892421
30,Financing cash outflow,Dividends paid,1.0500198620557422
31,Financing cash outflow,Interest expense,1.093148067445672
32,Operating Expenses,Grid Electricity Cost,2.4448748750713216
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00011370520891750185
38,Operating Revenue,Cash on hand recovery,0.02132925899328135
39,Financing cash inflow,Inflow of debt,0.8024305172892421
40,Financing cash inflow,Inflow of equity,1.8285060916191416
41,Financing cash inflow,Monetized tax losses,1.8325346833503635
42,Operating Revenue,Hydrogen sales,2.5531210458869475
