,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Grid Transmission,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.00010843244379605211
14,Financing cash outflow,Desalination,0.0005087725838005968
15,Operating Expenses,Desalination Fixed O&M Cost,0.0022462772039083317
16,Financing cash outflow,Compression,0.004406163079741152
17,Operating Expenses,Water,0.00829291493442639
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.020604983564788598
19,Financing cash outflow,Battery Storage,0.027473311419718132
20,Operating Expenses,Cash on hand reserve,0.027740042569660093
21,Operating Expenses,Var O&M,0.07488649453179197
22,Operating Expenses,Property insurance,0.08313484786009502
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1132555188961005
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.2732497583660513
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.34151223228746297
26,Financing cash outflow,Hydrogen Storage,0.5343392898016055
27,Financing cash outflow,Solar Plant,0.5738244925687076
28,Financing cash outflow,Wind Plant,0.6507181924861234
29,Financing cash outflow,Electrolysis system,0.6851773201352892
30,Financing cash outflow,Repayment of debt,1.227303897030762
31,Financing cash outflow,Dividends paid,1.5620664486976792
32,Financing cash outflow,Interest expense,1.6816166762407003
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00010843244379563847
37,Operating Revenue,Cash on hand recovery,0.027740042569660096
38,Financing cash inflow,One time capital incentive,0.5678185468950157
39,Operating Revenue,Hydrogen sales,0.9701398474586925
40,Financing cash inflow,Inflow of debt,1.2273038970307621
41,Financing cash inflow,Monetized tax losses,2.5193134130000137
42,Financing cash inflow,Inflow of equity,2.5800418873042688
