,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Financing cash outflow,Income taxes payable,0.0
5,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
6,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Financing cash outflow,Solar Plant,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Sales tax,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Installation cost,0.0
17,Operating Expenses,Non-depreciable assets,0.00011370520891750185
18,Financing cash outflow,Desalination,0.0003765972460594557
19,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
20,Operating Expenses,Water,0.008292914934426389
21,Operating Expenses,Cash on hand reserve,0.020734957138421814
22,Operating Expenses,Property insurance,0.03079681598725342
23,Operating Expenses,Var O&M,0.07527468904833468
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
25,Financing cash outflow,Grid Transmission,0.21463769985191258
26,Financing cash outflow,Electrolysis system,0.24125302517775843
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.25098098005143255
28,Financing cash outflow,Wind Plant,0.46013179676095967
29,Financing cash outflow,Repayment of debt,0.704764878928164
30,Financing cash outflow,Interest expense,0.9321037695218237
31,Financing cash outflow,Dividends paid,0.9816336230929594
32,Operating Expenses,Grid Electricity Cost,2.4570593114009283
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00011370520891782717
38,Operating Revenue,Cash on hand recovery,0.02073495713842181
39,Financing cash inflow,Inflow of debt,0.7047648789281642
40,Operating Revenue,Hydrogen sales,1.47295771137932
41,Financing cash inflow,Inflow of equity,2.0594621105025923
42,Financing cash inflow,Monetized tax losses,2.205616688695934
