,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Sales tax,0.0
16,Operating Expenses,Non-depreciable assets,0.00011370520891750185
17,Financing cash outflow,Desalination,0.0003765972460594557
18,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
19,Operating Expenses,Water,0.012824095259422248
20,Operating Expenses,Cash on hand reserve,0.019720824051107446
21,Operating Expenses,Property insurance,0.03399204343089358
22,Operating Expenses,Var O&M,0.07527468904833468
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Income taxes payable,0.15281812113248358
25,Financing cash outflow,Electrolysis system,0.24125302517775843
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.2641020881468431
27,Financing cash outflow,Grid Transmission,0.3599494174965894
28,Financing cash outflow,Wind Plant,0.41005643755029386
29,Financing cash outflow,Repayment of debt,0.6654575891035864
30,Financing cash outflow,Dividends paid,0.9434848486806643
31,Financing cash outflow,Interest expense,0.9755519776050101
32,Operating Expenses,Grid Electricity Cost,3.934314128952596
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.0001137052089170681
38,Operating Revenue,Cash on hand recovery,0.019720824051107446
39,Financing cash inflow,Monetized tax losses,0.3246247091474661
40,Financing cash inflow,Inflow of debt,0.6654575891035864
41,Financing cash inflow,Inflow of equity,0.9712061378393304
42,Operating Revenue,Hydrogen sales,6.193661910244151
