,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Grid Transmission,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.00010775151963802402
14,Financing cash outflow,Desalination,0.0005650573625677204
15,Operating Expenses,Desalination Fixed O&M Cost,0.0024947796183410363
16,Financing cash outflow,Compression,0.005849554804500089
17,Operating Expenses,Water,0.012824095259422246
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.020747124100222974
19,Operating Expenses,Cash on hand reserve,0.02552810579317652
20,Financing cash outflow,Battery Storage,0.027662832133630633
21,Operating Expenses,Property insurance,0.07234852471279218
22,Operating Expenses,Var O&M,0.07434647687755892
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.12578481396464375
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.2792919389017583
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.3328880619770057
26,Financing cash outflow,Electrolysis system,0.4368760255033573
27,Financing cash outflow,Wind Plant,0.5168565449638383
28,Financing cash outflow,Solar Plant,0.539964415210066
29,Financing cash outflow,Hydrogen Storage,0.6271870915777442
30,Financing cash outflow,Repayment of debt,1.0364689443002932
31,Financing cash outflow,Dividends paid,1.4062746006967126
32,Financing cash outflow,Interest expense,1.4198696243553726
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00010775151964007922
37,Operating Revenue,Cash on hand recovery,0.025528105793176523
38,Operating Revenue,Hydrogen sales,0.40230880388819934
39,Financing cash inflow,One time capital incentive,0.5974071694607205
40,Financing cash inflow,Inflow of debt,1.0364689443002935
41,Financing cash inflow,Inflow of equity,2.43728663755424
42,Financing cash inflow,Monetized tax losses,2.4648289511163717
