,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,7.473708849198685e-05
13,Financing cash outflow,Desalination,0.00080448197062165
14,Operating Expenses,Desalination Fixed O&M Cost,0.003551861026125805
15,Financing cash outflow,Compression,0.011504831228516019
16,Operating Expenses,Water,0.012824095259422246
17,Operating Expenses,Cash on hand reserve,0.013514922909047596
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.028023269226778405
19,Financing cash outflow,Battery Storage,0.03736435896903788
20,Operating Expenses,Var O&M,0.07276518533200474
21,Operating Expenses,Property insurance,0.07547857311259541
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.17908202196095924
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.22600495559976824
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.2763976034140709
25,Financing cash outflow,Wind Plant,0.42914699159968617
26,Financing cash outflow,Solar Plant,0.43694291415955194
27,Financing cash outflow,Hydrogen Storage,0.6069251492557513
28,Financing cash outflow,Income taxes payable,0.6554049565741267
29,Financing cash outflow,Electrolysis system,0.7286144875125271
30,Financing cash outflow,Repayment of debt,1.1771567694054474
31,Financing cash outflow,Interest expense,1.7913510529327445
32,Financing cash outflow,Dividends paid,2.8370203287807247
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.009980339901650396
38,Operating Revenue,Cash on hand recovery,0.013514922909047596
39,Financing cash inflow,Monetized tax losses,0.32702975722626915
40,Financing cash inflow,Inflow of debt,1.1771567694054474
41,Financing cash inflow,Inflow of equity,1.889656602923231
42,Operating Revenue,Hydrogen sales,6.182615154952354
