,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Grid Transmission,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.0001139253536414147
14,Financing cash outflow,Desalination,0.0005345456996391114
15,Operating Expenses,Desalination Fixed O&M Cost,0.0023600678530609886
16,Financing cash outflow,Compression,0.004922278618986567
17,Operating Expenses,Water,0.008292914934426387
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.026285313293561763
19,Operating Expenses,Cash on hand reserve,0.0276480540460842
20,Financing cash outflow,Battery Storage,0.03504708439141569
21,Financing cash outflow,Hydrogen Storage,0.04556297902203818
22,Operating Expenses,Var O&M,0.07469016805724696
23,Operating Expenses,Property insurance,0.07664041150056801
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.11899275337138483
25,Operating Expenses,Solar Plant Fixed O&M Cost,0.19686301109236465
26,Financing cash outflow,Solar Plant,0.3924546152380911
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.49892961531248886
28,Financing cash outflow,Wind Plant,0.8415279511603979
29,Financing cash outflow,Electrolysis system,0.9627524442443982
30,Financing cash outflow,Repayment of debt,1.3382315474530637
31,Financing cash outflow,Dividends paid,1.5349994983663198
32,Financing cash outflow,Interest expense,1.7743244496188477
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001139253536414147
37,Operating Revenue,Cash on hand recovery,0.027648054046084197
38,Financing cash inflow,One time capital incentive,0.23653233932577247
39,Operating Revenue,Hydrogen sales,1.0369299780944916
40,Financing cash inflow,Inflow of debt,1.3382315474530635
41,Financing cash inflow,Monetized tax losses,2.60250361200177
42,Financing cash inflow,Inflow of equity,2.7192141723532024
