,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,7.362668736305963e-05
13,Financing cash outflow,Desalination,0.0006096380271709099
14,Operating Expenses,Desalination Fixed O&M Cost,0.0026916073048589783
15,Financing cash outflow,Compression,0.0060827671078521085
16,Operating Expenses,Water,0.008292914934426387
17,Operating Expenses,Cash on hand reserve,0.011216530399355686
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.023043975117639857
19,Financing cash outflow,Battery Storage,0.030725300156853142
20,Financing cash outflow,Hydrogen Storage,0.06452502236522732
21,Operating Expenses,Property insurance,0.06479654324225072
22,Operating Expenses,Var O&M,0.0741239080663002
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.11132355129294616
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1357087101475915
25,Financing cash outflow,Solar Plant,0.2454684306009463
26,Financing cash outflow,Income taxes payable,0.4421704247033647
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.46677646989842936
28,Financing cash outflow,Wind Plant,0.7618996573180814
29,Financing cash outflow,Electrolysis system,0.8210154458189943
30,Financing cash outflow,Repayment of debt,1.0637363401136661
31,Financing cash outflow,Interest expense,1.5871439666533336
32,Financing cash outflow,Dividends paid,2.013440710230449
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,7.362668736418308e-05
38,Operating Revenue,Cash on hand recovery,0.011216530399355685
39,Financing cash inflow,Monetized tax losses,0.30424687797654737
40,Financing cash inflow,Inflow of debt,1.0637363401136661
41,Financing cash inflow,Inflow of equity,1.6155307420900649
42,Operating Revenue,Hydrogen sales,4.940061422920102
