,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,0.00010958006619717211
13,Financing cash outflow,Desalination,0.0005444018556283903
14,Operating Expenses,Desalination Fixed O&M Cost,0.002403583677658878
15,Financing cash outflow,Compression,0.005407789921911893
16,Operating Expenses,Water,0.011655677691341555
17,Operating Expenses,Cash on hand reserve,0.017336771134651686
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02676997185170436
19,Financing cash outflow,Battery Storage,0.03569329580227248
20,Financing cash outflow,Hydrogen Storage,0.05663839235891567
21,Operating Expenses,Var O&M,0.07477306829503214
22,Operating Expenses,Property insurance,0.08438253220519318
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.12118678680877656
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.25247247251828453
25,Financing cash outflow,Income taxes payable,0.35952358989151983
26,Financing cash outflow,Solar Plant,0.40744498533697326
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.46899286494996556
28,Financing cash outflow,Electrolysis system,0.9805040383100483
29,Financing cash outflow,Wind Plant,1.027387494781018
30,Financing cash outflow,Repayment of debt,1.4385146722905664
31,Financing cash outflow,Interest expense,2.1115228587031223
32,Financing cash outflow,Dividends paid,2.3113650407894597
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00010958006619842615
37,Operating Revenue,Cash on hand recovery,0.01733677113465169
38,Financing cash inflow,One time capital incentive,0.029986600409889683
39,Financing cash inflow,Monetized tax losses,0.6975273236145934
40,Financing cash inflow,Inflow of debt,1.4385146722905662
41,Financing cash inflow,Inflow of equity,2.1752331885473986
42,Operating Revenue,Hydrogen sales,5.435921733176944
