,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Operating Expenses,Credit card fees,0.0
11,Financing cash outflow,Grid Transmission,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Non-depreciable assets,0.00010958006619717211
14,Financing cash outflow,Desalination,0.0005444018556283903
15,Operating Expenses,Desalination Fixed O&M Cost,0.002403583677658878
16,Financing cash outflow,Compression,0.005407789921911893
17,Operating Expenses,Water,0.011655677691341555
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02204794763913582
19,Operating Expenses,Cash on hand reserve,0.026268019525042444
20,Financing cash outflow,Battery Storage,0.029397263518847756
21,Financing cash outflow,Hydrogen Storage,0.05663839235891567
22,Operating Expenses,Property insurance,0.07258082915741605
23,Operating Expenses,Var O&M,0.07477306829503214
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.12118678680877656
25,Operating Expenses,Solar Plant Fixed O&M Cost,0.22091341345349896
26,Financing cash outflow,Solar Plant,0.39433044301449566
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.454336837920279
28,Financing cash outflow,Electrolysis system,0.7331601906095113
29,Financing cash outflow,Wind Plant,0.9423825380088366
30,Financing cash outflow,Repayment of debt,1.3073307893773385
31,Financing cash outflow,Dividends paid,1.4644499646716436
32,Financing cash outflow,Interest expense,1.7508017617942473
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00010958006619884417
37,Operating Revenue,Cash on hand recovery,0.026268019525042447
38,Financing cash inflow,One time capital incentive,0.24018304944612953
39,Operating Revenue,Hydrogen sales,1.0189218507795992
40,Financing cash inflow,Inflow of debt,1.3073307893773385
41,Financing cash inflow,Monetized tax losses,2.465988196710454
42,Financing cash inflow,Inflow of equity,2.6319177934609925
