,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Sales tax,0.0
16,Operating Expenses,Non-depreciable assets,0.00011370520891750185
17,Financing cash outflow,Desalination,0.0003765972460594557
18,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
19,Operating Expenses,Water,0.011655677691341555
20,Operating Expenses,Cash on hand reserve,0.015496547552133526
21,Operating Expenses,Property insurance,0.026084890926396452
22,Financing cash outflow,Grid Transmission,0.0364791149777294
23,Operating Expenses,Var O&M,0.07527468904833468
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
25,Financing cash outflow,Income taxes payable,0.12960011972664334
26,Financing cash outflow,Electrolysis system,0.24125302517775843
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.2641020881468431
28,Financing cash outflow,Repayment of debt,0.4940093040955965
29,Financing cash outflow,Wind Plant,0.4978476144377272
30,Financing cash outflow,Interest expense,0.7242281366175093
31,Financing cash outflow,Dividends paid,0.7649193081719751
32,Operating Expenses,Grid Electricity Cost,3.128911478564302
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00011370520891761029
38,Operating Revenue,Cash on hand recovery,0.015496547552133526
39,Financing cash inflow,Monetized tax losses,0.27142615916140067
40,Financing cash inflow,Inflow of debt,0.49400930409559646
41,Financing cash inflow,Inflow of equity,0.7284884411496972
42,Operating Revenue,Hydrogen sales,4.98631342792552
