,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,7.057228265866271e-05
13,Financing cash outflow,Desalination,0.000837564292104822
14,Operating Expenses,Desalination Fixed O&M Cost,0.003697922482592063
15,Operating Expenses,Cash on hand reserve,0.00859583729086984
16,Operating Expenses,Water,0.011655677691341558
17,Financing cash outflow,Compression,0.011990793583813067
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.02755156029450724
19,Financing cash outflow,Battery Storage,0.03673541372600966
20,Financing cash outflow,Hydrogen Storage,0.03976366859073266
21,Operating Expenses,Property insurance,0.0493667375759471
22,Operating Expenses,Var O&M,0.07301530853205171
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1864463250015742
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.22865419581406718
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.2381662103599324
26,Financing cash outflow,Income taxes payable,0.3134763582793555
27,Financing cash outflow,Solar Plant,0.3299734105814561
28,Financing cash outflow,Wind Plant,0.43947336435463713
29,Financing cash outflow,Electrolysis system,0.6138901088730144
30,Financing cash outflow,Repayment of debt,0.7906398693460499
31,Financing cash outflow,Interest expense,1.1751809079817606
32,Financing cash outflow,Dividends paid,1.4164004934785785
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.008416483177434396
38,Operating Revenue,Cash on hand recovery,0.00859583729086984
39,Financing cash inflow,Monetized tax losses,0.23009398756958468
40,Financing cash inflow,Inflow of debt,0.7906398693460499
41,Financing cash inflow,Inflow of equity,1.1758420300400563
42,Operating Revenue,Hydrogen sales,3.7819940929890588
