,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,0.00010756220119906641
13,Financing cash outflow,Desalination,0.0005046893448814914
14,Operating Expenses,Desalination Fixed O&M Cost,0.002228249332922083
15,Financing cash outflow,Compression,0.004335706756962778
16,Operating Expenses,Cash on hand reserve,0.005683488682423208
17,Operating Expenses,Water,0.013622038964452972
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.017411523756897678
19,Financing cash outflow,Battery Storage,0.023215365009196902
20,Operating Expenses,Property insurance,0.031026368360667692
21,Financing cash outflow,Hydrogen Storage,0.03240503830939605
22,Operating Expenses,Var O&M,0.07460639904018487
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.11234656790840088
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.11616717729499174
25,Financing cash outflow,Solar Plant,0.18736474951267776
26,Financing cash outflow,Income taxes payable,0.20749732226488074
27,Financing cash outflow,Electrolysis system,0.28871060693779066
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.29508321707764623
29,Financing cash outflow,Wind Plant,0.38678735257540753
30,Financing cash outflow,Repayment of debt,0.5628899946995866
31,Financing cash outflow,Interest expense,0.83371711128134
32,Financing cash outflow,Dividends paid,0.9577600713359502
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00010756220119947673
38,Operating Revenue,Cash on hand recovery,0.005683488682423209
39,Financing cash inflow,Monetized tax losses,0.1668125142068999
40,Financing cash inflow,Inflow of debt,0.5628899946995866
41,Financing cash inflow,Inflow of equity,0.8403842420280376
42,Operating Revenue,Hydrogen sales,2.5775927988297105
