,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,254861.71196107898,199400.10207510384,454261.8140361828,8366.316447324267
1,454262.5749771121,281255.47558278404,173007.09939432805,454262.5749771121,8366.316447324267
2,454263.33591804164,283983.21161727025,170280.12430077136,454263.33591804164,8366.316447324267
3,454264.09685897105,304586.46281203907,149677.63404693195,454264.09685897105,8366.316447324267
4,454264.85779990046,295327.7958021143,158937.06199778616,454264.85779990046,8366.316447324267
5,454265.6187408299,316935.9115414823,137329.70719934755,454265.6187408299,8366.316447324267
6,454266.37968175916,326763.46109754295,127502.91858421623,454266.37968175916,8366.316447324267
7,454267.1406226887,349841.14105964644,104425.99956304223,454267.1406226887,8366.316447324267
8,454267.9015636181,343272.8613423305,110995.04022128758,454267.9015636181,8366.316447324267
9,454268.6625045474,406836.6904425361,47431.97206201133,454268.6625045474,8366.316447324267
10,454269.42344547686,431322.9428909937,22946.48055448311,454269.42344547686,8366.316447324267
11,454270.1843864062,437159.43295623345,17110.751430172768,454270.1843864062,8366.316447324267
12,454270.9453273357,453873.8746022387,397.0707250969788,454270.9453273357,8366.316447324267
13,454271.7062682651,439011.74084869184,15259.965419573256,454271.7062682651,8366.316447324267
14,454272.46720919444,437255.9207456202,17016.54646357421,454272.46720919444,8366.316447324267
15,454273.22815012385,429093.42053137237,25179.80761875149,454273.22815012385,8366.316447324267
16,454273.98909105326,407071.34583351144,47202.64325754182,454273.98909105326,8366.316447324267
17,454274.7500319827,362056.71981308993,92218.03021889277,454274.7500319827,8366.316447324267
18,454275.5109729122,263283.38302238716,190992.127950525,454275.5109729122,8366.316447324267
19,454276.2719138414,266140.39238427073,188135.8795295707,454276.2719138414,8366.316447324267
20,454277.03285477095,207725.94932543524,246551.0835293357,454277.03285477095,8366.316447324267
21,454277.79379570024,222185.77815363667,232092.01564206358,454277.79379570024,8366.316447324267
22,454278.55473662965,238020.0946310083,216258.46010562134,454278.55473662965,8366.316447324267
23,454279.3156775591,175971.33073302545,278307.9849445337,454279.3156775591,8366.316447324267
24,454280.0766184884,168780.5185993192,285499.5580191692,454280.0766184884,8366.316447324267
25,454280.83755941794,148741.53693592257,305539.30062349536,454280.83755941794,8366.316447324267
26,454281.5985003473,148170.3538671059,306111.2446332414,454281.5985003473,8366.316447324267
27,454282.35944127664,138150.82425301435,316131.5351882623,454282.35944127664,8366.316447324267
28,454283.1203822061,82722.76668434031,371560.3536978658,454283.1203822061,8366.316447324267
29,454283.88132313546,63314.36265552719,390969.51866760827,454283.88132313546,8366.316447324267
30,454284.6422640649,10579.745425659232,443704.8968384057,454284.6422640649,8366.316447324267
31,478041.0657285161,0.0,478041.0657285161,478041.0657285161,8366.316447324267
32,480000.0,0.0,480000.0,480000.0,8366.316447324267
33,454286.92508685315,55562.44325624709,398724.48183060606,454286.92508685315,8366.316447324267
34,454287.6860277825,256666.0585278249,197621.6274999576,454287.6860277825,8366.316447324267
35,454288.44696871185,309825.2682117628,144463.17875694903,454288.44696871185,8366.316447324267
36,454289.20790964126,314370.1570818159,139919.05082782538,454289.20790964126,8366.316447324267
37,454289.9688505707,289983.3556223581,164306.61322821258,454289.9688505707,8366.316447324267
38,454290.7297915002,291140.5349312428,163150.19486025738,454290.7297915002,8366.316447324267
39,454291.49073242943,281956.71831442346,172334.772418006,454291.49073242943,8366.316447324267
40,454292.2516733589,197857.2415375381,256435.0101358208,454292.2516733589,8366.316447324267
41,454293.01261428825,69857.49880852527,384435.513805763,454293.01261428825,8366.316447324267
42,458616.45118789835,0.0,458616.45118789835,458616.45118789835,8366.316447324267
43,454294.53449614707,52754.52201674774,401540.01247939933,454294.53449614707,8366.316447324267
44,454295.2954370766,74749.03612968302,379546.2593073936,454295.2954370766,8366.316447324267
45,454296.05637800595,145668.19922858267,308627.8571494233,454296.05637800595,8366.316447324267
46,454296.81731893535,118880.00691567728,335416.8104032581,454296.81731893535,8366.316447324267
47,454297.5782598647,139712.75208188494,314584.82617797976,454297.5782598647,8366.316447324267
48,454298.3392007941,86129.34995767206,368168.98924312205,454298.3392007941,8366.316447324267
49,454299.1001417236,43278.21990566747,411020.8802360561,454299.1001417236,8366.316447324267
50,454299.8610826529,13244.221642797347,441055.6394398555,454299.8610826529,8366.316447324267
51,456731.10251486505,0.0,456731.10251486505,456731.10251486505,8366.316447324267
52,454301.38296451175,19869.73108125158,434431.6518832602,454301.38296451175,8366.316447324267
53,454302.1439054411,20582.483771450177,433719.6601339909,454302.1439054411,8366.316447324267
54,454302.9048463705,2479.7875804396463,451823.11726593086,454302.9048463705,8366.316447324267
55,454303.6657872999,86991.5392544826,367312.1265328173,454303.6657872999,8366.316447324267
56,454304.4267282293,217012.1235384347,237292.30318979456,454304.4267282293,8366.316447324267
57,454305.1876691588,155020.52673098474,299284.66093817406,454305.1876691588,8366.316447324267
58,454305.9486100882,260709.4514200641,193596.4971900241,454305.9486100882,8366.316447324267
59,454306.70955101756,265180.8655315848,189125.84401943278,454306.70955101756,8366.316447324267
60,454307.47049194697,297991.3184932455,156316.15199870145,454307.47049194697,8366.316447324267
61,454308.2314328763,317060.1723983884,137248.05903448793,454308.2314328763,8366.316447324267
62,454308.9923738058,290776.43542919774,163532.55694460805,454308.9923738058,8366.316447324267
63,454309.7533147351,280410.16028924624,173899.59302548884,454309.7533147351,8366.316447324267
64,454310.5142556646,233036.65890645387,221273.85534921073,454310.5142556646,8366.316447324267
65,454311.27519659395,201643.0990354849,252668.17616110906,454311.27519659395,8366.316447324267
66,454312.0361375233,265134.38609496504,189177.65004255826,454312.0361375233,8366.316447324267
67,454312.7970784528,48458.20898617478,405854.588092278,454312.7970784528,8366.316447324267
68,454313.55801938206,46647.97200299305,407665.586016389,454313.55801938206,8366.316447324267
69,454314.3189603115,27260.925561918935,427053.39339839254,454314.3189603115,8366.316447324267
70,454315.079901241,51952.28839415754,402362.79150708346,454315.079901241,8366.316447324267
71,454315.84084217035,18452.758214152534,435863.0826280178,454315.84084217035,8366.316447324267
72,472044.65820047614,0.0,472044.65820047614,472044.65820047614,8366.316447324267
73,480000.0,0.0,480000.0,480000.0,8366.316447324267
74,480000.0,0.0,480000.0,480000.0,8366.316447324267
75,480000.0,0.0,480000.0,480000.0,8366.316447324267
76,480000.0,0.0,480000.0,480000.0,8366.316447324267
77,480000.0,0.0,480000.0,480000.0,8366.316447324267
78,480000.0,0.0,480000.0,480000.0,8366.316447324267
79,480000.0,0.0,480000.0,480000.0,8366.316447324267
80,480000.0,0.0,480000.0,480000.0,8366.316447324267
81,480000.0,0.0,480000.0,480000.0,8366.316447324267
82,454324.21119239373,6498.392281203007,447825.8189111907,454324.21119239373,8366.316447324267
83,454324.9721333232,81349.4180737547,372975.5540595685,454324.9721333232,8366.316447324267
