,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,312219.0,0.0,312219.0,312219.0,6454.714617729687
1,270893.0,0.0,270893.0,270893.0,5645.676809778547
2,266623.0,0.0,266623.0,266623.0,5561.547910425645
3,234364.0,0.0,234364.0,234364.0,4922.542336564134
4,248862.0,0.0,248862.0,248862.0,5210.499160310826
5,215029.0,0.0,215029.0,215029.0,4525.66717906486
6,199643.0,0.0,199643.0,199643.0,4196.244270320293
7,163509.0,0.0,163509.0,163509.0,3441.674130779187
8,1210507.0,0.0,1210507.0,1210507.0,21584.54907300202
9,1432477.0,0.0,1432477.0,1432477.0,26308.85573885096
10,1394138.0,0.0,1394138.0,1394138.0,25676.859157068237
11,1385001.0,0.0,1385001.0,1385001.0,25525.820614105767
12,1358831.0,0.0,1358831.0,1358831.0,25092.46158732414
13,1382103.0,0.0,1382103.0,1382103.0,25477.8122567889
14,1384853.0,0.0,1384853.0,1384853.0,25523.24538088555
15,1159847.0,0.0,1159847.0,1159847.0,21754.993469557412
16,320391.0,0.0,320391.0,320391.0,6613.330345258359
17,144394.0,0.0,144394.0,144394.0,3037.834296278832
18,299053.0,0.0,299053.0,299053.0,5821.857390604068
19,294581.0,0.0,294581.0,294581.0,6110.002427881781
20,386047.0,0.0,386047.0,386047.0,7878.774628324527
21,363407.0,0.0,363407.0,363407.0,7444.486044435245
22,338615.0,0.0,338615.0,338615.0,6966.341325883569
23,435772.0,0.0,435772.0,435772.0,8825.15092215599
24,447032.0,0.0,447032.0,447032.0,9038.105251046494
25,478410.0,0.0,478410.0,478410.0,9629.078039818045
26,479306.0,0.0,479306.0,479306.0,9645.884934245578
27,494995.0,0.0,494995.0,494995.0,9939.977640835987
28,581785.0,0.0,581785.0,581785.0,11551.798384282807
29,612176.0,0.0,612176.0,612176.0,12110.434962267878
30,694748.0,0.0,694748.0,694748.0,13614.20389446895
31,748512.0,0.0,748512.0,748512.0,14582.809289442026
32,1480000.0,0.0,1480000.0,1480000.0,26988.71597553608
33,1480000.0,0.0,1480000.0,1480000.0,26988.67076487258
