,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,270603.8252827977,183657.9887533851,454261.8140361828,8366.316447324267
1,454262.5749771121,294913.9307981258,159348.64417898635,454262.5749771121,8366.316447324267
2,454263.33591804164,297426.37932522595,156836.95659281572,454263.33591804164,8366.316447324267
3,454264.09685897105,316403.11813153373,137860.97872743735,454264.09685897105,8366.316447324267
4,454264.85779990046,307875.4585914132,146389.39920848727,454264.85779990046,8366.316447324267
5,454265.6187408299,327777.7305309045,126487.88820992538,454265.6187408299,8366.316447324267
6,454266.37968175916,336829.4809857705,117436.89869598864,454266.37968175916,8366.316447324267
7,454267.1406226887,358085.29891988664,96181.84170280205,454267.1406226887,8366.316447324267
8,454267.9015636181,315009.7395737225,139258.16198989566,454267.9015636181,8366.316447324267
9,454268.6625045474,362073.8571292856,92194.80537526181,454268.6625045474,8366.316447324267
10,454269.42344547686,384627.0444587279,69642.37898674898,454269.42344547686,8366.316447324267
11,454270.1843864062,390002.81906678516,64267.365319621036,454270.1843864062,8366.316447324267
12,454270.9453273357,405397.75960449496,48873.1857228407,454270.9453273357,8366.316447324267
13,454271.7062682651,391709.01227419626,62562.693994068846,454271.7062682651,8366.316447324267
14,454272.46720919444,390091.8696219668,64180.597587227625,454272.46720919444,8366.316447324267
15,454273.22815012385,391065.7346624929,63207.49348763099,454273.22815012385,8366.316447324267
16,454273.98909105326,401994.97062505514,52279.018465998146,454273.98909105326,8366.316447324267
17,454274.75003198266,369337.0906198446,84937.65941213808,454274.75003198266,8366.316447324267
18,454275.51097291213,278361.70891321806,175913.80205969408,454275.51097291213,8366.316447324267
19,454276.2719138414,280993.2249787105,173283.0469351309,454276.2719138414,8366.316447324267
20,454277.03285477095,227190.50855143543,227086.52430333552,454277.03285477095,8366.316447324267
21,454277.79379570024,240508.83202011537,213768.96177558487,454277.79379570024,8366.316447324267
22,454278.55473662965,255093.1309551363,199185.42378149336,454278.55473662965,8366.316447324267
23,454279.3156775591,197943.01375496233,256336.3019225968,454279.3156775591,8366.316447324267
24,454280.0766184884,191319.95739030628,262960.1192281821,454280.0766184884,8366.316447324267
25,454280.83755941794,172863.06066935643,281417.7768900615,454280.83755941794,8366.316447324267
26,454281.5985003473,172337.03107499337,281944.5674253539,454281.5985003473,8366.316447324267
27,454282.35944127664,163108.57703103503,291173.7824102416,454282.35944127664,8366.316447324267
28,454283.1203822061,112056.47881838231,342226.6415638238,454283.1203822061,8366.316447324267
29,454283.88132313546,94180.37728718045,360103.504035955,454283.88132313546,8366.316447324267
30,454284.6422640649,45609.07938658603,408675.5628774789,454284.6422640649,8366.316447324267
31,454285.40320499433,13984.421612940088,440300.98159205425,454285.40320499433,8366.316447324267
32,480000.0,0.0,480000.0,480000.0,8366.316447324267
33,454286.92508685315,41957.74919317104,412329.1758936821,454286.92508685315,8366.316447324267
34,454287.6860277825,223760.30327546492,230527.3827523176,454287.6860277825,8366.316447324267
35,454288.44696871185,272722.7933217969,181565.65364691493,454288.44696871185,8366.316447324267
36,454289.2079096413,276908.93525007705,177380.27265956425,454289.2079096413,8366.316447324267
37,454289.9688505707,254474.31229868086,199815.6565518898,454289.9688505707,8366.316447324267
38,454290.7297915002,260025.27233564632,194265.45745585387,454290.7297915002,8366.316447324267
39,454291.49073242943,293282.6761524029,161008.81458002658,454291.49073242943,8366.316447324267
40,454292.2516733589,217732.39267386292,236559.85899949598,454292.2516733589,8366.316447324267
41,454293.01261428825,100207.67095108551,354085.34166320274,454293.01261428825,8366.316447324267
42,454293.77355521766,31883.884303206054,422409.8892520116,454293.77355521766,8366.316447324267
43,454294.53449614707,84455.04931775288,369839.4851783942,454294.53449614707,8366.316447324267
44,454295.2954370766,104713.2144960562,349582.0809410204,454295.2954370766,8366.316447324267
45,454296.05637800595,170033.55637195817,284262.5000060478,454296.05637800595,8366.316447324267
46,454296.81731893535,145360.2814211977,308936.53589773766,454296.81731893535,8366.316447324267
47,454297.5782598647,164548.3962538307,289749.182006034,454297.5782598647,8366.316447324267
48,454298.3392007941,115195.32279265538,339103.01640813873,454298.3392007941,8366.316447324267
49,454299.1001417236,75727.23676640878,378571.8633753148,454299.1001417236,8366.316447324267
50,454299.8610826529,48064.40370383853,406235.45737881435,454299.8610826529,8366.316447324267
51,454300.62202358234,33627.238128311874,420673.38389527047,454300.62202358234,8366.316447324267
52,454301.38296451175,54166.96675624582,400134.41620826593,454301.38296451175,8366.316447324267
53,454302.1439054411,54823.50957150204,399478.63433393906,454302.1439054411,8366.316447324267
54,454302.9048463705,38150.033680381544,416152.87116598897,454302.9048463705,8366.316447324267
55,454303.6657872999,115989.86503338924,338313.8007539107,454303.6657872999,8366.316447324267
