,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,309594.89532713493,0.0,309594.89532713493,309594.89532713493,6386.465628524204
1,268616.2859017199,0.0,268616.2859017199,268616.2859017199,5586.585266611806
2,264382.29825646075,0.0,264382.29825646075,264382.29825646075,5503.407568522682
3,232394.22128339435,0.0,232394.22128339435,232394.22128339435,4871.589419062995
4,246770.70152287852,0.0,246770.70152287852,246770.70152287852,5156.314930016338
5,213222.44012530282,0.0,213222.44012530282,213222.44012530282,4489.743188169377
6,197965.0578018094,0.0,197965.0578018094,197965.0578018094,4163.970153308488
7,162135.10458472348,0.0,162135.10458472348,162135.10458472348,3406.1792188897434
8,1060945.3470954867,0.0,1060945.3470954867,1060945.3470954867,19073.4570641983
9,1237823.48215284,0.0,1237823.48215284,1237823.48215284,22967.880642894786
10,1199806.534812204,0.0,1199806.534812204,1199806.534812204,22331.515961423593
11,1190745.797487617,0.0,1190745.797487617,1190745.797487617,22179.386802947156
12,1164795.609024473,0.0,1164795.609024473,1164795.609024473,21742.81768624483
13,1187872.208681686,0.0,1187872.208681686,1187872.208681686,22131.04198551341
14,1190599.5318815822,0.0,1190599.5318815822,1190599.5318815822,22176.818860805906
15,999455.7101818917,0.0,999455.7101818917,999455.7101818917,18927.32836193133
16,284557.90675921465,0.0,284557.90675921465,284557.90675921465,5898.537891517165
17,143180.62586617563,0.0,143180.62586617563,143180.62586617563,3006.478779776822
18,296540.4091863414,0.0,296540.4091863414,296540.4091863414,5760.5027229994785
19,292105.7076906492,0.0,292105.7076906492,292105.7076906492,6045.674356830741
20,382802.998111337,0.0,382802.998111337,382802.998111337,7794.237486434874
21,360353.3927074145,0.0,360353.3927074145,360353.3927074145,7364.950422563756
22,335769.7143745173,0.0,335769.7143745173,335769.7143745173,6892.279530394504
23,432109.7660980917,0.0,432109.7660980917,432109.7660980917,8729.618445287319
24,443275.62955607846,0.0,443275.62955607846,443275.62955607846,8940.090498030606
25,474389.96675753227,0.0,474389.96675753227,474389.96675753227,9524.111977707056
26,475277.9850884537,0.0,475277.9850884537,475277.9850884537,9540.711876405123
27,490835.8046344073,0.0,490835.8046344073,490835.8046344073,9831.33568426815
28,576896.3386361601,0.0,576896.3386361601,576896.3386361601,11423.819835280829
29,607031.6210891813,0.0,607031.6210891813,607031.6210891813,11975.64741850007
30,688910.234564893,0.0,688910.234564893,688910.234564893,13460.85034390508
31,742221.6546837486,0.0,742221.6546837486,742221.6546837486,14417.276029031378
32,1400000.0,0.0,1400000.0,1400000.0,25649.196695198985
33,1400000.0,0.0,1400000.0,1400000.0,25649.153728403562
34,1400000.0,0.0,1400000.0,1400000.0,25649.110761752083
35,1400000.0,0.0,1400000.0,1400000.0,25649.067795244533
36,1400000.0,0.0,1400000.0,1400000.0,25649.024828880898
37,1400000.0,0.0,1400000.0,1400000.0,25648.981862661174
38,1400000.0,0.0,1400000.0,1400000.0,25648.93889658539
39,417985.19776200375,0.0,417985.19776200375,417985.19776200375,8462.419432694702
40,407022.32872274367,0.0,407022.32872274367,407022.32872274367,8254.661119296417
41,596886.7188036846,0.0,596886.7188036846,596886.7188036846,11789.945798672108
42,712062.3847391052,0.0,712062.3847391052,712062.3847391052,13876.925829348605
43,623443.7035864359,0.0,623443.7035864359,623443.7035864359,12274.688147909186
44,589295.5078720058,0.0,589295.5078720058,589295.5078720058,11650.905004625994
45,479185.35715305194,0.0,479185.35715305194,479185.35715305194,9613.469732449146
46,520778.7319419007,0.0,520778.7319419007,520778.7319419007,10387.939225291908
47,488434.33538160013,0.0,488434.33538160013,488434.33538160013,9786.188995220751
48,571630.7990880053,0.0,571630.7990880053,571630.7990880053,11326.70596621836
49,638163.998261245,0.0,638163.998261245,638163.998261245,12542.331972161232
50,684796.9138671441,0.0,684796.9138671441,684796.9138671441,13386.259859307484
51,709135.1328520273,0.0,709135.1328520273,709135.1328520273,13824.163436733736
52,674512.3016082197,0.0,674512.3016082197,674512.3016082197,13200.64270528447
53,673406.8407343543,0.0,673406.8407343543,673406.8407343543,13180.655532895304
54,701514.8399655243,0.0,701514.8399655243,701514.8399655243,13687.16406307547
55,570300.4069851638,0.0,570300.4069851638,570300.4069851638,11302.120202201602
56,389001.4522391204,0.0,389001.4522391204,389001.4522391204,7911.883759328249
57,517471.68768124486,0.0,517471.68768124486,517471.68768124486,10326.390762088136
58,388862.68014804454,0.0,388862.68014804454,388862.68014804454,7909.213883992833
59,444091.27360151865,0.0,444091.27360151865,444091.27360151865,8954.904244962761
60,389155.15304911067,0.0,389155.15304911067,389155.15304911067,7914.75761554939
61,353250.6443256992,0.0,353250.6443256992,353250.6443256992,7228.1656301784915
62,314765.0038085704,0.0,314765.0038085704,314765.0038085704,6485.727442253701
63,301839.88437124534,0.0,301839.88437124534,301839.88437124534,6234.765816244225
64,353220.4043005362,0.0,353220.4043005362,353220.4043005362,7227.548803496549
65,392300.58930277464,0.0,392300.58930277464,392300.58930277464,7974.57598780019
66,293723.19348712993,0.0,293723.19348712993,293723.19348712993,6076.706694993358
67,630142.6499327474,0.0,630142.6499327474,630142.6499327474,12396.137618725517
68,632954.4624991303,0.0,632954.4624991303,632954.4624991303,12447.256498213445
69,663056.5844869779,0.0,663056.5844869779,663056.5844869779,12993.211925633273
70,624721.1762873137,0.0,624721.1762873137,624721.1762873137,12297.404291666184
71,676734.7861856066,0.0,676734.7861856066,676734.7861856066,13240.359912529753
72,732911.4429954762,0.0,732911.4429954762,732911.4429954762,14249.85500680994
73,770614.116461267,0.0,770614.116461267,770614.116461267,14922.370666503983
74,779858.8392014563,0.0,779858.8392014563,779858.8392014563,15086.657137738806
75,787915.3740210125,0.0,787915.3740210125,787915.3740210125,15229.636263750737
76,790860.0642208674,0.0,790860.0642208674,790860.0642208674,15281.835656094683
77,792739.4058775078,0.0,792739.4058775078,792739.4058775078,15315.128493409115
78,792739.4058775078,0.0,792739.4058775078,792739.4058775078,15315.102833891866
79,792739.4058775078,0.0,792739.4058775078,792739.4058775078,15315.07717446056
80,1400000.0,0.0,1400000.0,1400000.0,25647.269474757868
81,1400000.0,0.0,1400000.0,1400000.0,25647.22651441778
82,1400000.0,0.0,1400000.0,1400000.0,25647.183554221603
83,1400000.0,0.0,1400000.0,1400000.0,25647.140594169297
84,1400000.0,0.0,1400000.0,1400000.0,25647.09763426091
85,1400000.0,0.0,1400000.0,1400000.0,25647.05467449638
86,1400000.0,0.0,1400000.0,1400000.0,25647.011714875756
87,1400000.0,0.0,1400000.0,1400000.0,25646.968755399015
