,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,105374.27181771863,348887.5422184642,454261.8140361828,8366.316447324267
1,454262.5749771121,93998.81541191618,360263.75956519594,454262.5749771121,8366.316447324267
2,454263.33591804164,61331.18036440172,392932.1555536399,454263.33591804164,8366.316447324267
3,454264.09685897105,66061.20315562637,388202.8937033447,454264.09685897105,8366.316447324267
4,454264.85779990046,60707.42064751143,393557.43715238903,454264.85779990046,8366.316447324267
5,454265.6187408299,73277.80346990493,380987.81527092494,454265.6187408299,8366.316447324267
6,454266.37968175916,81681.14406855241,372585.23561320675,454266.37968175916,8366.316447324267
7,454267.1406226887,67023.07391045342,387244.0667122353,454267.1406226887,8366.316447324267
8,454267.9015636181,65214.31195813941,389053.5896054787,454267.9015636181,8366.316447324267
9,454268.6625045474,96510.47300472879,357758.1894998186,454268.6625045474,8366.316447324267
10,454269.42344547686,189664.07077230333,264605.35267317353,454269.42344547686,8366.316447324267
11,454270.1843864062,221689.1230788326,232581.0613075736,454270.1843864062,8366.316447324267
12,454270.9453273357,256238.24215895342,198032.70316838226,454270.9453273357,8366.316447324267
13,454271.7062682651,313800.0760886979,140471.6301795672,454271.7062682651,8366.316447324267
14,454272.46720919444,363587.23981762875,90685.22739156567,454272.46720919444,8366.316447324267
15,454273.22815012385,387288.1527051087,66985.07544501514,454273.22815012385,8366.316447324267
16,454273.98909105326,396791.2367133384,57482.752377714845,454273.98909105326,8366.316447324267
17,454274.7500319827,381724.7140254841,72550.0360064986,454274.7500319827,8366.316447324267
18,454275.51097291213,366271.52439058945,88003.9865823227,454275.51097291213,8366.316447324267
19,454276.2719138414,345976.4377163108,108299.83419753062,454276.2719138414,8366.316447324267
20,454277.03285477095,327315.4917874378,126961.54106733312,454277.03285477095,8366.316447324267
21,454277.7937957002,313894.2822254584,140383.5115702418,454277.7937957002,8366.316447324267
22,454278.55473662965,330164.0574352159,124114.49730141375,454278.55473662965,8366.316447324267
23,454279.3156775591,345741.9904467826,108537.32523077652,454279.3156775591,8366.316447324267
24,454280.0766184884,327645.05844734283,126635.01817114561,454280.0766184884,8366.316447324267
25,454280.83755941794,352710.61364500265,101570.22391441528,454280.83755941794,8366.316447324267
26,454281.59850034735,385175.51716715633,69106.08133319099,454281.59850034735,8366.316447324267
27,454282.35944127664,390672.1426893353,63610.21675194137,454282.35944127664,8366.316447324267
28,454283.1203822061,406306.390713008,47976.729669198125,454283.1203822061,8366.316447324267
29,454283.88132313546,411178.2470147616,43105.63430837383,454283.88132313546,8366.316447324267
30,454284.6422640649,398316.60405534325,55968.03820872169,454284.6422640649,8366.316447324267
31,454285.4032049943,395444.5281840882,58840.875020906125,454285.4032049943,8366.316447324267
32,454286.1641459237,406008.6464761728,48277.517669750916,454286.1641459237,8366.316447324267
33,454286.92508685315,405724.45370021614,48562.47138663701,454286.92508685315,8366.316447324267
