,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,630030.0,0.0,630030.0,630030.0,12490.223665793124
1,650573.0,0.0,650573.0,650573.0,12867.350109706993
2,709567.0,0.0,709567.0,709567.0,13943.68947817988
3,701027.0,0.0,701027.0,701027.0,13788.454474947675
4,710696.0,0.0,710696.0,710696.0,13964.146919199
5,687997.0,0.0,687997.0,687997.0,13551.204253004275
6,672824.0,0.0,672824.0,672824.0,13274.367543784869
7,823736.0,0.0,823736.0,823736.0,15999.857822835731
8,1560000.0,0.0,1560000.0,1560000.0,28565.67329150042
9,1560000.0,0.0,1560000.0,1560000.0,28565.62543529783
10,1526929.0,0.0,1526929.0,1526929.0,28023.06678613214
11,666727.0,0.0,666727.0,666727.0,13162.83578456916
12,1344430.0,0.0,1344430.0,1344430.0,24995.769440992368
13,1560000.0,0.0,1560000.0,1560000.0,28565.43832646216
14,1437199.0,0.0,1437199.0,1437199.0,26541.72581287488
15,1088574.0,0.0,1088574.0,1088574.0,20647.406884054504
16,234000.0,0.0,234000.0,234000.0,4929.5300089420025
17,222817.0,0.0,222817.0,222817.0,4684.799894616891
18,158920.0,0.0,158920.0,158920.0,3344.6928252797115
19,195571.0,0.0,195571.0,195571.0,3981.9710201875437
20,229270.0,0.0,229270.0,229270.0,4719.411467878104
21,253508.0,0.0,253508.0,253508.0,5281.30648867212
22,224129.0,0.0,224129.0,224129.0,4710.809915839531
23,195999.0,0.0,195999.0,195999.0,4127.799015717034
24,228681.0,0.0,228681.0,228681.0,4707.833732754671
25,183418.0,0.0,183418.0,183418.0,3855.1223576256066
26,124794.0,0.0,124794.0,124794.0,2620.191149896162
27,114869.0,0.0,114869.0,114869.0,2411.278266824992
28,86638.0,0.0,86638.0,86638.0,1815.171848872535
29,77841.0,0.0,77841.0,77841.0,1628.5545893149922
30,101068.0,0.0,101068.0,101068.0,2018.8715094936567
31,281801.0,0.0,281801.0,281801.0,5306.331161979051
32,1101082.0,0.0,1101082.0,1101082.0,20860.815203427515
33,1339356.0,0.0,1339356.0,1339356.0,24907.98373291507
34,1401303.0,0.0,1401303.0,1401303.0,25942.48256755421
35,1431271.0,0.0,1431271.0,1431271.0,26440.46004195232
36,1435934.0,0.0,1435934.0,1435934.0,26517.76594062975
37,1454719.0,0.0,1454719.0,1454719.0,26828.946190899707
38,1370227.0,0.0,1370227.0,1370227.0,25424.19472745812
39,1130224.0,0.0,1130224.0,1130224.0,21361.642969189037
40,311591.0,0.0,311591.0,311591.0,6462.5310419695315
41,499875.0,0.0,499875.0,499875.0,10069.084488860059
42,591270.0,0.0,591270.0,591270.0,11773.384313551116
43,733098.0,0.0,733098.0,733098.0,14368.144346065339
44,707471.0,0.0,707471.0,707471.0,13903.472399851666
45,736120.0,0.0,736120.0,736120.0,14422.771445955257
46,827323.0,0.0,827323.0,827323.0,16061.553758378703
47,885711.0,0.0,885711.0,885711.0,17099.654823008466
48,888024.0,0.0,888024.0,888024.0,17140.579798666284
49,874801.0,0.0,874801.0,874801.0,16906.253181987908
50,895251.0,0.0,895251.0,895251.0,17268.3994713144
51,769122.0,0.0,769122.0,769122.0,15018.121576536132
52,656966.0,0.0,656966.0,656966.0,12982.258925099359
53,576880.0,0.0,576880.0,576880.0,11506.592439895981
54,635560.0,0.0,635560.0,635560.0,12589.658487138227
55,722049.0,0.0,722049.0,722049.0,14167.745327471606
56,713936.0,0.0,713936.0,713936.0,14020.57586019384
57,499018.0,0.0,499018.0,499018.0,10052.696136635845
58,409906.0,0.0,409906.0,409906.0,8363.131290219777
59,457094.0,0.0,457094.0,457094.0,9261.402298793422
60,495485.0,0.0,495485.0,495485.0,9986.202274587115
61,496057.0,0.0,496057.0,496057.0,9996.945779594287
62,449777.0,0.0,449777.0,449777.0,9122.613688015193
63,560049.0,0.0,560049.0,560049.0,11193.79760236662
64,531931.0,0.0,531931.0,531931.0,10669.529621329872
65,698424.0,0.0,698424.0,698424.0,13738.52995231824
66,772073.0,0.0,772073.0,772073.0,15070.859994588802
67,746544.0,0.0,746544.0,746544.0,14610.645742990428
68,600304.0,0.0,600304.0,600304.0,11939.890641696715
69,572863.0,0.0,572863.0,572863.0,11431.75729023235
70,530157.0,0.0,530157.0,530157.0,10636.259503419133
71,481587.0,0.0,481587.0,481587.0,9724.228452749285
72,566719.0,0.0,566719.0,566719.0,11317.614767407877
73,545769.0,0.0,545769.0,545769.0,10927.686238073911
74,668089.0,0.0,668089.0,668089.0,13185.23830429771
75,756901.0,0.0,756901.0,756901.0,14797.354859758252
76,819531.0,0.0,819531.0,819531.0,15921.59034623361
77,802292.0,0.0,802292.0,802292.0,15613.114677527798
78,829426.0,0.0,829426.0,829426.0,16098.244478337609
79,961468.0,0.0,961468.0,961468.0,18433.46384072649
80,1560000.0,0.0,1560000.0,1560000.0,28560.24919812777
81,1560000.0,0.0,1560000.0,1560000.0,28560.201360093673
82,1560000.0,0.0,1560000.0,1560000.0,28560.15352221981
83,1560000.0,0.0,1560000.0,1560000.0,28560.105684506176
84,1560000.0,0.0,1560000.0,1560000.0,28560.057846952768
85,1560000.0,0.0,1560000.0,1560000.0,28560.010009559584
86,1560000.0,0.0,1560000.0,1560000.0,28559.96217232661
87,1560000.0,0.0,1560000.0,1560000.0,28559.914335253856
88,887801.0,0.0,887801.0,887801.0,17135.49365994844
89,897819.0,0.0,897819.0,897819.0,17312.6884414838
