,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,555510.0,0.0,555510.0,555510.0,11111.477741150475
1,573624.0,0.0,573624.0,573624.0,11448.17273947259
2,625640.0,0.0,625640.0,625640.0,12409.424212780654
3,618109.0,0.0,618109.0,618109.0,12270.734490540057
4,626635.0,0.0,626635.0,626635.0,12427.691034146028
5,606621.0,0.0,606621.0,606621.0,12058.838271445531
6,593243.0,0.0,593243.0,593243.0,11811.606935946145
7,741023.0,0.0,741023.0,741023.0,14513.555979827976
8,1560000.0,0.0,1560000.0,1560000.0,28565.672545727026
9,1560000.0,0.0,1560000.0,1560000.0,28565.624689526932
10,1470411.0,0.0,1470411.0,1470411.0,27091.7215631534
11,617049.0,0.0,617049.0,617049.0,12251.033482283632
12,1302132.0,0.0,1302132.0,1302132.0,24285.66909142244
13,1560000.0,0.0,1560000.0,1560000.0,28565.43816836658
14,1417829.0,0.0,1417829.0,1417829.0,26220.176702375393
15,1074267.0,0.0,1074267.0,1074267.0,20400.349774981794
16,234000.0,0.0,234000.0,234000.0,4929.530001477434
17,195043.0,0.0,195043.0,195043.0,4108.794758278441
18,140123.0,0.0,140123.0,140123.0,2947.9263876293467
19,172439.0,0.0,172439.0,172439.0,3518.6194120604537
20,202152.0,0.0,202152.0,202152.0,4144.37063981411
21,223523.0,0.0,223523.0,223523.0,4627.517559807995
22,197619.0,0.0,197619.0,197619.0,4160.143861505338
23,172817.0,0.0,172817.0,172817.0,3632.7476082729495
24,201632.0,0.0,201632.0,201632.0,4134.188163921227
25,161723.0,0.0,161723.0,161723.0,3400.552073097127
26,110033.0,0.0,110033.0,110033.0,2314.92688790373
27,101282.0,0.0,101282.0,101282.0,2129.450497831981
28,76390.0,0.0,76390.0,76390.0,1599.8117543304686
29,68634.0,0.0,68634.0,68634.0,1445.4263290049948
30,89114.0,0.0,89114.0,89114.0,1806.2888741928318
31,269233.0,0.0,269233.0,269233.0,5043.201505023532
32,1090770.0,0.0,1090770.0,1090770.0,20683.112998255754
33,1328984.0,0.0,1328984.0,1328984.0,24734.124860851713
34,1394433.0,0.0,1394433.0,1394433.0,25828.13201495655
35,1422629.0,0.0,1422629.0,1422629.0,26297.047638821547
36,1426741.0,0.0,1426741.0,1426741.0,26365.277835331763
37,1439387.0,0.0,1439387.0,1439387.0,26575.018371040464
38,1351647.0,0.0,1351647.0,1351647.0,25113.630629238087
39,1102534.0,0.0,1102534.0,1102534.0,20885.608319342562
40,274736.0,0.0,274736.0,274736.0,5738.267205058179
41,440750.0,0.0,440750.0,440750.0,8951.516272467104
42,521335.0,0.0,521335.0,521335.0,10471.714545949228
43,646387.0,0.0,646387.0,646387.0,12788.638840523643
44,623792.0,0.0,623792.0,623792.0,12373.511952261768
45,649052.0,0.0,649052.0,649052.0,12837.457909770692
46,729467.0,0.0,729467.0,729467.0,14302.372097156096
47,780950.0,0.0,780950.0,780950.0,15230.982750032139
48,782989.0,0.0,782989.0,782989.0,15267.59282409429
49,771330.0,0.0,771330.0,771330.0,15057.939665837186
50,789361.0,0.0,789361.0,789361.0,15381.960562234155
51,678151.0,0.0,678151.0,678151.0,13369.516351972441
52,579260.0,0.0,579260.0,579260.0,11550.767339991222
53,508647.0,0.0,508647.0,508647.0,10233.65931737706
54,560386.0,0.0,560386.0,560386.0,11200.255995444346
55,644978.0,0.0,644978.0,644978.0,12762.539461798056
56,631929.0,0.0,631929.0,631929.0,12522.92103123154
57,443934.0,0.0,443934.0,443934.0,9011.774263410634
58,373957.0,0.0,373957.0,373957.0,7672.959646216968
59,413368.0,0.0,413368.0,413368.0,8429.327752181933
60,447631.0,0.0,447631.0,447631.0,9081.934490638658
61,445310.0,0.0,445310.0,445310.0,9037.84988864549
62,403555.0,0.0,403555.0,403555.0,8241.539710787345
63,500728.0,0.0,500728.0,500728.0,10084.760387832926
