,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,383425.75527133816,70836.05876484464,454261.8140361828,8366.316447324267
1,454262.5749771121,389647.72698798793,64614.8479891242,454262.5749771121,8366.316447324267
2,454263.33591804164,356489.6046022682,97773.73131577342,454263.33591804164,8366.316447324267
3,454264.09685897105,338777.5353440318,115486.56151493923,454264.09685897105,8366.316447324267
4,454264.85779990046,274968.10219255195,179296.7556073485,454264.85779990046,8366.316447324267
5,454265.6187408299,264304.0681817216,189961.55055910823,454265.6187408299,8366.316447324267
6,454266.37968175916,243635.47801541715,210630.90166634202,454266.37968175916,8366.316447324267
7,454267.1406226887,187850.2635778929,266416.8770447958,454267.1406226887,8366.316447324267
8,454267.9015636181,177468.36260769633,276799.5389559218,454267.9015636181,8366.316447324267
9,454268.6625045474,222106.4149913348,232162.24751321258,454268.6625045474,8366.316447324267
10,454269.4234454768,342745.09892824537,111524.32451723146,454269.4234454768,8366.316447324267
11,454270.1843864062,376675.92181954987,77594.26256685634,454270.1843864062,8366.316447324267
12,454270.9453273357,367747.1283346759,86523.81699265976,454270.9453273357,8366.316447324267
13,454271.7062682651,351225.6891582511,103046.01711001399,454271.7062682651,8366.316447324267
14,454272.46720919444,342130.31571303983,112142.15149615458,454272.46720919444,8366.316447324267
15,454273.22815012385,343954.17047559284,110319.057674531,454273.22815012385,8366.316447324267
16,454273.98909105326,259234.8372193693,195039.15187168395,454273.98909105326,8366.316447324267
17,454274.7500319827,42125.99616988149,412148.75386210124,454274.7500319827,8366.316447324267
18,466296.3385078277,0.0,466296.3385078277,466296.3385078277,8366.316447324267
19,490814.1770574859,0.0,490814.1770574859,490814.1770574859,8366.316447324267
20,496511.72219586844,0.0,496511.72219586844,496511.72219586844,8366.316447324267
21,495438.20244518,0.0,495438.20244518,495438.20244518,8366.316447324267
22,491348.0642927596,0.0,491348.0642927596,491348.0642927596,8366.316447324267
23,472044.72476140416,0.0,472044.72476140416,472044.72476140416,8366.316447324267
24,470931.34414151445,0.0,470931.34414151445,470931.34414151445,8366.316447324267
25,459963.3420964375,0.0,459963.3420964375,459963.3420964375,8366.316447324267
26,454281.5985003473,10366.377650697483,443915.2208496498,454281.5985003473,8366.316447324267
27,454282.35944127664,69802.57699183025,384479.7824494464,454282.35944127664,8366.316447324267
28,454283.1203822061,104288.26674883091,349994.8536333752,454283.1203822061,8366.316447324267
29,454283.88132313546,108692.54047833307,345591.3408448024,454283.88132313546,8366.316447324267
30,454284.6422640649,125735.09580589284,328549.5464581721,454284.6422640649,8366.316447324267
31,454285.40320499433,138288.55326302862,315996.8499419657,454285.40320499433,8366.316447324267
32,454286.1641459237,158023.24080748914,296262.92333843454,454286.1641459237,8366.316447324267
33,454286.92508685315,195714.32705713037,258572.59802972278,454286.92508685315,8366.316447324267
34,454287.6860277825,275970.69657589856,178316.98945188397,454287.6860277825,8366.316447324267
35,454288.44696871185,363525.4540557781,90762.99291293375,454288.44696871185,8366.316447324267
36,454289.20790964126,405214.22536829027,49074.982541351,454289.20790964126,8366.316447324267
37,454289.9688505707,423040.0527683094,31249.916082261265,454289.9688505707,8366.316447324267
38,454290.7297915002,435410.87953947374,18879.850252026474,454290.7297915002,8366.316447324267
39,454291.4907324295,439165.47987889877,15126.010853530744,454291.4907324295,8366.316447324267
40,454292.2516733589,442698.6341888078,11593.617484551092,454292.2516733589,8366.316447324267
41,454293.01261428825,429972.6038202009,24320.408794087387,454293.01261428825,8366.316447324267
42,454293.77355521766,374398.55872833065,79895.21482688698,454293.77355521766,8366.316447324267
43,454294.53449614707,259205.22521872542,195089.30927742165,454294.53449614707,8366.316447324267
44,454295.2954370766,173798.25883552694,280497.03660154965,454295.2954370766,8366.316447324267
45,454296.05637800595,209589.5039720109,244706.55240599505,454296.05637800595,8366.316447324267
46,454296.81731893535,180777.08624389267,273519.7310750427,454296.81731893535,8366.316447324267
47,454297.5782598647,177378.92280704796,276918.65545281675,454297.5782598647,8366.316447324267
48,454298.3392007941,177894.743034138,276403.5961666561,454298.3392007941,8366.316447324267
49,454299.1001417236,100256.15797077894,354042.94217094465,454299.1001417236,8366.316447324267
50,454299.8610826529,122235.3799508622,332064.4811317907,454299.8610826529,8366.316447324267
