,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,121040.0,0.0,121040.0,121040.0,2525.3965517187266
1,110410.0,0.0,110410.0,110410.0,2315.0493745822473
2,167070.0,0.0,167070.0,167070.0,3421.000980023513
3,197336.0,0.0,197336.0,197336.0,3998.4855489397783
4,306371.0,0.0,306371.0,306371.0,6019.41724123462
5,324594.0,0.0,324594.0,324594.0,6349.263018176852
6,359913.0,0.0,359913.0,359913.0,6982.808649576566
7,455237.0,0.0,455237.0,455237.0,8657.784310651656
8,690970.0,0.0,690970.0,690970.0,12305.223775994722
9,768400.0,0.0,768400.0,768400.0,12305.20316097942
10,299711.0,0.0,299711.0,299711.0,5898.279382050498
11,342760.0,0.0,342760.0,342760.0,6675.9865379562225
12,460084.0,0.0,460084.0,460084.0,8741.608259609458
13,442478.0,0.0,442478.0,442478.0,8436.286448949715
14,698703.0,0.0,698703.0,698703.0,12305.104328519259
15,540649.0,0.0,540649.0,540649.0,10119.495558339517
16,333271.0,0.0,333271.0,333271.0,6505.481104938876
17,704254.0,0.0,704254.0,704254.0,12305.044213428639
18,768400.0,0.0,768400.0,768400.0,12305.02359901486
19,768400.0,0.0,768400.0,768400.0,12305.002984670125
20,768400.0,0.0,768400.0,768400.0,12304.982370394448
21,768400.0,0.0,768400.0,768400.0,12304.96175618783
22,768400.0,0.0,768400.0,768400.0,12304.941142050264
23,768400.0,0.0,768400.0,768400.0,12304.920527981762
24,768400.0,0.0,768400.0,768400.0,12304.899913982303
25,768400.0,0.0,768400.0,768400.0,12304.879300051898
26,758535.0,0.0,758535.0,758535.0,12304.85868619055
27,656975.0,0.0,656975.0,656975.0,12058.345165845245
28,598049.0,0.0,598049.0,598049.0,11083.090133511818
29,590525.0,0.0,590525.0,590525.0,10957.53469659017
30,561405.0,0.0,561405.0,561405.0,10469.398796249756
31,539956.0,0.0,539956.0,539956.0,10107.49644300021
32,636165.0,0.0,636165.0,636165.0,11715.4146493311
33,768400.0,0.0,768400.0,768400.0,12304.715903212602
34,398269.0,0.0,398269.0,398269.0,7662.308895566587
35,295574.0,0.0,295574.0,295574.0,5822.668962328412
36,128919.0,0.0,128919.0,128919.0,2680.19924608485
37,115260.0,0.0,115260.0,115260.0,2411.0427347185264
38,470990.0,0.0,470990.0,470990.0,8929.560179652064
39,324182.0,0.0,324182.0,324182.0,6341.4525298716935
40,88037.0,0.0,88037.0,88037.0,1850.0754150674143
41,41557.0,0.0,41557.0,41557.0,871.1222467809838
42,136520.0,0.0,136520.0,136520.0,2534.171573403968
43,333356.0,0.0,333356.0,333356.0,6506.402341717444
44,479296.0,0.0,479296.0,479296.0,9072.107621004814
45,418139.0,0.0,418139.0,418139.0,8010.805122547489
46,467374.0,0.0,467374.0,467374.0,8866.661672884064
47,473181.0,0.0,473181.0,473181.0,8966.787934466201
48,472301.0,0.0,472301.0,472301.0,8951.60805988202
49,604967.0,0.0,604967.0,604967.0,11197.434318960954
50,567411.0,0.0,567411.0,567411.0,10569.55720896706
51,523786.0,0.0,523786.0,523786.0,9832.558284737926
52,459239.0,0.0,459239.0,459239.0,8726.005709273064
53,507708.0,0.0,507708.0,507708.0,9558.744792712116
54,453040.0,0.0,453040.0,453040.0,8618.641847485791
55,259860.0,0.0,259860.0,259860.0,5167.04084693712
56,397515.0,0.0,397515.0,397515.0,7648.390871771477
57,641439.0,0.0,641439.0,641439.0,11801.468497877679
58,628882.0,0.0,628882.0,628882.0,11594.035596441405
