,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,180873.0,0.0,180873.0,180873.0,3809.515648028205
1,164987.0,0.0,164987.0,164987.0,3467.5020012882724
2,249655.0,0.0,249655.0,249655.0,5058.972138358992
3,294883.0,0.0,294883.0,294883.0,6042.402154436559
4,457816.0,0.0,457816.0,457816.0,9113.09000405869
5,485047.0,0.0,485047.0,485047.0,9615.212477356328
6,537825.0,0.0,537825.0,537825.0,10580.412264424556
7,680268.0,0.0,680268.0,680268.0,13136.851352366388
8,918264.0,0.0,918264.0,918264.0,17269.61261509539
9,1092505.0,0.0,1092505.0,1092505.0,20200.39827339267
10,390653.0,0.0,390653.0,390653.0,7861.691764181265
11,402027.0,0.0,402027.0,402027.0,8074.9232512131475
12,523847.0,0.0,523847.0,523847.0,10325.6748899761
13,521565.0,0.0,521565.0,521565.0,10284.020210893621
14,778288.0,0.0,778288.0,778288.0,14858.39545799388
15,623320.0,0.0,623320.0,623320.0,12122.737860004045
16,498013.0,0.0,498013.0,498013.0,9853.115766835295
17,1052380.0,0.0,1052380.0,1052380.0,19531.69698243681
18,1190640.0,0.0,1190640.0,1190640.0,21819.68858067721
19,1200000.0,0.0,1200000.0,1200000.0,21973.03459442552
20,1200000.0,0.0,1200000.0,1200000.0,21972.997783838717
21,1200000.0,0.0,1200000.0,1200000.0,21972.96097337525
22,1200000.0,0.0,1200000.0,1200000.0,21972.92416303508
23,1200000.0,0.0,1200000.0,1200000.0,21972.88735281823
24,1200000.0,0.0,1200000.0,1200000.0,21972.850542724675
25,1174470.0,0.0,1174470.0,1174470.0,21554.018152101533
26,1133492.0,0.0,1133492.0,1133492.0,20878.84123037305
27,981730.0,0.0,981730.0,981730.0,18345.160749449726
28,893676.0,0.0,893676.0,893676.0,16849.35551921464
29,882432.0,0.0,882432.0,882432.0,16656.879539438236
30,838918.0,0.0,838918.0,838918.0,15908.887086424573
31,806866.0,0.0,806866.0,806866.0,15354.594767260842
32,882528.0,0.0,882528.0,882528.0,16658.440684507244
33,1028930.0,0.0,1028930.0,1028930.0,19138.783673840775
34,546093.0,0.0,546093.0,546093.0,10730.172016781667
35,368044.0,0.0,368044.0,368044.0,7435.7740171910455
36,180000.0,0.0,180000.0,180000.0,3791.7697564220794
37,180000.0,0.0,180000.0,180000.0,3791.763377664799
38,473841.0,0.0,473841.0,473841.0,9408.383223990864
39,328053.0,0.0,328053.0,328053.0,6677.183559064438
40,113673.0,0.0,113673.0,113673.0,2393.3109774216764
41,62100.0,0.0,62100.0,62100.0,1305.862709158511
42,204004.0,0.0,204004.0,204004.0,3794.8114487340335
43,498141.0,0.0,498141.0,498141.0,9854.506712599712
44,716221.0,0.0,716221.0,716221.0,13770.200682802224
45,624833.0,0.0,624833.0,624833.0,12148.592915564781
46,698405.0,0.0,698405.0,698405.0,13456.081787602232
47,707084.0,0.0,707084.0,707084.0,13609.179792402647
48,705768.0,0.0,705768.0,705768.0,13585.9541596916
49,904013.0,0.0,904013.0,904013.0,17024.595846622142
50,847893.0,0.0,847893.0,847893.0,16062.288074408707
51,782703.0,0.0,782703.0,782703.0,14933.629726436033
52,686249.0,0.0,686249.0,686249.0,13241.092386589133
53,758677.0,0.0,758677.0,758677.0,14514.572082410608
54,676986.0,0.0,676986.0,676986.0,13077.01949226624
55,388313.0,0.0,388313.0,388313.0,7816.732767999585
56,509666.0,0.0,509666.0,509666.0,10065.349729280135
57,720276.0,0.0,720276.0,720276.0,13841.249967716582
58,655710.0,0.0,655710.0,655710.0,12699.158595179246
59,732415.0,0.0,732415.0,732415.0,14054.49338558186
60,823410.0,0.0,823410.0,823410.0,15639.550447330468
61,1022069.0,0.0,1022069.0,1022069.0,19021.98427468655
62,1139639.0,0.0,1139639.0,1139639.0,20978.17075737741
63,1200000.0,0.0,1200000.0,1200000.0,21970.468928425176
64,1200000.0,0.0,1200000.0,1200000.0,21970.432126432475
65,1200000.0,0.0,1200000.0,1200000.0,21970.395324563044
66,1200000.0,0.0,1200000.0,1200000.0,21970.358522816856
67,1200000.0,0.0,1200000.0,1200000.0,21970.321721193963
68,1200000.0,0.0,1200000.0,1200000.0,21970.28491969432
69,1200000.0,0.0,1200000.0,1200000.0,21970.24811831794
70,1200000.0,0.0,1200000.0,1200000.0,21970.211317064823
71,1200000.0,0.0,1200000.0,1200000.0,21970.174515934974
72,1200000.0,0.0,1200000.0,1200000.0,21970.137714928394
73,1200000.0,0.0,1200000.0,1200000.0,21970.10091404507
74,1200000.0,0.0,1200000.0,1200000.0,21970.064113285
75,1200000.0,0.0,1200000.0,1200000.0,21970.02731264821
76,1200000.0,0.0,1200000.0,1200000.0,21969.990512134667
77,1200000.0,0.0,1200000.0,1200000.0,21969.95371174438
78,1200000.0,0.0,1200000.0,1200000.0,21969.916911477372
79,1200000.0,0.0,1200000.0,1200000.0,21969.88011133361
80,1200000.0,0.0,1200000.0,1200000.0,21969.843311313107
81,1200000.0,0.0,1200000.0,1200000.0,21969.806511415853
82,1200000.0,0.0,1200000.0,1200000.0,21969.769711641853
83,1000978.0,0.0,1000978.0,1000978.0,18666.926218979494
84,870930.0,0.0,870930.0,870930.0,16457.369628466055
85,870601.0,0.0,870601.0,870601.0,16451.69657190165
86,798726.0,0.0,798726.0,798726.0,15211.232727720164
87,723732.0,0.0,723732.0,723732.0,13901.294184456592
88,666447.0,0.0,666447.0,666447.0,12889.30587051985
89,878176.0,0.0,878176.0,878176.0,16581.496800975863
90,842035.0,0.0,842035.0,842035.0,15960.268170345485
91,682815.0,0.0,682815.0,682815.0,13179.425131221056
92,655071.0,0.0,655071.0,655071.0,12687.036756890577
93,477621.0,0.0,477621.0,477621.0,9476.624738588938
94,180000.0,0.0,180000.0,180000.0,3791.154971125644
95,180000.0,0.0,180000.0,180000.0,3791.1485944232686
96,204373.0,0.0,204373.0,204373.0,4276.023566154703
97,322383.0,0.0,322383.0,322383.0,6567.98312829094
98,629926.0,0.0,629926.0,629926.0,12238.550669194445
99,742527.0,0.0,742527.0,742527.0,14230.859956188322
100,946790.0,0.0,946790.0,946790.0,17751.024928564853
101,1132262.0,0.0,1132262.0,1132262.0,20855.017479074104
102,1173066.0,0.0,1173066.0,1173066.0,21527.2731945959
103,1200000.0,0.0,1200000.0,1200000.0,21969.037314230685
104,1200000.0,0.0,1200000.0,1200000.0,21969.000517032975
105,1164237.0,0.0,1164237.0,1164237.0,21382.004997400887
106,546829.0,0.0,546829.0,546829.0,10741.667012695878
107,299108.0,0.0,299108.0,299108.0,6122.164031090491
108,180000.0,0.0,180000.0,180000.0,3791.057970690946
109,339086.0,0.0,339086.0,339086.0,6886.002972924794
110,124798.0,0.0,124798.0,124798.0,2623.2049275904333
111,437153.0,0.0,437153.0,437153.0,8242.971187801651
112,253246.0,0.0,253246.0,253246.0,5235.117344684955
113,572496.0,0.0,572496.0,572496.0,11206.090503335887
114,802751.0,0.0,802751.0,802751.0,15280.005331670227
115,539039.0,0.0,539039.0,539039.0,10599.703542351921
116,550534.0,0.0,550534.0,550534.0,10808.457996296573
117,536574.0,0.0,536574.0,536574.0,10554.837139178486
118,463632.0,0.0,463632.0,463632.0,9218.048242819244
119,480339.0,0.0,480339.0,480339.0,9525.993238910538
120,445489.0,0.0,445489.0,445489.0,8882.342342996806
121,567670.0,0.0,567670.0,567670.0,11118.721614283166
122,627483.0,0.0,627483.0,627483.0,12194.085536001
123,651693.0,0.0,651693.0,651693.0,12625.96023299035
124,655108.0,0.0,655108.0,655108.0,12686.708627294911
125,527718.0,0.0,527718.0,527718.0,10393.45271047453
126,441490.0,0.0,441490.0,441490.0,8808.08651776906
127,320656.0,0.0,320656.0,320656.0,6534.4923015121185
128,275943.0,0.0,275943.0,275943.0,5675.344813927441
129,295798.0,0.0,295798.0,295798.0,6058.159304572762
130,297704.0,0.0,297704.0,297704.0,6094.785375884906
131,429703.0,0.0,429703.0,429703.0,8589.03719005312
132,451385.0,0.0,451385.0,451385.0,8991.39123845021
133,427680.0,0.0,427680.0,427680.0,8551.368088140178
134,412913.0,0.0,412913.0,412913.0,8276.08029956022
135,491407.0,0.0,491407.0,491407.0,9729.157464281423
136,297231.0,0.0,297231.0,297231.0,6085.632792027667
137,779876.0,0.0,779876.0,779876.0,14881.923726683828
138,1194036.0,0.0,1194036.0,1194036.0,21869.64061488173
139,1200000.0,0.0,1200000.0,1200000.0,21967.29229443051
140,1200000.0,0.0,1200000.0,1200000.0,21967.255503076987
141,1200000.0,0.0,1200000.0,1200000.0,21967.218711846657
142,1200000.0,0.0,1200000.0,1200000.0,21967.181920739553
143,1200000.0,0.0,1200000.0,1200000.0,21967.145129755663
144,1200000.0,0.0,1200000.0,1200000.0,21967.10833889499
145,1200000.0,0.0,1200000.0,1200000.0,21967.071548157524
146,1200000.0,0.0,1200000.0,1200000.0,21967.034757543268
147,1200000.0,0.0,1200000.0,1200000.0,21966.997967052204
148,1200000.0,0.0,1200000.0,1200000.0,21966.96117668438
149,1200000.0,0.0,1200000.0,1200000.0,21966.924386439743
150,1200000.0,0.0,1200000.0,1200000.0,21966.88759631832
151,1200000.0,0.0,1200000.0,1200000.0,21966.85080632011
152,1200000.0,0.0,1200000.0,1200000.0,21966.8140164451
153,1200000.0,0.0,1200000.0,1200000.0,21966.77722669331
154,1200000.0,0.0,1200000.0,1200000.0,21966.74043706472
155,1200000.0,0.0,1200000.0,1200000.0,21966.703647559312
156,1200000.0,0.0,1200000.0,1200000.0,21966.666858177145
157,1200000.0,0.0,1200000.0,1200000.0,21966.63006891816
158,1200000.0,0.0,1200000.0,1200000.0,21966.593279782384
159,1200000.0,0.0,1200000.0,1200000.0,21966.5564907698
160,1200000.0,0.0,1200000.0,1200000.0,21966.51970188043
161,1200000.0,0.0,1200000.0,1200000.0,21966.482913114254
162,1200000.0,0.0,1200000.0,1200000.0,21966.446124471284
163,1200000.0,0.0,1200000.0,1200000.0,21966.409335951506
164,1200000.0,0.0,1200000.0,1200000.0,21966.372547554936
