,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,813599.9999999999,0.0,832719.0,832719.0,13349.139118968846
1,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13349.116754793396
2,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13349.09439069288
3,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13349.07202666727
4,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13349.049662716592
5,805831.0,0.0,805831.0,805831.0,13349.027298840823
6,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13349.004935039968
7,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13348.982571314042
8,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13348.960207663025
9,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13348.93784408693
10,631021.0,0.0,631021.0,631021.0,11726.942467925986
11,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13348.893446328882
12,502355.0,0.0,502355.0,502355.0,9539.196409207003
13,502097.0,0.0,502097.0,502097.0,9534.721517866376
14,523623.0,0.0,523623.0,523623.0,9905.692738019507
15,122039.99999999997,0.0,122039.99999999997,122039.99999999997,2556.2922271460598
16,811246.0,0.0,811246.0,811246.0,13348.786794829271
17,356446.0,0.0,356446.0,356446.0,6965.5561415752545
18,287455.0,0.0,287455.0,287455.0,5708.406379725752
19,467070.0,0.0,467070.0,467070.0,8926.407220329294
20,698834.0,0.0,698834.0,698834.0,12853.06867798977
21,787433.0,0.0,787433.0,787433.0,13348.679179574652
22,556134.0,0.0,556134.0,556134.0,10461.969339898866
23,450045.0,0.0,450045.0,450045.0,8628.615944652835
24,565416.0,0.0,565416.0,565416.0,10619.953190646109
25,551800.0,0.0,551800.0,551800.0,10388.00841363017
26,663675.0,0.0,663675.0,663675.0,12271.138297290097
27,653341.0,0.0,653341.0,653341.0,12099.239573749055
28,689761.0,0.0,689761.0,689761.0,12703.194727189757
29,731695.0,0.0,731695.0,731695.0,13348.503658464891
30,620304.0,0.0,620304.0,620304.0,11546.951447816611
31,598028.0,0.0,598028.0,598028.0,11172.153703965636
32,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13348.437384149625
33,642343.0,0.0,642343.0,642343.0,11915.751294720127
34,445722.0,0.0,445722.0,445722.0,8552.628926103955
35,480138.0,0.0,480138.0,480138.0,9153.745863048825
36,537167.0,0.0,537167.0,537167.0,10137.680406753812
37,508594.0,0.0,508594.0,508594.0,9646.523944343044
38,373593.0,0.0,373593.0,373593.0,7273.45565236753
39,304176.0,0.0,304176.0,304176.0,6015.512982066224
40,386646.0,0.0,386646.0,386646.0,7506.929958969594
41,387939.0,0.0,387939.0,387939.0,7529.997148940731
42,428899.0,0.0,428899.0,428899.0,8256.57102554531
43,510045.0,0.0,510045.0,510045.0,9671.458096136017
44,425526.0,0.0,425526.0,425526.0,8197.03622467036
45,457957.0,0.0,457957.0,457957.0,8766.826949585138
46,664182.0,0.0,664182.0,664182.0,12279.158613361822
47,256804.0,0.0,256804.0,256804.0,5140.0834717142825
48,385793.0,0.0,385793.0,385793.0,7491.5977759533625
49,428840.0,0.0,428840.0,428840.0,8255.43360319078
50,358173.0,0.0,358173.0,358173.0,6996.2695130465145
51,203774.0,0.0,203774.0,203774.0,4141.696418528436
52,624293.0,0.0,624293.0,624293.0,11613.439628216429
53,321695.0,0.0,321695.0,321695.0,6335.493403871032
54,246349.0,0.0,246349.0,246349.0,4944.816159412627
55,783802.0,0.0,783802.0,783802.0,13347.948254575636
56,540817.0,0.0,540817.0,540817.0,10199.826105857053
57,752907.0,0.0,752907.0,752907.0,13347.904187683283
58,669639.0,0.0,669639.0,669639.0,12369.507160214194
59,497105.0,0.0,497105.0,497105.0,9447.659397060614
60,594065.0,0.0,594065.0,594065.0,11104.741594912372
61,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.816223761176
62,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.79386401721
63,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.771504348142
64,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.749144753967
65,724015.0,0.0,724015.0,724015.0,13266.048354638138
66,798437.0,0.0,798437.0,798437.0,13347.704442043922
67,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.682082674384
68,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.659723379747
69,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.63736416
70,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.615005015137
71,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.592645945182
72,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.570286950131
73,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.547928029948
74,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.525569184681
75,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.503210414285
76,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.480851718808
77,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.458493098202
78,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.436134552498
79,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.413776081681
80,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.39141768576
81,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.369059364726
82,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.34670111857
83,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.324342947326
84,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.301984850958
85,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.279626829482
86,812607.0,0.0,812607.0,812607.0,13347.257268882899
87,813599.9999999999,0.0,813599.9999999999,813599.9999999999,13347.234911011197
