,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,459931.8188596395,0.0,459931.8188596395,459931.8188596395,8366.316447324267
1,459521.8818981988,0.0,459521.8818981988,459521.8818981988,8366.316447324267
2,460892.51264173345,0.0,460892.51264173345,460892.51264173345,8366.316447324267
3,460064.62686330563,0.0,460064.62686330563,460064.62686330563,8366.316447324267
4,456322.6910608874,0.0,456322.6910608874,456322.6910608874,8366.316447324267
5,454265.6187408299,9184.556314656977,445081.0624261729,454265.6187408299,8366.316447324267
6,454266.37968175916,4218.669168897206,450047.71051286196,454266.37968175916,8366.316447324267
7,454267.1406226887,9484.853281960648,444782.28734072804,454267.1406226887,8366.316447324267
8,455174.89592328813,0.0,455174.89592328813,455174.89592328813,8366.316447324267
9,454268.6625045474,36104.566707154096,418164.0957973933,454268.6625045474,8366.316447324267
10,454269.42344547686,172987.4516071765,281281.97183830035,454269.42344547686,8366.316447324267
11,454270.1843864062,249315.15502599263,204955.02936041358,454270.1843864062,8366.316447324267
12,454270.9453273356,329620.5670229866,124650.37830434905,454270.9453273356,8366.316447324267
13,454271.7062682651,217913.24270436904,236358.46356389605,454271.7062682651,8366.316447324267
14,454272.46720919444,195830.25306333904,258442.2141458554,454272.46720919444,8366.316447324267
15,454273.22815012385,408298.86253617145,45974.365613952374,454273.22815012385,8366.316447324267
16,454273.98909105326,6659.468028002186,447614.52106305107,454273.98909105326,8366.316447324267
17,454274.7500319827,257400.39512588904,196874.35490609368,454274.7500319827,8366.316447324267
18,454275.5109729121,295506.8262530598,158768.68471985232,454275.5109729121,8366.316447324267
19,454276.2719138414,196301.68967958714,257974.58223425428,454276.2719138414,8366.316447324267
20,454277.03285477095,68293.0573284076,385983.97552636336,454277.03285477095,8366.316447324267
21,454277.79379570024,19358.499580926553,434919.2942147737,454277.79379570024,8366.316447324267
22,454278.55473662965,147111.28324269236,307167.2714939373,454278.55473662965,8366.316447324267
23,454279.3156775591,205707.6938512569,248571.62182630223,454279.3156775591,8366.316447324267
24,454280.0766184884,141986.60493657016,312293.47168191825,454280.0766184884,8366.316447324267
25,454280.83755941794,149507.82852228812,304773.0090371298,454280.83755941794,8366.316447324267
26,454281.5985003473,87716.98057729052,366564.61792305676,454281.5985003473,8366.316447324267
27,454282.35944127664,93425.56429132464,360856.795149952,454282.35944127664,8366.316447324267
28,454283.1203822061,73310.66299746413,380972.457384742,454283.1203822061,8366.316447324267
29,454283.88132313546,50150.283827253326,404133.59749588213,454283.88132313546,8366.316447324267
30,454284.6422640649,111675.03119144164,342609.6110726233,454284.6422640649,8366.316447324267
31,454285.40320499433,124970.95212097646,329314.45108401787,454285.40320499433,8366.316447324267
32,454286.1641459237,5995.2386856290395,448290.92546029465,454286.1641459237,8366.316447324267
33,454286.92508685315,139131.10639476974,315155.8186920834,454286.92508685315,8366.316447324267
34,454287.6860277825,260651.97046135992,193635.7155664226,454287.6860277825,8366.316447324267
35,454288.44696871185,285386.93327311793,168901.51369559392,454288.44696871185,8366.316447324267
36,454289.2079096413,301445.83622529637,152843.37168434492,454289.2079096413,8366.316447324267
37,454289.9688505707,237032.40636285287,217257.5624877178,454289.9688505707,8366.316447324267
38,454290.72979150026,281652.9637783775,172637.76601312272,454290.72979150026,8366.316447324267
39,454291.4907324295,335333.2464726606,118958.24425976886,454291.4907324295,8366.316447324267
40,454292.2516733589,296369.38372242206,157922.86795093684,454292.2516733589,8366.316447324267
41,454293.01261428825,240024.35255399707,214268.66006029118,454293.01261428825,8366.316447324267
42,454293.77355521766,217401.95523532512,236891.81831989254,454293.77355521766,8366.316447324267
43,454294.53449614707,172583.58944703935,281710.9450491077,454294.53449614707,8366.316447324267
44,454295.2954370766,219266.55676669657,235028.73867038003,454295.2954370766,8366.316447324267
45,454296.05637800595,201354.92246401,252941.13391399596,454296.05637800595,8366.316447324267
46,454296.81731893535,87452.27187463199,366844.54544430337,454296.81731893535,8366.316447324267
47,454297.5782598647,312457.9319818986,141839.64627796612,454297.5782598647,8366.316447324267
48,454298.3392007941,241215.10956321735,213083.22963757676,454298.3392007941,8366.316447324267
49,454299.1001417236,217439.6480712088,236859.4520705148,454299.1001417236,8366.316447324267
50,454299.8610826529,256471.99393278864,197827.86714986424,454299.8610826529,8366.316447324267
51,454300.62202358234,341750.7953839586,112549.8266396237,454300.62202358234,8366.316447324267
52,454301.38296451175,109488.36400363699,344813.01896087476,454301.38296451175,8366.316447324267
53,454302.1439054411,276621.90188996564,177680.24201547547,454302.1439054411,8366.316447324267
54,454302.90484637057,318237.80747837515,136065.0973679954,454302.90484637057,8366.316447324267
