,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,33061.09571209195,421200.7183240909,454261.8140361828,8366.316447324267
1,454262.5749771121,33437.27260718268,420825.30236992944,454262.5749771121,8366.316447324267
2,454263.33591804164,32182.82434087526,422080.5115771664,454263.33591804164,8366.316447324267
3,454264.09685897105,32941.75436310173,421322.3424958693,454264.09685897105,8366.316447324267
4,454264.85779990046,36369.34072308778,417895.5170768127,454264.85779990046,8366.316447324267
5,454265.6187408299,46665.066834755766,407600.5519060741,454265.6187408299,8366.316447324267
6,454266.37968175916,42117.42373840138,412148.9559433578,454266.37968175916,8366.316447324267
7,454267.1406226887,44960.79631179059,409306.3443108981,454267.1406226887,8366.316447324267
8,454267.9015636181,26875.20759438246,427392.69396923564,454267.9015636181,8366.316447324267
9,454268.6625045474,49740.84321760776,404527.81928693963,454268.6625045474,8366.316447324267
10,454269.42344547686,187172.80070727383,267096.62273820303,454269.42344547686,8366.316447324267
11,454270.1843864062,231998.24127833926,222271.94310806695,454270.1843864062,8366.316447324267
12,454270.94532733574,318526.14706174866,135744.79826558704,454270.94532733574,8366.316447324267
13,454271.7062682651,232029.36376636484,222242.34250190025,454271.7062682651,8366.316447324267
14,454272.46720919444,213246.48006458802,241025.98714460642,454272.46720919444,8366.316447324267
15,454273.22815012385,409539.413513908,44733.81463621588,454273.22815012385,8366.316447324267
16,454273.98909105326,44288.698004948674,409985.2910861046,454273.98909105326,8366.316447324267
17,454274.7500319828,273979.28817061277,180295.46186137,454274.7500319828,8366.316447324267
18,454275.51097291213,308876.8207557842,145398.6902171279,454275.51097291213,8366.316447324267
19,454276.2719138414,218025.8650256296,236250.40688821182,454276.2719138414,8366.316447324267
20,454277.03285477095,100796.97105694353,353480.0617978274,454277.03285477095,8366.316447324267
21,454277.79379570024,55983.282251644356,398294.5115440559,454277.79379570024,8366.316447324267
22,454278.55473662965,172978.00084218185,281300.5538944478,454278.55473662965,8366.316447324267
23,454279.3156775591,226640.04095241916,227639.27472513996,454279.3156775591,8366.316447324267
24,454280.0766184884,168285.00255188963,285995.0740665988,454280.0766184884,8366.316447324267
25,454280.83755941794,175172.92402015167,279107.9135392663,454280.83755941794,8366.316447324267
26,454281.5985003473,118585.57998133742,335696.0185190099,454281.5985003473,8366.316447324267
27,454282.35944127664,123813.50493553106,330468.8545057456,454282.35944127664,8366.316447324267
28,454283.1203822061,105392.55414565292,348890.5662365532,454283.1203822061,8366.316447324267
29,454283.88132313546,84182.586774275,370101.29454886046,454283.88132313546,8366.316447324267
30,454284.6422640649,140526.3668607152,313758.2754033497,454284.6422640649,8366.316447324267
31,454285.40320499433,152562.58017299027,301722.82303200406,454285.40320499433,8366.316447324267
32,454286.1641459237,43308.15573718847,410978.0084087352,454286.1641459237,8366.316447324267
33,454286.92508685315,160071.55201223795,294215.3730746152,454286.92508685315,8366.316447324267
34,454287.6860277825,269533.46248954424,184754.22353823826,454287.6860277825,8366.316447324267
35,454288.44696871185,286005.02494509047,168283.4220236214,454288.44696871185,8366.316447324267
36,454289.2079096413,293992.3584054101,160296.8495042312,454289.2079096413,8366.316447324267
37,454289.9688505707,246334.21851726263,207955.75033330804,454289.9688505707,8366.316447324267
38,454290.7297915002,291428.28453691717,162862.44525458303,454290.7297915002,8366.316447324267
39,454291.4907324295,338420.89689908404,115870.59383334544,454291.4907324295,8366.316447324267
40,454292.2516733589,301807.85532391653,152484.39634944237,454292.2516733589,8366.316447324267
41,454293.01261428825,258068.02919065318,196224.98342363507,454293.01261428825,8366.316447324267
42,454293.77355521766,237350.73993594764,216943.03361927002,454293.77355521766,8366.316447324267
43,454294.53449614707,196306.61639854312,257987.91809760395,454294.53449614707,8366.316447324267
44,454295.2954370766,239058.4505494654,215236.8448876112,454295.2954370766,8366.316447324267
45,454296.05637800595,222655.22847782017,231640.82790018577,454296.05637800595,8366.316447324267
46,454296.81731893535,118344.44412257336,335952.373196362,454296.81731893535,8366.316447324267
47,454297.5782598647,324402.3232474115,129895.25501245317,454297.5782598647,8366.316447324267
48,454298.3392007941,259158.96048006593,195139.3787207282,454298.3392007941,8366.316447324267
49,454299.1001417236,237385.70719293636,216913.39294878722,454299.1001417236,8366.316447324267
50,454299.8610826528,273131.18274540873,181168.6783372441,454299.8610826528,8366.316447324267
51,454300.62202358234,351228.6755220322,103071.94650155013,454300.62202358234,8366.316447324267
52,454301.38296451175,138525.24981086852,315776.1331536432,454301.38296451175,8366.316447324267
53,454302.14390544116,291584.4485860057,162717.6953194354,454302.14390544116,8366.316447324267
