,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,750415.0,0.0,750415.0,750415.0,14797.7903788831
1,749746.0,0.0,749746.0,749746.0,14785.554222923534
2,751983.0,0.0,751983.0,751983.0,14826.357196395547
3,750632.0,0.0,750632.0,750632.0,14801.67664420685
4,744526.0,0.0,744526.0,744526.0,14690.159691494355
5,726185.0,0.0,726185.0,726185.0,14354.663706639052
6,734288.0,0.0,734288.0,734288.0,14502.956629375554
7,785071.0,0.0,785071.0,785071.0,15428.647255015363
8,1059061.0,0.0,1059061.0,1059061.0,20318.286127137268
9,1329510.0,0.0,1329510.0,1329510.0,24991.20044200032
10,743944.0,0.0,743944.0,743944.0,14679.378131769698
11,1371563.0,0.0,1371563.0,1371563.0,25705.456097955008
12,851036.0,0.0,851036.0,851036.0,16621.459186271168
13,559248.0,0.0,559248.0,559248.0,11259.056200379839
14,552070.0,0.0,552070.0,552070.0,11124.130754361599
15,153928.0,0.0,153928.0,153928.0,3242.364477449359
16,732257.0,0.0,732257.0,732257.0,13482.950248314348
17,321216.0,0.0,321216.0,321216.0,6689.8117968627785
18,259044.0,0.0,259044.0,259044.0,5446.563591927169
19,420906.0,0.0,420906.0,420906.0,8575.64318760796
20,629763.0,0.0,629763.0,629763.0,12575.575487831595
21,709605.0,0.0,709605.0,709605.0,14049.797256871596
22,501168.0,0.0,501168.0,501168.0,10162.308329729392
23,405564.0,0.0,405564.0,405564.0,8333.061895113502
24,509531.0,0.0,509531.0,509531.0,10320.782553894449
25,497261.0,0.0,497261.0,497261.0,10088.127133737038
26,598079.0,0.0,598079.0,598079.0,11985.489179094584
27,588766.0,0.0,588766.0,588766.0,11811.50443942987
28,621587.0,0.0,621587.0,621587.0,12423.4467650751
29,659376.0,0.0,659376.0,659376.0,13124.206861663819
30,558995.0,0.0,558995.0,558995.0,11253.595244063785
31,541505.0,0.0,541505.0,541505.0,10924.587706513623
32,744557.0,0.0,744557.0,744557.0,14689.54672145954
33,682148.0,0.0,682148.0,682148.0,13544.50413593859
34,538643.0,0.0,538643.0,538643.0,10870.60709906667
35,683681.0,0.0,683681.0,683681.0,13572.708533763534
36,859036.0,0.0,859036.0,859036.0,16764.21141754176
37,624245.0,0.0,624245.0,624245.0,12472.681338018714
38,424530.0,0.0,424530.0,424530.0,8698.355370276831
39,401957.0,0.0,401957.0,401957.0,8263.16295138913
40,493443.0,0.0,493443.0,493443.0,10015.381337506507
41,349596.0,0.0,349596.0,349596.0,7245.845460167149
42,386508.0,0.0,386508.0,386508.0,7964.1430543393035
43,459634.0,0.0,459634.0,459634.0,9371.27484544077
44,383468.0,0.0,383468.0,383468.0,7905.171990790006
45,412693.0,0.0,412693.0,412693.0,8470.296750372869
46,598536.0,0.0,598536.0,598536.0,11993.61991661149
47,231423.0,0.0,231423.0,231423.0,4873.752989858416
48,347662.0,0.0,347662.0,347662.0,7074.438792242476
49,386455.0,0.0,386455.0,386455.0,7962.951284019847
50,322772.0,0.0,322772.0,322772.0,6719.948659198971
51,183634.0,0.0,183634.0,183634.0,3866.895471533569
52,562590.0,0.0,562590.0,562590.0,10761.372750796827
53,289899.0,0.0,289899.0,289899.0,6070.816658460276
54,222001.0,0.0,222001.0,222001.0,4674.97873014668
55,871089.0,0.0,871089.0,871089.0,16560.44013628631
56,659201.0,0.0,659201.0,659201.0,13119.828436295855
57,1273136.0,0.0,1273136.0,1273136.0,24025.050556001825
58,1079936.0,0.0,1079936.0,1079936.0,20680.92199204528
59,698418.0,0.0,698418.0,698418.0,13842.819964623328
60,942410.0,0.0,942410.0,942410.0,18254.242880257327
61,1430746.0,0.0,1430746.0,1430746.0,26701.536098163502
62,1467981.0,0.0,1467981.0,1467981.0,27327.536717100804
63,1720000.0,0.0,1720000.0,1720000.0,31506.03760664797
64,1564593.0,0.0,1564593.0,1564593.0,28941.119160031012
65,652456.0,0.0,652456.0,652456.0,12994.839244585135
66,719521.0,0.0,719521.0,719521.0,14230.029165637286
67,752421.0,0.0,752421.0,752421.0,14831.623310429057
68,752682.0,0.0,752682.0,752682.0,14836.360067498745
69,752586.0,0.0,752586.0,752586.0,14834.583830380592
70,752716.0,0.0,752716.0,752716.0,14836.930614699882
71,752463.0,0.0,752463.0,752463.0,14832.29013510042
72,752443.0,0.0,752443.0,752443.0,14831.900402289402
73,752533.0,0.0,752533.0,752533.0,14833.51748436351
74,752485.0,0.0,752485.0,752485.0,14832.616930994625
75,753097.0,0.0,753097.0,753097.0,14843.756740890862
76,753162.0,0.0,753162.0,753162.0,14844.917598239304
