,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,638927.0,0.0,638927.0,638927.0,11713.319158934397
1,228634.0,0.0,228634.0,228634.0,4575.131347086443
2,135407.0,0.0,135407.0,135407.0,2801.0519510168474
3,89186.0,0.0,89186.0,89186.0,1876.1564682353994
4,189595.0,0.0,189595.0,189595.0,3774.3349602304006
5,272201.0,0.0,272201.0,272201.0,5379.55931861291
6,322973.0,0.0,322973.0,322973.0,6300.520568523544
7,440753.0,0.0,440753.0,440753.0,8376.91049744034
8,591062.0,0.0,591062.0,591062.0,10923.22411739498
9,723199.9999999999,0.0,723199.9999999999,723199.9999999999,11829.00227888518
10,712402.0,0.0,712402.0,712402.0,11828.982461898491
11,488648.0,0.0,488648.0,488648.0,9199.841014659647
12,653793.0,0.0,653793.0,653793.0,11828.943372284159
13,561957.0,0.0,561957.0,561957.0,10438.162106352349
14,500646.0,0.0,500646.0,500646.0,9404.183635237592
15,496640.0,0.0,496640.0,496640.0,9336.001547888936
16,395100.0,0.0,395100.0,395100.0,7581.242104807643
17,120167.0,0.0,120167.0,120167.0,2502.620753908097
18,113469.0,0.0,113469.0,113469.0,2370.5845785689817
19,282550.0,0.0,282550.0,282550.0,5568.538877306622
20,349352.0,0.0,349352.0,349352.0,6772.3772357810585
21,346326.0,0.0,346326.0,346326.0,6718.435698963565
22,303788.0,0.0,303788.0,303788.0,5954.33903864607
23,396919.0,0.0,396919.0,396919.0,7613.06959512464
24,318807.0,0.0,318807.0,318807.0,6225.390498421447
25,234715.0,0.0,234715.0,234715.0,4688.034224054668
26,189360.0,0.0,189360.0,189360.0,3837.126862970765
27,108479.99999999999,0.0,108479.99999999999,108479.99999999999,2271.8145628077527
28,79335.00000000013,0.0,79335.00000000013,79335.00000000013,1668.1523326206013
29,60501.0,0.0,60501.0,60501.0,1269.5429579152528
30,21721.0,0.0,21721.0,21721.0,456.0944301349483
31,0.0,0.0,0.0,0.0,-0.0
32,24095.0,0.0,24095.0,24095.0,419.25485023073645
33,270570.0,0.0,270570.0,270570.0,4645.2232401346555
34,337998.0,0.0,337998.0,337998.0,6569.118016539791
35,351189.0,0.0,351189.0,351189.0,6804.43869844302
36,369575.0,0.0,369575.0,369575.0,7130.713494033543
37,400000.0,0.0,400000.0,400000.0,7666.369088112132
38,400000.0,0.0,400000.0,400000.0,7666.356243935768
39,410274.0,0.0,410274.0,410274.0,7846.063771978961
40,353956.0,0.0,353956.0,353956.0,6853.612660258586
41,123810.0,0.0,123810.0,123810.0,2573.8842929391044
42,31730.0,0.0,31730.0,31730.0,667.1108518549462
43,27897.0,0.0,27897.0,27897.0,584.882851144869
44,24256.0,0.0,24256.0,24256.0,506.27261170007176
45,8581.0,0.0,8581.0,8581.0,175.51855131244116
46,26681.0,0.0,26681.0,26681.0,485.9028195739829
47,27002.0,0.0,27002.0,27002.0,567.0474864440339
48,28459.0,0.0,28459.0,28459.0,595.9906669782634
49,39418.0,0.0,39418.0,39418.0,786.63139606097
50,45511.0,0.0,45511.0,45511.0,933.2598788021107
51,73082.0,0.0,73082.0,73082.0,1427.6059028497539
52,94795.0,0.0,94795.0,94795.0,1919.4580377812501
53,165094.0,0.0,165094.0,165094.0,3344.394711779083
54,237464.0,0.0,237464.0,237464.0,4738.207343642489
