,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,9602.894075562537,444658.9199606203,454261.8140361828,8366.316447324267
1,454262.5749771121,295145.6454594857,159116.9295176264,454262.5749771121,8366.316447324267
2,454263.33591804164,360027.1902778955,94236.14564014615,454263.33591804164,8366.316447324267
3,454264.09685897105,392195.4892871461,62068.60757182496,454264.09685897105,8366.316447324267
4,454264.85779990046,322317.3289801768,131947.5288197236,454264.85779990046,8366.316447324267
5,454265.6187408299,264828.64768363314,189436.97105719676,454265.6187408299,8366.316447324267
6,454266.37968175916,229494.35706015248,224772.02262160668,454266.37968175916,8366.316447324267
7,454267.1406226887,147526.79844967817,306740.3421730105,454267.1406226887,8366.316447324267
8,454267.9015636181,117302.34177661035,336965.55978700775,454267.9015636181,8366.316447324267
9,454268.6625045474,207270.17196250544,246998.49054204195,454268.6625045474,8366.316447324267
10,454269.42344547686,236854.6157915895,217414.80765388737,454269.42344547686,8366.316447324267
11,454270.1843864062,299759.5168160416,154510.6675703646,454270.1843864062,8366.316447324267
12,454270.9453273356,277645.0495460818,176625.89578125384,454270.9453273356,8366.316447324267
13,454271.7062682651,341558.08077973744,112713.62548852766,454271.7062682651,8366.316447324267
14,454272.46720919444,338634.5915500694,115637.87565912503,454272.46720919444,8366.316447324267
15,454273.22815012385,352039.80934744014,102233.41880268372,454273.22815012385,8366.316447324267
16,454273.98909105326,362567.510063222,91706.47902783121,454273.98909105326,8366.316447324267
17,454274.7500319827,377105.4914951213,77169.2585368614,454274.7500319827,8366.316447324267
18,454275.51097291213,375307.3669969382,78968.14397597393,454275.51097291213,8366.316447324267
19,454276.2719138414,257636.5905299087,196639.68138393274,454276.2719138414,8366.316447324267
20,454277.03285477095,211147.2278272757,243129.80502749525,454277.03285477095,8366.316447324267
21,454277.79379570024,213253.69699137824,241024.096804322,454277.79379570024,8366.316447324267
