,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,723199.9999999999,0.0,885001.0,885001.0,11829.257355357156
1,316689.0,0.0,316689.0,316689.0,6187.540602244059
2,187557.0,0.0,187557.0,187557.0,3803.1373039028035
3,123535.0,0.0,123535.0,123535.0,2568.8817546936534
4,262614.0,0.0,262614.0,262614.0,5203.757162518491
5,377035.0,0.0,377035.0,377035.0,7263.4847781434655
6,447362.0,0.0,447362.0,447362.0,8491.243627921693
7,610503.0,0.0,610503.0,610503.0,11245.268595390238
8,723199.9999999999,0.0,723199.9999999999,723199.9999999999,11829.107691492025
9,676663.0,0.0,676663.0,676663.0,11829.087874152217
10,632719.0,0.0,632719.0,632719.0,11611.211928593468
11,440838.0,0.0,440838.0,440838.0,8378.386740816964
12,551537.0,0.0,551537.0,551537.0,10263.732650749462
13,424333.0,0.0,424333.0,424333.0,8092.037323133074
14,397397.0,0.0,397397.0,397397.0,7621.623777728852
15,378346.0,0.0,378346.0,378346.0,7286.496119450039
16,314187.0,0.0,314187.0,314187.0,6142.289576201227
17,158231.0,0.0,158231.0,158231.0,3242.8748986162095
18,157170.0,0.0,157170.0,157170.0,3222.448193885051
19,391370.0,0.0,391370.0,391370.0,7515.765222804562
20,483899.0,0.0,483899.0,483899.0,9118.682172266466
21,479708.0,0.0,479708.0,479708.0,9047.010982563734
22,420787.0,0.0,420787.0,420787.0,8030.216152094486
23,549786.0,0.0,549786.0,549786.0,10234.17624047712
24,441590.0,0.0,441590.0,441590.0,8391.217637765427
25,325112.0,0.0,325112.0,325112.0,6338.797527957832
26,262289.0,0.0,262289.0,262289.0,5197.585289467518
27,150056.0,0.0,150056.0,150056.0,3085.1774729060166
28,108447.00000000012,0.0,108447.00000000012,108447.00000000012,2271.17482173539
29,83803.0,0.0,83803.0,83803.0,1762.9807100033333
30,30086.0,0.0,30086.0,30086.0,628.2883910496805
31,0.0,0.0,0.0,0.0,-0.0
32,12048.0,0.0,12048.0,12048.0,209.6355851649539
33,135286.0,0.0,135286.0,135286.0,2381.029401484799
34,169000.0,0.0,169000.0,169000.0,3449.155385624566
35,175595.0,0.0,175595.0,175595.0,3575.1371477799426
36,184788.0,0.0,184788.0,184788.0,3750.078925595496
37,200000.0,0.0,200000.0,200000.0,4037.9188283588824
38,200000.0,0.0,200000.0,200000.0,4037.9120578072548
39,226455.0,0.0,226455.0,226455.0,4533.8897540244325
40,207393.0,0.0,207393.0,207393.0,4177.077782586123
41,86298.0,0.0,86298.0,86298.0,1812.5336710505658
42,43951.0,0.0,43951.0,43951.0,922.2205992506564
43,38641.0,0.0,38641.0,38641.0,810.5964993655504
44,33598.0,0.0,33598.0,33598.0,704.2731302505358
45,11885.0,0.0,11885.0,11885.0,248.33766248320853
46,36956.0,0.0,36956.0,36956.0,684.5048014862139
47,37402.0,0.0,37402.0,37402.0,785.891173798662
