,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,543952.0,0.0,543952.0,543952.0,10192.896111634322
1,194648.0,0.0,194648.0,194648.0,3952.0296544080697
2,115279.0,0.0,115279.0,115279.0,2413.8624833724357
3,75929.0,0.0,75929.0,75929.0,1599.2327234715312
4,161412.0,0.0,161412.0,161412.0,3170.1608908320277
5,231738.0,0.0,231738.0,231738.0,4651.027566510694
6,274964.0,0.0,274964.0,274964.0,5452.771087836458
7,375236.0,0.0,375236.0,375236.0,7265.760739730365
8,572527.0,0.0,572527.0,572527.0,10674.980245411603
9,768400.0,0.0,768400.0,768400.0,12524.686150500213
10,768400.0,0.0,768400.0,768400.0,12524.665168276697
11,588961.0,0.0,588961.0,588961.0,10950.778486034582
12,768400.0,0.0,768400.0,768400.0,12524.623523681887
13,737883.0,0.0,737883.0,737883.0,12524.602541668162
14,643190.0,0.0,643190.0,643190.0,11853.100209674416
15,649673.0,0.0,649673.0,649673.0,11960.175279615332
16,507175.0,0.0,507175.0,507175.0,9566.229512291457
17,115260.0,0.0,115260.0,115260.0,2413.3675902076757
18,115260.0,0.0,115260.0,115260.0,2413.3635336581347
19,240550.0,0.0,240550.0,240550.0,4815.44123272485
20,297421.0,0.0,297421.0,297421.0,5864.100282647067
21,294845.0,0.0,294845.0,294845.0,5817.0599051766485
22,258630.0,0.0,258630.0,258630.0,5151.218189666763
23,337917.0,0.0,337917.0,337917.0,6597.941996307392
24,271417.0,0.0,271417.0,271417.0,5387.305881327104
25,199825.0,0.0,199825.0,199825.0,4050.0262868070413
26,161212.0,0.0,161212.0,161212.0,3311.581988623288
27,115260.0,0.0,115260.0,115260.0,2413.325359380345
28,115260.0,0.0,115260.0,115260.0,2413.321302972033
29,55727.0,0.0,55727.0,55727.0,1172.0491966560153
30,18492.0,0.0,18492.0,18492.0,386.86225365292836
31,0.0,0.0,0.0,0.0,-0.0
32,36143.0,0.0,36143.0,36143.0,630.8322755312035
33,405854.0,0.0,405854.0,405854.0,6916.539950107853
