,0
Useful Life,30
Wind Cost ($/kW),1603.8000000000004
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),391.87456
Wind capacity (MW),630.8000000000001
Solar capacity (MW),0.0
Excess VRE capacity (%),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2030
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.09854338838312121
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,0
NPV Solar Expenses,0
NPV HVDC Expenses,0
LCOE ($/MWh),42.76767804773931
Grid Price ($/MWh),67.08122384
Electricity CF (-),1.13
Wind plant CF (-),0.43193674693969164
Wind annual energy (MWh),2386799.531733324
Solar plant CF (-),0.0
Solar annual energy (MWh),0
LCOH ($/kg),3.7760261101183326
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.59542965 0.58688049 0.57857335 0.5704981  0.56264517 0.55500549
 0.54757049 0.54033207 0.53839517 0.58688049 0.57857335 0.5704981
 0.56264517 0.55500549 0.54757049 0.54033207 0.53839517 0.58688049
 0.57857335 0.5704981  0.56264517 0.55500549 0.54757049 0.54033207
 0.53839517 0.58688049 0.57857335 0.5704981  0.56264517 0.55500549]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1200604841.0996232
Hydrogen transmission total CAPEX ($),29180603.01203023
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.24856165961946924
LCOH: Desalination CAPEX ($/kg),0.0007545962069592549
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.921976228371968
LCOH: Wind Plant FOM ($/kg),0.25098098005143255
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Grid Transmission ($/kg),0.4300742925590643
LCOH: Taxes and Finances ($/kg),0.02750568409230219
LCOH: Water consumption ($/kg),0.008292914934426389
LCOH: Grid electricity ($/kg),1.5942091462505543
LCOH: Bulk H2 Transmission ($/kg),0.13290063147982273
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1015.1674933099731
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.179208281949454
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.8134449269372688
Steel price: Carbon ($/tonne),14.35889839114391
Steel price: Iron Ore ($/tonne),449.6056537549815
Steel price: Hydrogen ($/tonne),249.06668222340522
Steel price: Natural gas ($/tonne),2.455698387714257
Steel price: Electricity ($/tonne),34.35491816145695
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.42616610816255
Steel price: Equipment Financing ($/tonne),91.55083268986708
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1028.5159260331145
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.7449510568471074
Ammonia price: Electricity ($/kg),0.007596232801117267
Ammonia price: Cooling water ($/kg),0.0001547520645747896
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.00969797428306385
Ammonia price: Equipment Financing ($/kg),0.034193990984849036
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),0.8389597174974031
