,0
Useful Life,30
Wind Cost ($/kW),1514.7
Solar Cost ($/kW),764
Electrolyzer Installed Cost ($/kW),938.1769600000001
Wind capacity (MW),581.0
Solar capacity (MW),50.0
Excess VRE capacity (%),0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2035
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.062389402411787934
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,-1269821125.7957156
NPV Solar Expenses,-65024443.05681454
NPV HVDC Expenses,0.0
LCOE ($/MWh),40.424217770049076
Grid Price ($/MWh),104.2823574
Electricity CF (-),1.0
Wind plant CF (-),0.4319367469396916
Wind annual energy (MWh),2198367.9897543765
Solar plant CF (-),0.2520819636780827
Solar annual energy (MWh),110411.90009100024
LCOH ($/kg),5.0436223765367005
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.57441198 0.5661646  0.55815069 0.55036048 0.54278474 0.53541473
 0.52824218 0.52125926 0.51939072 0.5661646  0.55815069 0.55036048
 0.54278474 0.53541473 0.52824218 0.52125926 0.51939072 0.5661646
 0.55815069 0.55036048 0.54278474 0.53541473 0.52824218 0.52125926
 0.51939072 0.5661646  0.55815069 0.55036048 0.54278474 0.53541473]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1369393653.0996227
Hydrogen transmission total CAPEX ($),29180603.01203023
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.6032147794769697
LCOH: Desalination CAPEX ($/kg),0.0007649177852496379
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.8129816229544571
LCOH: Wind Plant FOM ($/kg),0.2226049628136487
LCOH: Solar Plant CAPEX ($/kg),0.03528916105455152
LCOH: Solar Plant FOM ($/kg),0.010233468802575165
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Grid Transmission ($/kg),0.4359569692017381
LCOH: Taxes and Finances ($/kg),0.06471591103916882
LCOH: Water consumption ($/kg),0.008292914934426389
LCOH: Grid electricity ($/kg),2.5378120927022847
LCOH: Bulk H2 Transmission ($/kg),0.1509855992192973
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1119.2264702661987
