,0
Useful Life,30.0
Wind Cost ($/kW),1458.8640000000003
Solar Cost ($/kW),1096.2
Electrolyzer Installed Cost ($/kW),391.87456
Wind capacity (MW),1050.0
Solar capacity (MW),400.0
Excess VRE capacity (%),0.0
Battery storage capacity (MW),144.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),4530420598.0
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,0.0
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),46.44275843958394
Grid Price ($/MWh),0.0
Electricity CF (-),-25.12230486539155
Wind plant CF (-),0.4014329564495774
Wind annual energy (MWh),3692380.333423213
Solar plant CF (-),0.24451883318689435
Solar annual energy (MWh),856793.9914868777
LCOH ($/kg),3.4622795906961037
Electrolyzer CF (-),0.5161355830214774
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),42766.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),128.97028623158297
Hydrogen storage capacity (kg),2801163.8164684833
Hydrogen storage CAPEX ($/kg),59.41097727451703
Hydrogen annual production (kg),79833832.50949517
Hydrogen production total CAPEX ($),2615690126.8059473
Hydrogen transmission total CAPEX ($),31812536.457412772
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.15444132797293697
LCOH: Electrolyzer CAPEX ($/kg),0.6387255958040766
LCOH: Desalination CAPEX ($/kg),0.0013715414562368803
LCOH: Electrolyzer FOM ($/kg),0.15460209880726006
LCOH:Desalination FOM ($/kg),0.003066333310836024
LCOH: Electrolyzer VOM ($/kg),0.07336981867042582
LCOH: Wind Plant CAPEX ($/kg),1.268662964740614
LCOH: Wind Plant FOM ($/kg),0.41375688650517206
LCOH: Solar Plant CAPEX ($/kg),0.36315493018929823
LCOH: Solar Plant FOM ($/kg),0.09058716726987893
LCOH: Battery Storage CAPEX ($/kg),0.06714490170659274
LCOH: Battery Storage FOM ($/kg),0.02550028758647092
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.07167094237983734
LCOH: Water consumption ($/kg),0.008292914934426385
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.1279318793620399
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),21.033706048355334
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),21.033706048355306
Steel Price with Integration ($/tonne),906.2445580277224
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.618658870656437
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.851134526937269
Steel price: Carbon ($/tonne),14.668248391143912
Steel price: Iron Ore ($/tonne),365.3723947549814
Steel price: Hydrogen ($/tonne),228.37196180231498
Steel price: Natural gas ($/tonne),2.455698387714257
Steel price: Electricity ($/tonne),34.35491816145695
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),28.400172822705297
Steel price: Equipment Financing ($/tonne),88.7953799254557
Steel price: Remaining Financial ($/tonne),8.74427189987843
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),919.5929907508624
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.6830537620695649
Ammonia price: Electricity ($/kg),0.007596232801117267
Ammonia price: Cooling water ($/kg),0.0001547520645747896
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.009522754968806805
Ammonia price: Equipment Financing ($/kg),0.03368848258248974
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),0.7763816950032443
