,0
Useful Life,30.0
Wind Cost ($/kW),1771.2
Solar Cost ($/kW),887.4
Electrolyzer Installed Cost ($/kW),391.87456000000003
Wind capacity (MW),744.0
Solar capacity (MW),1200.0
Excess VRE capacity (%),10.0
Battery storage capacity (MW),132.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),880.0
Total Electricity Production (kWh),4613387759.0
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1709721239.2072127
NPV Solar Expenses,-1758202980.2043355
NPV HVDC Expenses,0.0
LCOE ($/MWh),55.05564040292944
Grid Price ($/MWh),0.0
Electricity CF (-),-5.235735608255407
Wind plant CF (-),0.3524833254981909
Wind annual energy (MWh),2297288.924934929
Solar plant CF (-),0.2566303976934548
Solar annual energy (MWh),2697698.740553596
LCOH ($/kg),3.770995429800632
Electrolyzer CF (-),0.5443871492521322
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),42631.0
Number of stack clusters (-),27.0
Hydrogen storage duration (hr),199.83032457662262
Hydrogen storage capacity (kg),3958954.9892581087
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),78405949.0607987
Hydrogen production total CAPEX ($),2913688260.575743
Hydrogen transmission total CAPEX ($),37017196.09980561
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.09213980598733643
LCOH: Electrolyzer CAPEX ($/kg),0.5902709042070886
LCOH: Desalination CAPEX ($/kg),0.0012674942429875347
LCOH: Electrolyzer FOM ($/kg),0.14476923839973
LCOH:Desalination FOM ($/kg),0.002871311201556651
LCOH: Electrolyzer VOM ($/kg),0.07388144162165251
LCOH: Wind Plant CAPEX ($/kg),1.1002929029786745
LCOH: Wind Plant FOM ($/kg),0.2994872491769869
LCOH: Solar Plant CAPEX ($/kg),0.8891365086029479
LCOH: Solar Plant FOM ($/kg),0.27761146568130046
LCOH: Battery Storage CAPEX ($/kg),0.06205118771442479
LCOH: Battery Storage FOM ($/kg),0.023878441763392974
LCOH: Grid Transmission ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.052683698631796894
LCOH: Water consumption ($/kg),0.011655677691341557
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.1489981018994136
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),18.868934294722127
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),18.868934294722102
Steel Price with Integration ($/tonne),1044.3839321529126
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.308599303666794
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.5171829269372683
Steel price: Carbon ($/tonne),12.31665039114391
Steel price: Iron Ore ($/tonne),471.3075301549815
Steel price: Hydrogen ($/tonne),248.7348585496497
Steel price: Natural gas ($/tonne),2.5059182698664513
Steel price: Electricity ($/tonne),42.868486517298024
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.822286956240585
Steel price: Equipment Financing ($/tonne),92.64642869877255
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1057.732364876053
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.7439585820839458
Ammonia price: Electricity ($/kg),0.0095088870643833
Ammonia price: Cooling water ($/kg),0.00021750376086284866
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.009746113387107723
Ammonia price: Equipment Financing ($/kg),0.03433287248703622
Ammonia price: Remaining Financial ($/kg),0.006147155674344376
Ammonia price: Total ($/kg),0.8401296693000266
