,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Licensing and Permitting,0.0
3,Operating Expenses,Rent of land,0.0
4,Financing cash outflow,Capital gains taxes payable,0.0
5,Operating Expenses,Labor,0.0
6,Operating Expenses,Total annual maintenance,0.0
7,Operating Expenses,Installation cost,0.0
8,Operating Expenses,Sales tax,0.0
9,Operating Expenses,Credit card fees,0.0
10,Financing cash outflow,Grid Transmission,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Non-depreciable assets,0.00010905223889696533
13,Financing cash outflow,Desalination,0.0005417795706485031
14,Operating Expenses,Desalination Fixed O&M Cost,0.002392006051112122
15,Financing cash outflow,Compression,0.005188392013137809
16,Operating Expenses,Water,0.008292914934426389
17,Operating Expenses,Cash on hand reserve,0.008585001249206015
18,Operating Expenses,Battery Storage Fixed O&M Cost,0.018691117537984272
19,Financing cash outflow,Battery Storage,0.024921490050645694
20,Operating Expenses,Property insurance,0.04813000618447547
21,Financing cash outflow,Hydrogen Storage,0.048284629377038944
22,Operating Expenses,Var O&M,0.0746470333686292
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.12060305204093189
24,Operating Expenses,Solar Plant Fixed O&M Cost,0.15703522401163006
25,Financing cash outflow,Solar Plant,0.27994145933806586
26,Financing cash outflow,Income taxes payable,0.3166537786039715
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.3680277509936562
28,Financing cash outflow,Electrolysis system,0.5156439017665254
29,Financing cash outflow,Wind Plant,0.5585697377878719
30,Financing cash outflow,Repayment of debt,0.8317501273404485
31,Financing cash outflow,Interest expense,1.2343408640999651
32,Financing cash outflow,Dividends paid,1.4623299587387755
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00010905223889675733
38,Operating Revenue,Cash on hand recovery,0.008585001249206015
39,Financing cash inflow,Monetized tax losses,0.24217781973010277
40,Financing cash inflow,Inflow of debt,0.8317501273404485
41,Financing cash inflow,Inflow of equity,1.2474665280482746
42,Operating Revenue,Hydrogen sales,3.754590748691114
