,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Compression,0.0
3,Financing cash outflow,Capital gains taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Sales tax,0.0
16,Operating Expenses,Non-depreciable assets,0.00011370520891750185
17,Financing cash outflow,Desalination,0.0003765972460594557
18,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
19,Operating Expenses,Cash on hand reserve,0.0089187316980627
20,Operating Expenses,Water,0.013622038964452972
21,Operating Expenses,Property insurance,0.01924979958219146
22,Operating Expenses,Var O&M,0.07527468904833468
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
24,Financing cash outflow,Electrolysis system,0.10411336729290577
25,Financing cash outflow,Income taxes payable,0.11254413183459618
26,Financing cash outflow,Grid Transmission,0.13349999408898475
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.25499511959005544
28,Financing cash outflow,Wind Plant,0.33424092431503627
29,Financing cash outflow,Repayment of debt,0.3867742279741557
30,Financing cash outflow,Dividends paid,0.5506734622443855
31,Financing cash outflow,Interest expense,0.5661843290075568
32,Operating Expenses,Grid Electricity Cost,1.3641773684236578
33,Operating Revenue,Take or pay revenue,0.0
34,Operating Revenue,Incidental revenue,0.0
35,Financing cash inflow,One time capital incentive,0.0
36,Financing cash inflow,Annual operating incentives,0.0
37,Operating Revenue,Sale of non-depreciable assets,0.00011370520891717654
38,Operating Revenue,Cash on hand recovery,0.0089187316980627
39,Financing cash inflow,Monetized tax losses,0.11513083352344156
40,Financing cash inflow,Inflow of debt,0.3867742279741557
41,Financing cash inflow,Inflow of equity,0.5581361066660508
42,Operating Revenue,Hydrogen sales,2.941180168952723
