,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,228261.0,0.0,228261.0,228261.0,4630.726156681629
1,198048.0,0.0,198048.0,198048.0,4053.884930438465
2,194926.0,0.0,194926.0,194926.0,3993.8667376171484
3,171342.0,0.0,171342.0,171342.0,3537.882183371845
4,181941.0,0.0,181941.0,181941.0,3743.390543448314
5,157206.0,0.0,157206.0,157206.0,3262.1790797965723
6,145957.0,0.0,145957.0,145957.0,3041.398380364168
7,119540.0,0.0,119540.0,119540.0,2517.5263776739343
8,890354.0,0.0,890354.0,890354.0,14502.597742185422
9,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.573445875241
10,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.549149646453
11,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.524853499055
12,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.500557433055
13,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.476261448424
14,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.451965545208
15,853750.0,0.0,853750.0,853750.0,14502.427669723384
16,235510.0,0.0,235510.0,235510.0,4767.98271857935
17,135599.99999999997,0.0,135599.99999999997,135599.99999999997,2836.902437541259
18,218636.0,0.0,218636.0,218636.0,4447.573860049996
19,215366.0,0.0,215366.0,215366.0,4385.235094227675
20,282236.0,0.0,282236.0,282236.0,5644.89605695641
21,265684.0,0.0,265684.0,265684.0,5335.893271465628
22,247559.0,0.0,247559.0,247559.0,4995.470828213886
23,318589.0,0.0,318589.0,318589.0,6317.550188525347
24,326822.0,0.0,326822.0,326822.0,6468.795692722295
25,349762.0,0.0,349762.0,349762.0,6888.205712054621
26,350417.0,0.0,350417.0,350417.0,6900.126712596861
27,361887.0,0.0,361887.0,361887.0,7108.691329285282
28,425339.0,0.0,425339.0,425339.0,8250.050474032058
29,447557.0,0.0,447557.0,447557.0,8644.935245751598
30,507925.0,0.0,507925.0,507925.0,9706.23267014705
31,547231.0,0.0,547231.0,547231.0,10388.539807600155
32,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.044706070872
33,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14502.020411613306
34,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14501.99611723711
35,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14501.971822942305
36,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14501.947528728906
37,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14501.923234596854
38,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14501.898940546193
39,244266.0,0.0,244266.0,244266.0,4933.235898176371
40,301172.0,0.0,301172.0,301172.0,5996.079104105633
41,440077.0,0.0,440077.0,440077.0,8512.07632092997
42,524995.0,0.0,524995.0,524995.0,10003.168661721515
43,459658.0,0.0,459658.0,459658.0,8858.812296407836
44,434481.0,0.0,434481.0,434481.0,8412.596457867683
45,353298.0,0.0,353298.0,353298.0,6952.354470479621
46,383964.0,0.0,383964.0,383964.0,7507.920095334825
47,360117.0,0.0,360117.0,360117.0,7076.306422578769
48,421457.0,0.0,421457.0,421457.0,8180.526724086996
49,470511.0,0.0,470511.0,470511.0,9050.145560409275
50,504893.0,0.0,504893.0,504893.0,9652.995788111299
51,522837.0,0.0,522837.0,522837.0,9965.526780408627
52,497310.0,0.0,497310.0,497310.0,9520.457689082517
53,496495.0,0.0,496495.0,496495.0,9506.185192846138
54,517219.0,0.0,517219.0,517219.0,9867.774511219062
55,420476.0,0.0,420476.0,420476.0,8162.92025047677
56,289310.0,0.0,289310.0,289310.0,5776.06367835429
57,387950.0,0.0,387950.0,387950.0,7579.629082585961
58,297446.0,0.0,297446.0,297446.0,5926.928241086222
59,345731.0,0.0,345731.0,345731.0,6814.319463957696
60,304741.0,0.0,304741.0,304741.0,6061.853445706589
61,277503.0,0.0,277503.0,277503.0,5556.322586268213
62,239478.0,0.0,239478.0,239478.0,4842.638806975899
63,226417.0,0.0,226417.0,226417.0,4595.209119812522
64,261601.0,0.0,261601.0,261601.0,5259.005412927553
65,289239.0,0.0,289239.0,289239.0,5774.658033277508
66,216559.0,0.0,216559.0,216559.0,4407.620459275586
67,464597.0,0.0,464597.0,464597.0,8945.640276620748
68,466670.0,0.0,466670.0,466670.0,8982.181745750602
69,488864.0,0.0,488864.0,488864.0,9372.310358324716
70,460600.0,0.0,460600.0,460600.0,8875.053677835127
71,498949.0,0.0,498949.0,498949.0,9548.823440313974
72,540367.0,0.0,540367.0,540367.0,10269.16822485588
73,568165.0,0.0,568165.0,568165.0,10748.529628736229
74,574981.0,0.0,574981.0,574981.0,10865.566344813471
75,580921.0,0.0,580921.0,580921.0,10967.404555796209
76,583092.0,0.0,583092.0,583092.0,11004.577824372682
77,584477.0,0.0,584477.0,584477.0,11028.276014912308
78,584477.0,0.0,584477.0,584477.0,11028.257539499773
79,584477.0,0.0,584477.0,584477.0,11028.239064149115
80,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.936053739573
81,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.911762995675
82,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.887472333123
83,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.86318175193
84,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.838891252115
85,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.814600833659
86,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.79031049656
87,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.766020240819
88,669055.0,0.0,669055.0,669055.0,12462.170864025353
89,570273.0,0.0,570273.0,570273.0,10784.45742658969
90,581281.0,0.0,581281.0,581281.0,10973.292503240136
91,579100.0,0.0,579100.0,579100.0,10935.896027400566
92,576395.0,0.0,576395.0,576395.0,10889.492587475037
93,530105.0,0.0,530105.0,530105.0,10091.01542634501
94,566669.0,0.0,566669.0,566669.0,10722.429948701762
95,476332.0,0.0,476332.0,476332.0,9151.880981283311
96,352519.0,0.0,352519.0,352519.0,6937.565987239872
97,442718.0,0.0,442718.0,442718.0,8558.142999970754
98,403686.0,0.0,403686.0,403686.0,7861.927244568319
99,281368.0,0.0,281368.0,281368.0,5627.958127375814
100,293899.0,0.0,293899.0,293899.0,5860.767730901549
101,366389.0,0.0,366389.0,366389.0,7189.4492711093035
102,395680.0,0.0,395680.0,395680.0,7718.138620682068
103,534330.0,0.0,534330.0,534330.0,10164.099713125826
104,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.37192450847
105,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14500.347635654112
106,573979.0,0.0,573979.0,573979.0,10847.787938035824
107,732525.0,0.0,732525.0,732525.0,13520.610946928748
108,759980.0,0.0,759980.0,759980.0,13974.28552786992
109,559595.0,0.0,559595.0,559595.0,10600.439290558572
110,488012.0,0.0,488012.0,488012.0,9356.72178325051
111,488818.0,0.0,488818.0,488818.0,9370.834652361276
112,588588.0,0.0,588588.0,588588.0,11097.976586462355
113,584477.0,0.0,584477.0,584477.0,11027.610782827134
114,584477.0,0.0,584477.0,584477.0,11027.592309642669
115,584477.0,0.0,584477.0,584477.0,11027.573836520072
116,584477.0,0.0,584477.0,584477.0,11027.555363459353
117,580881.0,0.0,580881.0,580881.0,10965.946962160775
118,539956.0,0.0,539956.0,539956.0,10261.259746342243
119,499174.0,0.0,499174.0,499174.0,9551.97832254207
120,519071.0,0.0,519071.0,519071.0,9898.90431755773
121,489857.0,0.0,489857.0,489857.0,9388.884151688624
122,492246.0,0.0,492246.0,492246.0,9430.716661639397
123,485604.0,0.0,485604.0,485604.0,9314.289173926712
124,506807.0,0.0,506807.0,506807.0,9685.199265371486
125,511905.0,0.0,511905.0,511905.0,9774.070035144558
126,504768.0,0.0,504768.0,504768.0,9649.583520479775
127,549918.0,0.0,549918.0,549918.0,10433.275212826413
128,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.807508423215
129,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.783221459298
130,366016.0,0.0,366016.0,366016.0,7182.325265520548
131,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.736280880628
132,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.711994155285
133,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.687707511275
134,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.66342094861
135,886719.0,0.0,886719.0,886719.0,14499.639134467277
136,294870.0,0.0,294870.0,294870.0,5878.39309641392
137,207666.0,0.0,207666.0,207666.0,4237.2439670056365
138,156190.0,0.0,156190.0,156190.0,3241.5046702244404
139,199796.0,0.0,199796.0,199796.0,4086.4414132426186
140,171089.0,0.0,171089.0,171089.0,3532.0888640655794
141,207347.0,0.0,207347.0,207347.0,4231.113220081628
142,269301.0,0.0,269301.0,269301.0,5402.4171791299295
143,334072.0,0.0,334072.0,334072.0,6600.310784313892
144,474937.0,0.0,474937.0,474937.0,9126.594602295609
145,571708.0,0.0,571708.0,571708.0,10808.102453214418
146,583332.0,0.0,583332.0,583332.0,11007.406789357008
147,584477.0,0.0,584477.0,584477.0,11026.992635851926
148,584477.0,0.0,584477.0,584477.0,11026.974164737705
149,584477.0,0.0,584477.0,584477.0,11026.955693685355
150,584477.0,0.0,584477.0,584477.0,11026.93722269486
151,584477.0,0.0,584477.0,584477.0,11026.918751766223
152,592199.0,0.0,592199.0,592199.0,11158.975263340331
153,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.228096610213
154,656354.0,0.0,656354.0,656354.0,12247.221117378798
155,858922.0,0.0,858922.0,858922.0,14499.179986442374
156,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.155701580168
157,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14499.131416799319
158,612810.0,0.0,612810.0,612810.0,11510.22374668343
159,617045.0,0.0,617045.0,617045.0,11582.193673276011
160,586478.0,0.0,586478.0,586478.0,11060.996931161566
161,584477.0,0.0,584477.0,584477.0,11026.731375271587
162,584477.0,0.0,584477.0,584477.0,11026.712905032335
163,584477.0,0.0,584477.0,584477.0,11026.694434854935
164,584477.0,0.0,584477.0,584477.0,11026.67596473939
165,581536.0,0.0,581536.0,581536.0,10976.293466926723
166,580936.0,0.0,580936.0,580936.0,10965.995934922634
167,533348.0,0.0,533348.0,533348.0,10145.990111357783
168,417237.0,0.0,417237.0,417237.0,8103.508313749097
169,471958.0,0.0,471958.0,471958.0,9073.782437472046
170,406779.0,0.0,406779.0,406779.0,7916.390806969229
171,263889.0,0.0,263889.0,263889.0,5300.872996464147
172,233554.0,0.0,233554.0,233554.0,4729.637130111684
173,262018.0,0.0,262018.0,262018.0,5265.802850154266
174,226426.0,0.0,226426.0,226426.0,4594.466087211597
175,303874.0,0.0,303874.0,303874.0,6044.614260518606
176,520813.0,0.0,520813.0,520813.0,9928.264691060003
177,406422.0,0.0,406422.0,406422.0,7909.903688980113
178,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.640383364473
179,278559.0,0.0,278559.0,278559.0,5574.847216065394
180,680608.0,0.0,680608.0,680608.0,12654.070542107018
181,456215.0,0.0,456215.0,456215.0,8795.916335006174
182,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.546936437517
183,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.522653695454
184,711019.0,0.0,711019.0,711019.0,13161.77566957194
185,584477.0,0.0,584477.0,584477.0,11026.290964333599
186,584477.0,0.0,584477.0,584477.0,11026.27249556923
187,584477.0,0.0,584477.0,584477.0,11026.254026866709
188,584477.0,0.0,584477.0,584477.0,11026.235558226032
189,584477.0,0.0,584477.0,584477.0,11026.217089647209
190,584477.0,0.0,584477.0,584477.0,11026.198621130232
191,584477.0,0.0,584477.0,584477.0,11026.1801526751
192,584477.0,0.0,584477.0,584477.0,11026.161684281813
193,584439.0,0.0,584439.0,584439.0,11025.492723014533
194,584477.0,0.0,584477.0,584477.0,11026.12474779212
195,584477.0,0.0,584477.0,584477.0,11026.106279584379
196,584477.0,0.0,584477.0,584477.0,11026.087811438483
197,579685.0,0.0,579685.0,579685.0,10943.993355415878
198,579450.0,0.0,579450.0,579450.0,10939.94763430729
199,583643.0,0.0,583643.0,583643.0,11011.754621301814
200,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.120984867237
201,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.096703551697
202,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.072422317471
203,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.048141164545
204,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14498.023860092957
205,715909.0,0.0,715909.0,715909.0,13242.662084986121
206,736152.0,0.0,736152.0,736152.0,13578.499761350055
207,903999.9999999999,0.0,903999.9999999999,903999.9999999999,14497.951455106217
208,447477.0,0.0,447477.0,447477.0,8640.88398670516
209,513274.0,0.0,513274.0,513274.0,9796.529410552193
210,462191.0,0.0,462191.0,462191.0,8901.015949808072
211,184491.0,0.0,184491.0,184491.0,3791.268296920744
212,135599.99999999997,0.0,135599.99999999997,135599.99999999997,2835.8816911445338
213,124786.00000000003,0.0,124786.00000000003,124786.00000000003,2621.2069104720567
214,0.0,0.0,0.0,0.0,-0.0
215,0.0,0.0,0.0,0.0,-0.0
216,42003.0,0.0,42003.0,42003.0,733.015757679512
217,74170.0,0.0,74170.0,74170.0,1437.5803939443592
218,242289.0,0.0,242289.0,242289.0,4560.323591201736
219,423142.0,0.0,423142.0,423142.0,8207.610577594425
220,280622.0,0.0,280622.0,280622.0,5612.456315926047
221,530247.0,0.0,530247.0,530247.0,10090.609586910256
222,561646.0,0.0,561646.0,561646.0,10633.009756735702
223,579831.0,0.0,579831.0,579831.0,10945.266195682947
224,679522.0,0.0,679522.0,679522.0,12634.101377313995
