,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,464054.0,0.0,464054.0,464054.0,8913.865329750957
1,479186.0,0.0,479186.0,479186.0,9179.287727626985
2,522638.0,0.0,522638.0,522638.0,9935.674457820349
3,516348.0,0.0,516348.0,516348.0,9826.684959765207
4,523470.0,0.0,523470.0,523470.0,9950.042384629996
5,506751.0,0.0,506751.0,506751.0,9660.050121164157
6,495575.0,0.0,495575.0,495575.0,9465.503139285684
7,625017.0,0.0,625017.0,625017.0,11685.840606707357
8,858800.0,0.0,858800.0,858800.0,14063.100353649828
9,858800.0,0.0,858800.0,858800.0,14063.076793674318
10,858800.0,0.0,858800.0,858800.0,14063.053233777733
11,527342.0,0.0,527342.0,527342.0,10016.904149237676
12,858800.0,0.0,858800.0,858800.0,14063.006963829588
13,858800.0,0.0,858800.0,858800.0,14062.983404166926
14,858800.0,0.0,858800.0,858800.0,14062.959844583189
15,858800.0,0.0,858800.0,858800.0,14062.936285078375
16,128820.0,0.0,128820.0,128820.0,2698.021675609491
17,128820.0,0.0,128820.0,128820.0,2698.017140348918
18,128820.0,0.0,128820.0,128820.0,2698.01260510351
19,144049.0,0.0,144049.0,144049.0,2998.627421232958
20,168871.0,0.0,168871.0,168871.0,3483.4198661156097
21,186724.0,0.0,186724.0,186724.0,3828.536948178528
22,165084.0,0.0,165084.0,165084.0,3409.830965391221
23,144365.0,0.0,144365.0,144365.0,3004.817928770049
24,168437.0,0.0,168437.0,168437.0,3474.971149062896
25,135098.0,0.0,135098.0,135098.0,2822.221540880017
26,109469.0,0.0,109469.0,109469.0,2301.8301365479497
27,84608.0,0.0,84608.0,84608.0,1779.0495739211553
28,63814.0,0.0,63814.0,63814.0,1342.76574941828
29,57335.0,0.0,57335.0,57335.0,1202.675677964879
30,74443.0,0.0,74443.0,74443.0,1495.924203988514
31,233360.0,0.0,233360.0,233360.0,4422.6416847300725
32,858800.0,0.0,858800.0,858800.0,14062.066974262712
33,858800.0,0.0,858800.0,858800.0,14062.043417748822
34,858800.0,0.0,858800.0,858800.0,14062.019861313827
35,858800.0,0.0,858800.0,858800.0,14061.996304957747
36,858800.0,0.0,858800.0,858800.0,14061.972748680571
37,858800.0,0.0,858800.0,858800.0,14061.949192482312
38,858800.0,0.0,858800.0,858800.0,14061.925636362937
39,858800.0,0.0,858800.0,858800.0,14061.902080322485
40,229505.0,0.0,229505.0,229505.0,4644.525425582595
41,368187.0,0.0,368187.0,368187.0,7205.435297487423
42,435505.0,0.0,435505.0,435505.0,8409.207673950727
43,539970.0,0.0,539970.0,539970.0,10233.98357308716
44,521094.0,0.0,521094.0,521094.0,9907.882370495206
45,542196.0,0.0,542196.0,542196.0,10272.302293136898
46,609372.0,0.0,609372.0,609372.0,11419.986463042213
47,652379.0,0.0,652379.0,652379.0,12145.292483972122
48,654082.0,0.0,654082.0,654082.0,12173.848285370872
49,644343.0,0.0,644343.0,644343.0,12010.261375433569
50,659405.0,0.0,659405.0,659405.0,12263.056545382773
51,566504.0,0.0,566504.0,566504.0,10689.643783666963
52,483894.0,0.0,483894.0,483894.0,9260.518104210429
53,424906.0,0.0,424906.0,424906.0,8221.04553920727
54,468127.0,0.0,468127.0,468127.0,8984.264450212508
55,542185.0,0.0,542185.0,542185.0,10271.940007995185
56,528883.0,0.0,528883.0,528883.0,10042.4220034982
57,372451.0,0.0,372451.0,372451.0,7282.1832244701
58,317494.0,0.0,317494.0,317494.0,6282.707796411225
59,349522.0,0.0,349522.0,349522.0,6867.223260821296
60,378313.0,0.0,378313.0,378313.0,7387.771807000872
61,375223.0,0.0,375223.0,375223.0,7332.104931027049
62,339957.0,0.0,339957.0,339957.0,6693.236779661952
63,421109.0,0.0,421109.0,421109.0,8153.423543843463
64,391799.0,0.0,391799.0,391799.0,7630.028925734756
65,514431.0,0.0,514431.0,514431.0,9792.065138568694
66,568677.0,0.0,568677.0,568677.0,10726.57774893368
67,549874.0,0.0,549874.0,549874.0,10404.049450154695
68,442159.0,0.0,442159.0,442159.0,8526.581486146795
69,421947.0,0.0,421947.0,421947.0,8168.240639537759
70,390492.0,0.0,390492.0,390492.0,7606.509660536637
71,354717.0,0.0,354717.0,354717.0,6961.345358520456
72,417422.0,0.0,417422.0,417422.0,8087.70235050013
73,401991.0,0.0,401991.0,401991.0,7812.403325170778
74,492087.0,0.0,492087.0,492087.0,9403.257815762263
75,557503.0,0.0,557503.0,557503.0,10534.943039952657
76,603633.0,0.0,603633.0,603633.0,11322.095509106151
77,590935.0,0.0,590935.0,590935.0,11106.259214662401
78,610921.0,0.0,610921.0,610921.0,11445.635405763072
79,725771.0,0.0,725771.0,725771.0,13366.504023019263
80,858800.0,0.0,858800.0,858800.0,14060.977891568067
81,858800.0,0.0,858800.0,858800.0,14060.954338702131
82,858800.0,0.0,858800.0,858800.0,14060.930785915096
83,858800.0,0.0,858800.0,858800.0,14060.90723320694
84,858800.0,0.0,858800.0,858800.0,14060.883680577672
85,858800.0,0.0,858800.0,858800.0,14060.860128027303
86,858800.0,0.0,858800.0,858800.0,14060.836575555813
87,858800.0,0.0,858800.0,858800.0,14060.8130231632
88,653918.0,0.0,653918.0,653918.0,12170.296976199263
89,661297.0,0.0,661297.0,661297.0,12293.967048887005
90,654780.0,0.0,654780.0,654780.0,12184.71593569805
91,633206.0,0.0,633206.0,633206.0,11821.955013484152
92,641627.0,0.0,641627.0,641627.0,11963.73418534845
93,633447.0,0.0,633447.0,633447.0,11825.977284880451
94,593991.0,0.0,593991.0,593991.0,11157.935578749628
95,562500.0,0.0,562500.0,562500.0,10620.272825325274
96,479614.0,0.0,479614.0,479614.0,9184.965754993862
97,251394.0,0.0,251394.0,251394.0,5056.376230891438
98,245666.0,0.0,245666.0,245666.0,4948.794002446443
99,342316.0,0.0,342316.0,342316.0,6735.751206864219
100,254299.0,0.0,254299.0,254299.0,5110.821304973975
101,227082.0,0.0,227082.0,227082.0,4598.167567593687
102,464015.0,0.0,464015.0,464015.0,8911.31321524187
103,636609.0,0.0,636609.0,636609.0,11879.059579581915
104,858800.0,0.0,858800.0,858800.0,14060.42931468964
105,858800.0,0.0,858800.0,858800.0,14060.405763661103
106,858800.0,0.0,858800.0,858800.0,14060.382212711445
107,622526.0,0.0,622526.0,622526.0,11641.419307258217
108,858800.0,0.0,858800.0,858800.0,14060.335606549981
109,388104.0,0.0,388104.0,388104.0,7563.1464011812
110,331024.0,0.0,331024.0,331024.0,6529.763420706568
111,669351.0,0.0,669351.0,669351.0,12428.294366641037
112,659335.0,0.0,659335.0,659335.0,12260.636985373918
113,649643.0,0.0,649643.0,649643.0,12098.046847556438
114,663849.0,0.0,663849.0,663849.0,12336.192023099977
115,662339.0,0.0,662339.0,662339.0,12310.891817660418
116,664601.0,0.0,664601.0,664601.0,12348.73707368772
117,662154.0,0.0,662154.0,662154.0,12307.752833388213
118,663703.0,0.0,663703.0,663703.0,12333.665511055358
119,662128.0,0.0,662128.0,662128.0,12307.27623110828
120,663917.0,0.0,663917.0,663917.0,12337.206266278685
121,663974.0,0.0,663974.0,663974.0,12338.139673658787
122,661904.0,0.0,661904.0,661904.0,12303.463440303554
123,658980.0,0.0,658980.0,658980.0,12254.462674838704
124,632095.0,0.0,632095.0,632095.0,11802.581780908662
125,602057.0,0.0,602057.0,602057.0,11294.416908866282
126,588372.0,0.0,588372.0,588372.0,11061.708962029743
127,574140.0,0.0,574140.0,574140.0,10818.897235262926
128,591020.0,0.0,591020.0,591020.0,11106.755069633327
129,628253.0,0.0,628253.0,628253.0,11737.685813017473
130,858800.0,0.0,858800.0,858800.0,14059.828676484227
131,858800.0,0.0,858800.0,858800.0,14059.805127467367
132,858800.0,0.0,858800.0,858800.0,14059.78157852938
133,858800.0,0.0,858800.0,858800.0,14059.758029670265
134,858800.0,0.0,858800.0,858800.0,14059.734480890023
135,547251.0,0.0,547251.0,547251.0,10357.75250856348
136,499680.0,0.0,499680.0,499680.0,9534.575757834433
137,447108.0,0.0,447108.0,447108.0,8612.994777314676
138,387458.0,0.0,387458.0,387458.0,7551.167022508966
139,340354.0,0.0,340354.0,340354.0,6699.563386269129
140,206468.0,0.0,206468.0,206468.0,4205.9963953329325
141,128820.0,0.0,128820.0,128820.0,2697.2862206811787
142,128820.0,0.0,128820.0,128820.0,2697.281687879823
143,82457.0,0.0,82457.0,82457.0,1735.6883211494844
144,48941.0,0.0,48941.0,48941.0,1029.7453838912327
145,69774.0,0.0,69774.0,69774.0,1396.8153773527317
146,114620.0,0.0,114620.0,114620.0,2252.095448779911
147,250846.0,0.0,250846.0,250846.0,5010.390512075126
148,354380.0,0.0,354380.0,354380.0,6954.007557026935
149,562355.0,0.0,562355.0,562355.0,10616.40043453013
150,639799.0,0.0,639799.0,639799.0,11931.356312078664
151,858800.0,0.0,858800.0,858800.0,14058.800508524624
