,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,120353.0,0.0,120353.0,120353.0,2535.0966616455594
1,109783.0,0.0,109783.0,109783.0,2310.864067678082
2,166120.0,0.0,166120.0,166120.0,3328.7649252517285
3,196215.0,0.0,196215.0,196215.0,4064.8216733197514
4,304630.0,0.0,304630.0,304630.0,6141.096638834384
5,322750.0,0.0,322750.0,322750.0,6481.1490605947965
6,357868.0,0.0,357868.0,357868.0,7135.229952943838
7,452650.0,0.0,452650.0,452650.0,8870.528036911193
8,615619.0,0.0,615619.0,615619.0,11764.640853438028
9,737836.0,0.0,737836.0,737836.0,13870.628744432264
10,262247.0,0.0,262247.0,262247.0,5338.314262026756
11,271949.0,0.0,271949.0,271949.0,5522.998954157798
12,355165.0,0.0,355165.0,355165.0,7085.038501726625
13,352678.0,0.0,352678.0,352678.0,7038.8804117386235
14,528587.0,0.0,528587.0,528587.0,10232.084398358837
15,422198.0,0.0,422198.0,422198.0,8317.422325395282
16,331377.0,0.0,331377.0,331377.0,6642.304857877834
17,700253.0,0.0,700253.0,700253.0,13228.243811832515
18,792251.0,0.0,792251.0,792251.0,14792.212049499463
19,833908.0,0.0,833908.0,833908.0,15491.677656961234
20,843588.0,0.0,843588.0,843588.0,15653.45276974947
21,841764.0,0.0,841764.0,841764.0,15622.959529820648
22,834815.0,0.0,834815.0,834815.0,15506.771916602751
23,802018.0,0.0,802018.0,802018.0,14956.561785830447
24,800126.0,0.0,800126.0,800126.0,14924.69866171374
25,781491.0,0.0,781491.0,781491.0,14610.503024885043
26,754225.0,0.0,754225.0,754225.0,14148.850402728338
27,653242.0,0.0,653242.0,653242.0,12418.04622999904
28,594651.0,0.0,594651.0,594651.0,11397.665659272105
29,587170.0,0.0,587170.0,587170.0,11266.464165537851
30,558215.0,0.0,558215.0,558215.0,10756.721425343878
31,536888.0,0.0,536888.0,536888.0,10379.202291993295
32,589979.0,0.0,589979.0,589979.0,11315.688940952748
33,692680.0,0.0,692680.0,692680.0,13097.919486313038
34,365347.0,0.0,365347.0,365347.0,7273.360569103599
35,247865.0,0.0,247865.0,247865.0,5063.220926513065
36,113422.0,0.0,113422.0,113422.0,2383.3009438698923
37,71820.0,0.0,71820.0,71820.0,1506.326076234897
38,324564.0,0.0,324564.0,324564.0,5926.36330615558
39,224590.0,0.0,224590.0,224590.0,4615.311902231704
40,19698.0,0.0,19698.0,19698.0,413.0137826112392
41,41321.0,0.0,41321.0,41321.0,792.1389033795467
42,135744.0,0.0,135744.0,135744.0,2509.02088148483
43,331462.0,0.0,331462.0,331462.0,6550.604502551803
44,476573.0,0.0,476573.0,476573.0,9300.555548553586
45,415764.0,0.0,415764.0,415764.0,8198.761892171953
46,464718.0,0.0,464718.0,464718.0,9086.994966670478
47,470493.0,0.0,470493.0,470493.0,9191.072420125969
