,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,275130.4740592706,179131.33997691222,454261.8140361828,8366.316447324267
1,454262.5749771121,275290.8946588663,178971.68031824584,454262.5749771121,8366.316447324267
2,454263.33591804164,274757.8309944192,179505.5049236225,454263.33591804164,8366.316447324267
3,454264.09685897105,275081.0316595783,179183.0651993927,454264.09685897105,8366.316447324267
4,454264.85779990046,276539.17812355486,177725.6796763456,454264.85779990046,8366.316447324267
5,454265.6187408299,280918.25758537307,173347.3611554568,454265.6187408299,8366.316447324267
6,454266.37968175916,278984.63979780243,175281.73988395676,454266.37968175916,8366.316447324267
7,454267.1406226887,267462.9810180812,186804.15960460753,454267.1406226887,8366.316447324267
8,454267.9015636181,204657.3620785243,249610.5394850938,454267.9015636181,8366.316447324267
9,454268.6625045474,143443.02926063084,310825.63324391656,454268.6625045474,8366.316447324267
10,454269.42344547686,279563.3261039373,174706.09734153957,454269.42344547686,8366.316447324267
11,454270.1843864062,137347.97960709187,316922.20477931434,454270.1843864062,8366.316447324267
12,454270.9453273357,257666.44399969082,196604.50132764486,454270.9453273357,8366.316447324267
13,454271.7062682651,322528.48528318777,131743.22098507732,454271.7062682651,8366.316447324267
14,454272.46720919444,323805.6149152548,130466.8522939396,454272.46720919444,8366.316447324267
15,454273.22815012385,418326.4096679077,35946.818482216135,454273.22815012385,8366.316447324267
16,454273.98909105326,279496.7726928075,174777.21639824574,454273.98909105326,8366.316447324267
17,454274.7500319827,377597.3697001357,76677.38033184702,454274.7500319827,8366.316447324267
18,454275.5109729121,392439.2863978117,61836.22457510038,454275.5109729121,8366.316447324267
19,454276.2719138414,353801.960938395,100474.31097544642,454276.2719138414,8366.316447324267
20,454277.0328547709,303946.43186029256,150330.60099447836,454277.0328547709,8366.316447324267
21,454277.79379570024,284888.1739436305,169389.61985206977,454277.79379570024,8366.316447324267
22,454278.55473662965,334644.98583899095,119633.56889763872,454278.55473662965,8366.316447324267
23,454279.3156775591,357467.21033468354,96812.10534287561,454279.3156775591,8366.316447324267
24,454280.0766184884,332649.98764763604,121630.08897085238,454280.0766184884,8366.316447324267
25,454280.83755941794,335579.77088179893,118701.06667761898,454280.83755941794,8366.316447324267
26,454281.59850034735,311514.3262566305,142767.27224371684,454281.59850034735,8366.316447324267
27,454282.35944127664,313738.1339618217,140544.225479455,454282.35944127664,8366.316447324267
28,454283.12038220617,305904.37382183294,148378.7465603732,454283.12038220617,8366.316447324267
29,454283.88132313546,296884.48019316036,157399.40112997513,454283.88132313546,8366.316447324267
30,454284.64226406487,320847.21479367476,133437.42747039013,454284.64226406487,8366.316447324267
31,454285.4032049943,325065.29884500126,129220.10435999304,454285.4032049943,8366.316447324267
32,454286.1641459237,276685.9123148933,177600.25183103036,454286.1641459237,8366.316447324267
33,454286.92508685315,293148.72875106346,161138.1963357897,454286.92508685315,8366.316447324267
34,454287.6860277825,327959.1198480657,126328.5661797168,454287.6860277825,8366.316447324267
35,454288.44696871185,295211.85728600994,159076.58968270192,454288.44696871185,8366.316447324267
36,454289.20790964126,255390.99330512504,198898.21460451622,454289.20790964126,8366.316447324267
37,454289.9688505707,308003.10231131886,146286.86653925182,454289.9688505707,8366.316447324267
38,454290.7297915002,354394.8770423574,99895.85274914281,454290.7297915002,8366.316447324267
39,454291.4907324295,360440.89412957575,93850.59660285374,454291.4907324295,8366.316447324267
40,454292.25167335884,338885.6672956501,115406.58437770876,454292.25167335884,8366.316447324267
41,454293.01261428825,370841.0081697538,83452.00444453445,454293.01261428825,8366.316447324267
42,454293.77355521766,362030.64431483846,92263.12924037919,454293.77355521766,8366.316447324267
43,454294.53449614707,344575.5348454419,109718.99965070511,454294.53449614707,8366.316447324267
44,454295.2954370766,362757.78669177066,91537.50874530591,454295.2954370766,8366.316447324267
45,454296.05637800595,355782.14106413384,98513.91531387212,454296.05637800595,8366.316447324267
46,454296.8173189353,311420.52067220665,142876.29664672868,454296.8173189353,8366.316447324267
47,454297.5782598647,399054.7686568674,55242.80960299732,454297.5782598647,8366.316447324267
48,454298.3392007941,371308.0287103695,82990.31049042464,454298.3392007941,8366.316447324267
49,454299.10014172364,362048.57670373365,92250.52343798996,454299.10014172364,8366.316447324267
50,454299.8610826529,377251.1128242847,77048.74825836818,454299.8610826529,8366.316447324267
51,454300.62202358234,410465.4263849921,43835.19563859028,454300.62202358234,8366.316447324267
52,454301.38296451175,320005.7861060658,134295.59685844596,454301.38296451175,8366.316447324267
53,454302.1439054411,385100.36543625593,69201.77846918517,454302.1439054411,8366.316447324267
54,454302.9048463705,401309.13008199335,52993.77476437716,454302.9048463705,8366.316447324267
55,454303.6657872999,249073.82831220643,205229.8374750935,454303.6657872999,8366.316447324267
56,454304.4267282293,299770.18487973127,154534.24184849797,454304.4267282293,8366.316447324267
57,454305.1876691588,160166.8577101623,294138.3299589965,454305.1876691588,8366.316447324267
58,454305.9486100882,204344.98782786034,249960.96078222786,454305.9486100882,8366.316447324267
59,454306.7095510175,291703.16718896816,162603.54236204937,454306.7095510175,8366.316447324267
60,454307.47049194697,236034.55997312756,218272.9105188194,454307.47049194697,8366.316447324267
61,454308.2314328763,124043.63439195772,330264.5970409186,454308.2314328763,8366.316447324267
62,454308.9923738058,113555.47209871077,340753.520275095,454308.9923738058,8366.316447324267
63,457537.61400732317,0.0,457537.61400732317,457537.61400732317,8366.316447324267
64,454310.5142556646,90251.5147648796,364058.999490785,454310.5142556646,8366.316447324267
65,454311.27519659395,298563.7666724696,155747.50852412434,454311.27519659395,8366.316447324267
66,454312.03613752336,282555.3378873422,171756.69825018113,454312.03613752336,8366.316447324267
67,454312.7970784528,274702.59365434165,179610.20342411113,454312.7970784528,8366.316447324267
68,454313.55801938206,274641.0145456294,179672.5434737527,454313.55801938206,8366.316447324267
69,454314.3189603115,274664.8542436509,179649.46471666053,454314.3189603115,8366.316447324267
70,454315.079901241,274634.4755830119,179680.60431822907,454315.079901241,8366.316447324267
71,454315.8408421703,274695.53838001704,179620.30246215328,454315.8408421703,8366.316447324267
72,454316.6017830998,274701.21910237137,179615.38268072845,454316.6017830998,8366.316447324267
73,454317.3627240292,274680.42651500297,179636.93620902623,454317.3627240292,8366.316447324267
