,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,716525.0,0.0,716525.0,716525.0,13194.394846419229
1,715887.0,0.0,715887.0,715887.0,13183.836871396104
2,718022.0,0.0,718022.0,718022.0,13219.06631825539
3,716732.0,0.0,716732.0,716732.0,13197.746589569479
4,710903.0,0.0,710903.0,710903.0,13101.416485279933
5,693389.0,0.0,693389.0,693389.0,12811.300898615327
6,701127.0,0.0,701127.0,701127.0,12939.582604593581
7,725847.0,0.0,725847.0,725847.0,13348.01943647302
8,858800.0,0.0,858800.0,858800.0,13843.36638006911
9,858800.0,0.0,858800.0,858800.0,13843.343188211622
10,596248.0,0.0,596248.0,596248.0,11181.531158639942
11,858800.0,0.0,858800.0,858800.0,13843.297352280513
12,553323.0,0.0,553323.0,553323.0,10449.507255551953
13,464489.0,0.0,464489.0,464489.0,8909.342113086534
14,474934.0,0.0,474934.0,474934.0,9092.27458705082
15,128820.0,0.0,128820.0,128820.0,2695.754499145244
16,698411.0,0.0,698411.0,698411.0,12894.361557941183
17,306710.0,0.0,306710.0,306710.0,6078.290888638852
18,247345.0,0.0,247345.0,247345.0,4975.993347035183
19,401897.0,0.0,401897.0,401897.0,7801.864273797715
20,601322.0,0.0,601322.0,601322.0,11267.375136818466
21,677558.0,0.0,677558.0,677558.0,12547.805887689361
22,478534.0,0.0,478534.0,478534.0,9155.090025102478
23,387248.0,0.0,387248.0,387248.0,7539.78355475735
24,486520.0,0.0,486520.0,486520.0,9294.45739401304
25,474804.0,0.0,474804.0,474804.0,9089.83480001191
26,571069.0,0.0,571069.0,571069.0,10752.802223437706
27,562177.0,0.0,562177.0,562177.0,10600.856999410205
28,593515.0,0.0,593515.0,593515.0,11134.822210481103
29,629598.0,0.0,629598.0,629598.0,11744.729586383666
30,533750.0,0.0,533750.0,533750.0,10112.864370984678
31,515368.0,0.0,515368.0,515368.0,9795.467773464728
32,705674.0,0.0,705674.0,705674.0,13014.325209973058
33,584107.0,0.0,584107.0,584107.0,10974.846483214194
34,425159.0,0.0,425159.0,425159.0,8215.477059598048
35,489428.0,0.0,489428.0,489428.0,9344.970202630157
36,576174.0,0.0,576174.0,576174.0,10839.695929994743
37,488055.0,0.0,488055.0,488055.0,9321.01237478904
38,348167.0,0.0,348167.0,348167.0,6834.95034167947
39,300588.0,0.0,300588.0,300588.0,5965.42475279613
40,376768.0,0.0,376768.0,376768.0,7351.419465342125
41,333808.0,0.0,333808.0,333808.0,6573.894384748478
42,369053.0,0.0,369053.0,369053.0,7212.514334636287
43,438876.0,0.0,438876.0,438876.0,8458.093680554759
44,366150.0,0.0,366150.0,366150.0,7160.148714865796
45,394056.0,0.0,394056.0,394056.0,7661.410958752007
46,571505.0,0.0,571505.0,571505.0,10759.888696991618
47,220971.0,0.0,220971.0,220971.0,4478.3845106214885
48,331961.0,0.0,331961.0,331961.0,6540.156039270674
49,369002.0,0.0,369002.0,369002.0,7211.510444156635
50,308195.0,0.0,308195.0,308195.0,6105.230699387489
51,175341.0,0.0,175341.0,175341.0,3605.2187279955037
52,537182.0,0.0,537182.0,537182.0,10171.590988395837
53,276807.0,0.0,276807.0,276807.0,5525.5569037070045
54,211975.0,0.0,211975.0,211975.0,4307.513116624782
55,724508.0,0.0,724508.0,724508.0,13324.92383334604
56,517580.0,0.0,517580.0,517580.0,9833.335090097424
57,828579.0,0.0,828579.0,828579.0,13842.28343190246
58,721017.0,0.0,721017.0,721017.0,13267.292012252501
59,503859.0,0.0,503859.0,503859.0,9595.550502028487
60,634889.0,0.0,634889.0,634889.0,11833.141774944936
61,858800.0,0.0,858800.0,858800.0,13842.192099653399
62,858800.0,0.0,858800.0,858800.0,13842.168911729535
63,858800.0,0.0,858800.0,858800.0,13842.14572388333
64,858800.0,0.0,858800.0,858800.0,13842.12253611481
65,622990.0,0.0,622990.0,622990.0,11632.730970270322
66,687027.0,0.0,687027.0,687027.0,12704.391952617312
67,718441.0,0.0,718441.0,718441.0,13224.588952740578
68,718690.0,0.0,718690.0,718690.0,13228.67631032757
69,718598.0,0.0,718598.0,718598.0,13227.135804088057
70,718722.0,0.0,718722.0,718722.0,13229.160102974556
