,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,484139.0,0.0,484139.0,484139.0,9447.493814039402
1,483707.0,0.0,483707.0,483707.0,9439.70897110383
2,485150.0,0.0,485150.0,485150.0,9465.640720268331
3,484279.0,0.0,484279.0,484279.0,9449.963873977604
4,480340.0,0.0,480340.0,480340.0,9379.083532287466
5,468506.0,0.0,468506.0,468506.0,9165.77627539382
6,473734.0,0.0,473734.0,473734.0,9260.061204771757
7,516234.0,0.0,516234.0,516234.0,10022.417812787873
8,735150.0,0.0,735150.0,735150.0,13841.12244184104
9,963884.0,0.0,963884.0,963884.0,17665.58589597441
10,526700.0,0.0,526700.0,526700.0,10208.978291737265
11,1054953.0,0.0,1054953.0,1054953.0,17798.533567697785
12,655259.0,0.0,655259.0,655259.0,12467.157394591359
13,389274.0,0.0,389274.0,389274.0,7721.80184859401
14,377558.0,0.0,377558.0,377558.0,7505.836921507763
15,112250.0,0.0,112250.0,112250.0,2360.0363588923537
16,472742.0,0.0,472742.0,472742.0,8842.523093083511
17,207236.0,0.0,207236.0,207236.0,4282.479576112342
18,167125.0,0.0,167125.0,167125.0,3495.5604249464263
19,271552.0,0.0,271552.0,271552.0,5519.682027339417
20,406299.0,0.0,406299.0,406299.0,8034.199627196182
21,457810.0,0.0,457810.0,457810.0,8972.066528001302
22,323334.0,0.0,323334.0,323334.0,6497.269387325803
23,261654.0,0.0,261654.0,261654.0,5330.994454840592
24,328730.0,0.0,328730.0,328730.0,6598.266873508924
25,320814.0,0.0,320814.0,320814.0,6450.006455217901
26,385857.0,0.0,385857.0,385857.0,7658.5699792000005
27,379849.0,0.0,379849.0,379849.0,7547.8044902051115
28,401024.0,0.0,401024.0,401024.0,7937.371400134507
29,425404.0,0.0,425404.0,425404.0,8383.31368548158
30,360642.0,0.0,360642.0,360642.0,7192.524999438639
31,350047.0,0.0,350047.0,350047.0,6995.771005950524
32,482513.0,0.0,482513.0,482513.0,9417.563614747743
33,467636.0,0.0,467636.0,467636.0,9149.46724634912
34,384032.0,0.0,384032.0,384032.0,7624.843192509565
35,508006.0,0.0,508006.0,508006.0,9874.751873310637
36,654189.0,0.0,654189.0,654189.0,12447.894809224585
37,446976.0,0.0,446976.0,446976.0,8775.551567839264
38,297316.0,0.0,297316.0,297316.0,6007.798662922478
39,293414.0,0.0,293414.0,293414.0,5934.08266122489
40,357013.0,0.0,357013.0,357013.0,7125.079576885173
41,225546.0,0.0,225546.0,225546.0,4637.3581070591745
42,249360.0,0.0,249360.0,249360.0,5095.662585736409
43,296538.0,0.0,296538.0,296538.0,5993.059610127637
44,247399.0,0.0,247399.0,247399.0,5058.046812017178
45,266254.0,0.0,266254.0,266254.0,5418.53808915999
46,386152.0,0.0,386152.0,386152.0,7663.7476845444835
47,149305.0,0.0,149305.0,149305.0,3141.2659649916523
48,224298.0,0.0,224298.0,224298.0,4613.178933254333
49,249326.0,0.0,249326.0,249326.0,5094.951002907079
50,208240.0,0.0,208240.0,208240.0,4301.767152937299
51,118474.0,0.0,118474.0,118474.0,2490.060134677874
52,362961.0,0.0,362961.0,362961.0,6967.188130397422
53,187032.0,0.0,187032.0,187032.0,3887.4459141294224
54,143226.0,0.0,143226.0,143226.0,3013.883394771447
55,605920.0,0.0,605920.0,605920.0,11534.826407218801
56,471107.0,0.0,471107.0,471107.0,9211.573018346802
57,979923.0,0.0,979923.0,979923.0,17796.627135386127
58,823772.0,0.0,823772.0,823772.0,15339.337646187436
59,517366.0,0.0,517366.0,517366.0,10041.378006659406
60,716537.0,0.0,716537.0,716537.0,13521.30319708454
61,1084800.0,0.0,1084800.0,1084800.0,17796.51097143346
62,1084800.0,0.0,1084800.0,1084800.0,17796.481160375188
63,1084800.0,0.0,1084800.0,1084800.0,17796.451349416773
64,1084800.0,0.0,1084800.0,1084800.0,17796.42153855822
65,420939.0,0.0,420939.0,420939.0,8301.178833764856
66,464207.0,0.0,464207.0,464207.0,9086.867268801065
67,485433.0,0.0,485433.0,485433.0,9469.337620399281
68,485601.0,0.0,485601.0,485601.0,9472.3415040884
69,485539.0,0.0,485539.0,485539.0,9471.21121556375
70,485623.0,0.0,485623.0,485623.0,9472.7051937763
71,485460.0,0.0,485460.0,485460.0,9469.7594739845
72,485447.0,0.0,485447.0,485447.0,9469.50993310636
73,485505.0,0.0,485505.0,485505.0,9470.536600799982
74,485474.0,0.0,485474.0,485474.0,9469.963517522348
75,485869.0,0.0,485869.0,485869.0,9477.047328670933
76,485911.0,0.0,485911.0,485911.0,9477.786312123133
77,485768.0,0.0,485768.0,485768.0,9475.200275453259
78,485888.0,0.0,485888.0,485888.0,9477.341175269365
79,1084800.0,0.0,1084800.0,1084800.0,17796.0004827348
80,1084800.0,0.0,1084800.0,1084800.0,17795.970673386433
81,1084800.0,0.0,1084800.0,1084800.0,17795.940864137894
82,1084800.0,0.0,1084800.0,1084800.0,17795.911054989203
83,1084800.0,0.0,1084800.0,1084800.0,17795.88124594035
84,1084800.0,0.0,1084800.0,1084800.0,17795.851436991343
85,1084800.0,0.0,1084800.0,1084800.0,17795.821628142196
86,1084800.0,0.0,1084800.0,1084800.0,17795.79181939287
87,1084800.0,0.0,1084800.0,1084800.0,17795.762010743394
88,823635.0,0.0,823635.0,823635.0,15336.279267197588
89,281490.0,0.0,281490.0,281490.0,5707.687394090782
90,308148.0,0.0,308148.0,308148.0,6211.270119106347
91,376440.0,0.0,376440.0,376440.0,7483.915876300499
92,467290.0,0.0,467290.0,467290.0,9142.13251719811
93,477224.0,0.0,477224.0,477224.0,9321.224173083505
94,471319.0,0.0,471319.0,471319.0,9214.793749072454
95,482381.0,0.0,482381.0,482381.0,9414.007780187347
96,485423.0,0.0,485423.0,485423.0,9468.68916023137
97,482842.0,0.0,482842.0,482842.0,9422.267777675253
98,484950.0,0.0,484950.0,484950.0,9460.155146395933
99,484548.0,0.0,484548.0,484548.0,9452.91252589118
100,483775.0,0.0,483775.0,483775.0,9438.998563835643
101,480703.0,0.0,480703.0,480703.0,9383.725261418953
102,471676.0,0.0,471676.0,471676.0,9221.107663533694
103,597176.0,0.0,597176.0,597176.0,11452.319314366521
104,492680.0,0.0,492680.0,492680.0,9598.890685172984
105,201792.0,0.0,201792.0,201792.0,4175.692893812924
106,390855.0,0.0,390855.0,390855.0,7749.36189898328
107,508041.0,0.0,508041.0,508041.0,9873.996206803855
108,376063.0,0.0,376063.0,376063.0,7476.738883640967
109,235580.0,0.0,235580.0,235580.0,4830.250125692453
110,377130.0,0.0,377130.0,377130.0,7496.412778748048
111,162720.0,0.0,162720.0,162720.0,3407.6599642919828
112,162720.0,0.0,162720.0,162720.0,3407.654237286107
113,166981.0,0.0,166981.0,166981.0,3492.041595123893
114,344557.0,0.0,344557.0,344557.0,6892.482066974965
115,354254.0,0.0,354254.0,354254.0,7072.801249797334
116,277244.0,0.0,277244.0,277244.0,5626.837356022586
117,378167.0,0.0,378167.0,378167.0,7515.466411735827
118,384187.0,0.0,384187.0,384187.0,7626.458361373333
119,241248.0,0.0,241248.0,241248.0,4939.196804128998
120,263454.0,0.0,263454.0,263454.0,5364.330076378658
121,196574.0,0.0,196574.0,196574.0,4073.740772030147
122,184321.0,0.0,184321.0,184321.0,3833.7511383720557
123,272154.0,0.0,272154.0,272154.0,5530.0262693320265
124,285017.0,0.0,285017.0,285017.0,5774.2058890870985
125,269943.0,0.0,269943.0,269943.0,5487.9350290161265
126,307372.0,0.0,307372.0,307372.0,6196.29013106064
127,321168.0,0.0,321168.0,321168.0,6455.3840397700915
128,294503.0,0.0,294503.0,294503.0,5953.626594682856
129,499476.0,0.0,499476.0,499476.0,9720.351781914398
130,552767.0,0.0,552767.0,552767.0,10669.367014025946
131,772940.0,0.0,772940.0,772940.0,14480.340661186947
