,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,660513.0,0.0,660513.0,660513.0,12329.366293882931
1,236358.0,0.0,236358.0,236358.0,4786.495814590797
2,139982.0,0.0,139982.0,139982.0,2924.812112027047
3,92199.0,0.0,92199.0,92199.0,1937.9300710515934
4,196000.0,0.0,196000.0,196000.0,3840.127017310254
5,281397.0,0.0,281397.0,281397.0,5632.229276657365
6,333885.0,0.0,333885.0,333885.0,6601.959776567749
7,455643.0,0.0,455643.0,455643.0,8793.707301932185
8,553980.0,0.0,553980.0,553980.0,10512.366656895165
9,551965.0,0.0,551965.0,551965.0,10477.552015263438
10,522956.0,0.0,522956.0,522956.0,9974.684240714618
11,362832.0,0.0,362832.0,362832.0,7129.954106705106
12,462367.0,0.0,462367.0,462367.0,8912.532370620456
13,367429.0,0.0,367429.0,367429.0,7213.368911665273
14,339017.0,0.0,339017.0,339017.0,6695.824468744651
15,326733.0,0.0,326733.0,326733.0,6470.673446932902
16,267888.0,0.0,267888.0,267888.0,5379.820358166295
17,119271.0,0.0,119271.0,119271.0,2506.049359110068
18,117302.0,0.0,117302.0,117302.0,2466.798639763858
19,292096.0,0.0,292096.0,292096.0,5779.9343637886805
20,361154.0,0.0,361154.0,361154.0,7099.335866927494
21,358026.0,0.0,358026.0,358026.0,7042.456329192912
22,314051.0,0.0,314051.0,314051.0,6237.237537378749
23,410328.0,0.0,410328.0,410328.0,7986.539229560238
24,329577.0,0.0,329577.0,329577.0,6522.751083994428
25,242644.0,0.0,242644.0,242644.0,4905.052248327321
26,195757.0,0.0,195757.0,195757.0,4011.4238979304428
27,111993.0,0.0,111993.0,111993.0,2353.804682286712
28,80267.0,0.0,80267.0,80267.0,1685.6920062798251
29,62545.0,0.0,62545.0,62545.0,1310.8709148483306
30,22454.0,0.0,22454.0,22454.0,468.7321588290878
31,0.0,0.0,0.0,0.0,-0.0
32,12048.0,0.0,12048.0,12048.0,203.7154581475284
33,135286.0,0.0,135286.0,135286.0,2384.3872387399265
34,169000.0,0.0,169000.0,169000.0,3493.3234674121572
35,175595.0,0.0,175595.0,175595.0,3621.507947591981
36,184788.0,0.0,184788.0,184788.0,3799.549850404382
37,200000.0,0.0,200000.0,200000.0,4092.601230420729
38,200000.0,0.0,200000.0,200000.0,4092.5943646378964
39,217993.0,0.0,217993.0,217993.0,4436.842562043571
40,195320.0,0.0,195320.0,195320.0,4002.6231968654074
41,76616.0,0.0,76616.0,76616.0,1612.726831990869
42,32802.0,0.0,32802.0,32802.0,689.4999780809133
43,28840.0,0.0,28840.0,28840.0,603.2026142318019
44,25076.0,0.0,25076.0,25076.0,520.1961006582782
45,8871.0,0.0,8871.0,8871.0,183.39747467295916
46,27582.0,0.0,27582.0,27582.0,505.95050996622876
47,27914.0,0.0,27914.0,27914.0,584.8156185961172
48,29420.0,0.0,29420.0,29420.0,614.6291515045456
49,40750.0,0.0,40750.0,40750.0,807.4595264094316
50,47049.0,0.0,47049.0,47049.0,964.1345300476771
51,75551.0,0.0,75551.0,75551.0,1488.1484472895809
52,97998.0,0.0,97998.0,97998.0,1968.6246261095803
53,170672.0,0.0,170672.0,170672.0,3401.8281018655293
54,245487.0,0.0,245487.0,245487.0,4957.8138872731615
55,277987.0,0.0,277987.0,277987.0,5567.415678869018
56,305156.0,0.0,305156.0,305156.0,6071.869223839912
57,314475.0,0.0,314475.0,314475.0,6243.8643878116
58,244440.0,0.0,244440.0,244440.0,4938.024266104473
59,302464.0,0.0,302464.0,302464.0,6022.055544602331
60,333216.0,0.0,333216.0,333216.0,6588.215198928077
61,205500.0,0.0,205500.0,205500.0,4197.66348051571
62,227258.0,0.0,227258.0,227258.0,4612.6869499535305
63,145084.0,0.0,145084.0,145084.0,3024.6598977248227
64,64985.0,0.0,64985.0,64985.0,1366.5157764346422
65,48146.0,0.0,48146.0,48146.0,1009.4286782480816
66,44760.0,0.0,44760.0,44760.0,941.9990937889872
67,36319.0,0.0,36319.0,36319.0,759.2463318462011
68,0.0,0.0,0.0,0.0,-0.0
69,0.0,0.0,0.0,0.0,-0.0
70,0.0,0.0,0.0,0.0,-0.0
71,0.0,0.0,0.0,0.0,-0.0
72,0.0,0.0,0.0,0.0,-0.0
73,0.0,0.0,0.0,0.0,-0.0
74,0.0,0.0,0.0,0.0,-0.0
75,0.0,0.0,0.0,0.0,-0.0
76,29161.0,0.0,29161.0,29161.0,507.86569998266174
77,142822.0,0.0,142822.0,142822.0,2587.7342996093944
78,67212.0,0.0,67212.0,67212.0,1410.7488698279599
79,40864.0,0.0,40864.0,40864.0,857.119757279725
