,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,44139.509218135034,410122.3048180478,454261.8140361828,8366.316447324267
1,454262.5749771121,307504.24192687415,146758.33305023794,454262.5749771121,8366.316447324267
2,454263.33591804164,367346.5025606253,86916.83335741636,454263.33591804164,8366.316447324267
3,454264.09685897105,397016.35201117134,57247.744847799724,454264.09685897105,8366.316447324267
4,454264.85779990046,332565.6807331651,121699.17706673537,454264.85779990046,8366.316447324267
5,454265.6187408299,279542.1988337067,174723.41990712323,454265.6187408299,8366.316447324267
6,454266.37968175916,246952.37823464617,207314.001447113,454266.37968175916,8366.316447324267
7,454267.1406226887,171351.29104564013,282915.84957704856,454267.1406226887,8366.316447324267
8,454267.9015636181,130513.26408852177,323754.63747509633,454267.9015636181,8366.316447324267
9,454268.6625045474,181568.97267724964,272699.68982729776,454268.6625045474,8366.316447324267
10,454269.42344547686,205233.740107266,249035.68333821086,454269.42344547686,8366.316447324267
11,454270.1843864062,279425.8011545094,174844.38323189682,454270.1843864062,8366.316447324267
12,454270.9453273357,242856.10303669944,211414.84229063624,454270.9453273357,8366.316447324267
13,454271.706268265,301805.0744417937,152466.63182647133,454271.706268265,8366.316447324267
14,454272.46720919444,307052.8530086217,147219.6142005727,454272.46720919444,8366.316447324267
15,454273.22815012385,317566.8990009412,136706.32914918268,454273.22815012385,8366.316447324267
16,454273.98909105326,337756.5438825792,116517.44520847403,454273.98909105326,8366.316447324267
17,454274.7500319827,381973.49737624585,72301.25265573687,454274.7500319827,8366.316447324267
18,454275.51097291213,381440.815072742,72834.69590017012,454275.51097291213,8366.316447324267
19,454276.2719138414,272909.57549176755,181366.69642207387,454276.2719138414,8366.316447324267
20,454277.03285477095,230031.09617892583,224245.93667584512,454277.03285477095,8366.316447324267
21,454277.79379570024,231974.01518977215,222303.7786059281,454277.79379570024,8366.316447324267
22,454278.55473662965,259279.69500864335,194998.8597279863,454278.55473662965,8366.316447324267
23,454279.3156775591,199500.39019699916,254778.92548055996,454279.3156775591,8366.316447324267
24,454280.0766184884,249640.58324066756,204639.49337782085,454280.0766184884,8366.316447324267
25,454280.83755941794,303619.31332807953,150661.5242313384,454280.83755941794,8366.316447324267
26,454281.5985003473,332733.02637981874,121548.57212052854,454281.5985003473,8366.316447324267
27,454282.35944127664,384744.34103186964,69538.018409407,454282.35944127664,8366.316447324267
28,454283.1203822061,404443.8674248565,49839.2529573496,454283.1203822061,8366.316447324267
29,454283.88132313546,415448.5043929566,38835.37693017883,454283.88132313546,8366.316447324267
30,454284.6422640649,440342.36896932306,13942.273294741872,454284.6422640649,8366.316447324267
31,454285.40320499433,454285.40320499433,0.0,454285.40320499433,8366.316447324267
32,454286.1641459237,451364.0446936045,2922.1194523191466,454286.1641459237,8366.316447324267
33,454286.92508685315,421474.6872224623,32812.23786439081,454286.92508685315,8366.316447324267
34,454287.6860277825,413298.4663852603,40989.219642522214,454287.6860277825,8366.316447324267
35,454288.44696871185,411699.7864198483,42588.66054886359,454288.44696871185,8366.316447324267
36,454289.20790964126,409470.9935254357,44818.21438420558,454289.20790964126,8366.316447324267
37,454289.9688505707,405782.5061640035,48507.46268656717,454289.9688505707,8366.316447324267
38,454290.7297915002,405783.26710493304,48507.46268656717,454290.7297915002,8366.316447324267
39,454291.49073242955,391999.05328095367,62292.43745147585,454291.49073242955,8366.316447324267
40,454292.2516733589,393478.7410228856,60813.51065047328,454292.2516733589,8366.316447324267
41,454293.01261428825,424930.79598190763,29362.21663238064,454293.01261428825,8366.316447324267
42,454293.77355521766,433926.2439404992,20367.52961471845,454293.77355521766,8366.316447324267
43,454294.53449614707,436387.63519211,17906.899304037066,454294.53449614707,8366.316447324267
44,454295.2954370766,438725.51988510054,15569.775551976043,454295.2954370766,8366.316447324267
45,454296.05637800595,448788.1818698145,5507.874508191417,454296.05637800595,8366.316447324267
46,454296.81731893535,437170.72057578,17126.096743155325,454296.81731893535,8366.316447324267
47,454297.5782598647,436965.07162649103,17332.506633373676,454297.5782598647,8366.316447324267
48,454298.3392007941,436030.7540868977,18267.585113896384,454298.3392007941,8366.316447324267
49,454299.1001417236,428997.0680099692,25302.032131754364,454299.1001417236,8366.316447324267
50,454299.8610826529,425086.4167529405,29213.444329712358,454299.8610826529,8366.316447324267
51,454300.62202358234,407389.8510715418,46910.77095204054,454300.62202358234,8366.316447324267
52,454301.38296451175,393453.09970692435,60848.28325758738,454301.38296451175,8366.316447324267
53,454302.1439054411,348329.5740625575,105972.56984288362,454302.1439054411,8366.316447324267
54,454302.90484637045,301876.42601118295,152426.47883518753,454302.90484637045,8366.316447324267
55,454303.6657872999,281697.19328930165,172606.47249799827,454303.6657872999,8366.316447324267
56,454304.4267282293,267395.9746022412,186908.4521259881,454304.4267282293,8366.316447324267
57,454305.1876691588,286792.14679521654,167513.04087394226,454305.1876691588,8366.316447324267
58,454305.9486100882,341616.71416802175,112689.23444206644,454305.9486100882,8366.316447324267
59,454306.7095510175,310193.5765157043,144113.13303531325,454306.7095510175,8366.316447324267
60,454307.47049194697,304271.4722528237,150035.99823912326,454307.47049194697,8366.316447324267
61,454308.2314328763,358168.9843763814,96139.24705649492,454308.2314328763,8366.316447324267
62,454308.9923738058,355233.9955419716,99074.9968318342,454308.9923738058,8366.316447324267
63,454309.7533147351,392427.29605233413,61882.45726240093,454309.7533147351,8366.316447324267
64,454310.5142556646,418707.97110404633,35602.54315161827,454310.5142556646,8366.316447324267
65,454311.27519659395,424835.45332293387,29475.821873660097,454311.27519659395,8366.316447324267
66,454312.0361375233,426519.95332008874,27792.082817434555,454312.0361375233,8366.316447324267
67,454312.7970784528,431762.0540252354,22550.743053217364,454312.7970784528,8366.316447324267
68,454313.55801938206,454313.55801938206,0.0,454313.55801938206,8366.316447324267
69,454314.3189603115,454314.3189603115,0.0,454314.3189603115,8366.316447324267
70,454315.079901241,454315.079901241,0.0,454315.079901241,8366.316447324267
71,454315.84084217035,454315.84084217035,0.0,454315.84084217035,8366.316447324267
72,454316.6017830998,454316.6017830998,0.0,454316.6017830998,8366.316447324267
73,454317.36272402917,454317.36272402917,0.0,454317.36272402917,8366.316447324267
74,454318.1236649585,454318.1236649585,0.0,454318.1236649585,8366.316447324267
75,454318.88460588804,454318.88460588804,0.0,454318.88460588804,8366.316447324267
76,454319.6455468174,436213.2864541754,18106.359092641986,454319.6455468174,8366.316447324267
77,454320.4064877468,365639.92196124856,88680.48452649823,454320.4064877468,8366.316447324267
78,454321.16742867616,412588.41661695257,41732.75081172358,454321.16742867616,8366.316447324267
